year,scenario,scenario_label,nuts3,slr_m,flood_area_km2,flooded_pixels,gdp_at_risk_bn,buildings_count,buildings_value_bn,storeys
2040,ssp126,SSP1-2.6 (Low),Alto Minho,0.135,0.059254392,80,0.000106493,3.6,0.001060713,1.5
2040,ssp126,SSP1-2.6 (Low),Alto Tâmega e Barroso,0.135,0.0,0,0.0,0.0,0.0,2.0
2040,ssp126,SSP1-2.6 (Low),Ave,0.135,0.0,0,0.0,0.0,0.0,2.0
2040,ssp126,SSP1-2.6 (Low),Baixo Alentejo,0.135,0.0,0,0.0,0.0,0.0,1.5
2040,ssp126,SSP1-2.6 (Low),Beira Baixa,0.135,0.0,0,0.0,0.0,0.0,2.0
2040,ssp126,SSP1-2.6 (Low),Beiras e Serra da Estrela,0.135,0.0,0,0.0,0.0,0.0,2.0
2040,ssp126,SSP1-2.6 (Low),Cávado,0.135,0.0014813598,2,9.657e-06,0.3,0.000147321,2.5
2040,ssp126,SSP1-2.6 (Low),Douro,0.135,0.0,0,0.0,0.0,0.0,2.0
2040,ssp126,SSP1-2.6 (Low),Grande Lisboa,0.135,3.8952355941000003,5259,0.212495911,3116.2,3.099049462,5.0
2040,ssp126,SSP1-2.6 (Low),Lezíria do Tejo,0.135,0.7206815427000001,973,0.000771283,28.8,0.008600614,1.5
2040,ssp126,SSP1-2.6 (Low),Médio Tejo,0.135,0.0,0,0.0,0.0,0.0,2.0
2040,ssp126,SSP1-2.6 (Low),Oeste,0.135,0.1311003423,177,0.000382533,15.7,0.007822757,2.5
2040,ssp126,SSP1-2.6 (Low),Península de Setúbal,0.135,1.0139907831000001,1369,0.008279843,405.6,0.242019322,3.0
2040,ssp126,SSP1-2.6 (Low),Região de Aveiro,0.135,5.7150861084,7716,0.028716627,1428.8,0.710456647,2.5
2040,ssp126,SSP1-2.6 (Low),Região de Coimbra,0.135,4.7647937967,6433,0.009883854,381.2,0.189543499,2.5
2040,ssp126,SSP1-2.6 (Low),Região de Leiria,0.135,0.0007406799,1,1.944e-06,0.1,2.9464e-05,2.0
2040,ssp126,SSP1-2.6 (Low),Terras de Trás-os-Montes,0.135,0.0,0,0.0,0.0,0.0,2.0
2040,ssp126,SSP1-2.6 (Low),Tâmega e Sousa,0.135,0.0,0,0.0,0.0,0.0,2.0
2040,ssp126,SSP1-2.6 (Low),Viseu Dão Lafões,0.135,0.0,0,0.0,0.0,0.0,2.0
2040,ssp126,SSP1-2.6 (Low),Área Metropolitana do Porto,0.135,0.0244424367,33,0.000462231,12.2,0.009723201,4.0
2050,ssp126,SSP1-2.6 (Low),Alentejo Central,0.2,0.0,0,0.0,0.0,0.0,2.0
2050,ssp126,SSP1-2.6 (Low),Alentejo Litoral,0.2,5.3721513147,7253,0.003220558,161.2,0.048083441,1.5
2050,ssp126,SSP1-2.6 (Low),Algarve,0.2,4.2796484622,5778,0.010529665,855.9,0.510733251,3.0
2050,ssp126,SSP1-2.6 (Low),Alto Alentejo,0.2,0.0,0,0.0,0.0,0.0,2.0
2050,ssp126,SSP1-2.6 (Low),Alto Minho,0.2,0.1236935433,167,0.000222303,7.4,0.002214238,1.5
2050,ssp126,SSP1-2.6 (Low),Alto Tâmega e Barroso,0.2,0.0,0,0.0,0.0,0.0,2.0
2050,ssp126,SSP1-2.6 (Low),Ave,0.2,0.0,0,0.0,0.0,0.0,2.0
2050,ssp126,SSP1-2.6 (Low),Baixo Alentejo,0.2,0.0,0,0.0,0.0,0.0,1.5
2050,ssp126,SSP1-2.6 (Low),Beira Baixa,0.2,0.0,0,0.0,0.0,0.0,2.0
2050,ssp126,SSP1-2.6 (Low),Beiras e Serra da Estrela,0.2,0.0,0,0.0,0.0,0.0,2.0
2050,ssp126,SSP1-2.6 (Low),Cávado,0.2,0.0096288387,13,6.2772e-05,1.9,0.000957588,2.5
2050,ssp126,SSP1-2.6 (Low),Douro,0.2,0.0,0,0.0,0.0,0.0,2.0
2050,ssp126,SSP1-2.6 (Low),Grande Lisboa,0.2,6.4276201722,8678,0.350644517,5142.1,5.113814648,5.0
2050,ssp126,SSP1-2.6 (Low),Lezíria do Tejo,0.2,1.4917293186,2014,0.001596469,59.7,0.017802298,1.5
2050,ssp126,SSP1-2.6 (Low),Médio Tejo,0.2,0.0,0,0.0,0.0,0.0,2.0
2050,ssp126,SSP1-2.6 (Low),Oeste,0.2,0.22812940920000002,308,0.00066565,27.4,0.013612482,2.5
2050,ssp126,SSP1-2.6 (Low),Península de Setúbal,0.2,1.6976383308,2292,0.013862235,679.1,0.40519232,3.0
2050,ssp126,SSP1-2.6 (Low),Região de Aveiro,0.2,9.1074000504,12296,0.045762007,2276.9,1.132163677,2.5
