year,scenario,scenario_label,slr_m,slr_cm
2042,ssp245,SSP2-4.5 (Intermediate),0.22,22.0
2043,ssp245,SSP2-4.5 (Intermediate),0.23,23.0
2044,ssp245,SSP2-4.5 (Intermediate),0.24,24.0
2045,ssp245,SSP2-4.5 (Intermediate),0.25,25.0
2046,ssp245,SSP2-4.5 (Intermediate),0.26,26.0
2047,ssp245,SSP2-4.5 (Intermediate),0.27,27.0
2048,ssp245,SSP2-4.5 (Intermediate),0.28,28.0
2049,ssp245,SSP2-4.5 (Intermediate),0.29,29.0
2050,ssp245,SSP2-4.5 (Intermediate),0.3,30.0
2051,ssp245,SSP2-4.5 (Intermediate),0.306,30.6
2052,ssp245,SSP2-4.5 (Intermediate),0.312,31.2
2053,ssp245,SSP2-4.5 (Intermediate),0.318,31.8
2054,ssp245,SSP2-4.5 (Intermediate),0.324,32.4
2055,ssp245,SSP2-4.5 (Intermediate),0.33,33.0
2056,ssp245,SSP2-4.5 (Intermediate),0.336,33.6
2057,ssp245,SSP2-4.5 (Intermediate),0.342,34.2
2058,ssp245,SSP2-4.5 (Intermediate),0.348,34.8
2059,ssp245,SSP2-4.5 (Intermediate),0.354,35.4
2060,ssp245,SSP2-4.5 (Intermediate),0.36,36.0
2061,ssp245,SSP2-4.5 (Intermediate),0.366,36.6
2062,ssp245,SSP2-4.5 (Intermediate),0.372,37.2
2063,ssp245,SSP2-4.5 (Intermediate),0.378,37.8
2064,ssp245,SSP2-4.5 (Intermediate),0.384,38.4
2065,ssp245,SSP2-4.5 (Intermediate),0.39,39.0
2066,ssp245,SSP2-4.5 (Intermediate),0.396,39.6
2067,ssp245,SSP2-4.5 (Intermediate),0.402,40.2
2068,ssp245,SSP2-4.5 (Intermediate),0.408,40.8
2069,ssp245,SSP2-4.5 (Intermediate),0.414,41.4
2070,ssp245,SSP2-4.5 (Intermediate),0.42,42.0
2071,ssp245,SSP2-4.5 (Intermediate),0.426,42.6
2072,ssp245,SSP2-4.5 (Intermediate),0.432,43.2
2073,ssp245,SSP2-4.5 (Intermediate),0.438,43.8
2074,ssp245,SSP2-4.5 (Intermediate),0.444,44.4
2075,ssp245,SSP2-4.5 (Intermediate),0.45,45.0
2076,ssp245,SSP2-4.5 (Intermediate),0.456,45.6
2077,ssp245,SSP2-4.5 (Intermediate),0.462,46.2
2078,ssp245,SSP2-4.5 (Intermediate),0.468,46.8
2079,ssp245,SSP2-4.5 (Intermediate),0.474,47.4
2080,ssp245,SSP2-4.5 (Intermediate),0.48,48.0
2081,ssp245,SSP2-4.5 (Intermediate),0.486,48.6
2082,ssp245,SSP2-4.5 (Intermediate),0.492,49.2
2083,ssp245,SSP2-4.5 (Intermediate),0.498,49.8
2084,ssp245,SSP2-4.5 (Intermediate),0.504,50.4
2085,ssp245,SSP2-4.5 (Intermediate),0.51,51.0
2086,ssp245,SSP2-4.5 (Intermediate),0.516,51.6
2087,ssp245,SSP2-4.5 (Intermediate),0.522,52.2
2088,ssp245,SSP2-4.5 (Intermediate),0.528,52.8
2089,ssp245,SSP2-4.5 (Intermediate),0.534,53.4
2090,ssp245,SSP2-4.5 (Intermediate),0.54,54.0
2091,ssp245,SSP2-4.5 (Intermediate),0.546,54.6
2092,ssp245,SSP2-4.5 (Intermediate),0.552,55.2
2093,ssp245,SSP2-4.5 (Intermediate),0.558,55.8
2094,ssp245,SSP2-4.5 (Intermediate),0.564,56.4
2095,ssp245,SSP2-4.5 (Intermediate),0.57,57.0
2096,ssp245,SSP2-4.5 (Intermediate),0.576,57.6
2097,ssp245,SSP2-4.5 (Intermediate),0.582,58.2
2098,ssp245,SSP2-4.5 (Intermediate),0.588,58.8
2099,ssp245,SSP2-4.5 (Intermediate),0.594,59.4
2100,ssp245,SSP2-4.5 (Intermediate),0.6,60.0
2025,ssp585,SSP5-8.5 (High),0.065,6.5
2026,ssp585,SSP5-8.5 (High),0.078,7.8
2027,ssp585,SSP5-8.5 (High),0.091,9.1
2028,ssp585,SSP5-8.5 (High),0.104,10.4
2029,ssp585,SSP5-8.5 (High),0.117,11.7
2030,ssp585,SSP5-8.5 (High),0.13,13.0
2031,ssp585,SSP5-8.5 (High),0.1435,14.35
2032,ssp585,SSP5-8.5 (High),0.157,15.7
2033,ssp585,SSP5-8.5 (High),0.1705,17.05
2034,ssp585,SSP5-8.5 (High),0.184,18.4
2035,ssp585,SSP5-8.5 (High),0.1975,19.75
2036,ssp585,SSP5-8.5 (High),0.211,21.1
2037,ssp585,SSP5-8.5 (High),0.2245,22.45
2038,ssp585,SSP5-8.5 (High),0.238,23.8
2039,ssp585,SSP5-8.5 (High),0.2515,25.15
2040,ssp585,SSP5-8.5 (High),0.265,26.5
2041,ssp585,SSP5-8.5 (High),0.2785,27.85
2042,ssp585,SSP5-8.5 (High),0.292,29.2
2043,ssp585,SSP5-8.5 (High),0.3055,30.55
2044,ssp585,SSP5-8.5 (High),0.319,31.9
2045,ssp585,SSP5-8.5 (High),0.3325,33.25
2046,ssp585,SSP5-8.5 (High),0.346,34.6
2047,ssp585,SSP5-8.5 (High),0.3595,35.95
2048,ssp585,SSP5-8.5 (High),0.373,37.3
2049,ssp585,SSP5-8.5 (High),0.3865,38.65
2050,ssp585,SSP5-8.5 (High),0.4,40.0
2051,ssp585,SSP5-8.5 (High),0.412,41.2
2052,ssp585,SSP5-8.5 (High),0.424,42.4
2053,ssp585,SSP5-8.5 (High),0.436,43.6
2054,ssp585,SSP5-8.5 (High),0.448,44.8
2055,ssp585,SSP5-8.5 (High),0.46,46.0
2056,ssp585,SSP5-8.5 (High),0.472,47.2
2057,ssp585,SSP5-8.5 (High),0.484,48.4
2058,ssp585,SSP5-8.5 (High),0.496,49.6
2059,ssp585,SSP5-8.5 (High),0.508,50.8
2060,ssp585,SSP5-8.5 (High),0.52,52.0
2061,ssp585,SSP5-8.5 (High),0.532,53.2
2062,ssp585,SSP5-8.5 (High),0.544,54.4
2063,ssp585,SSP5-8.5 (High),0.556,55.6
2064,ssp585,SSP5-8.5 (High),0.568,56.8
2065,ssp585,SSP5-8.5 (High),0.58,58.0
2066,ssp585,SSP5-8.5 (High),0.592,59.2
2067,ssp585,SSP5-8.5 (High),0.604,60.4
2068,ssp585,SSP5-8.5 (High),0.616,61.6
2069,ssp585,SSP5-8.5 (High),0.628,62.8
2070,ssp585,SSP5-8.5 (High),0.64,64.0
2071,ssp585,SSP5-8.5 (High),0.652,65.2
2072,ssp585,SSP5-8.5 (High),0.664,66.4
2073,ssp585,SSP5-8.5 (High),0.676,67.6
2074,ssp585,SSP5-8.5 (High),0.688,68.8
2075,ssp585,SSP5-8.5 (High),0.7,70.0
2076,ssp585,SSP5-8.5 (High),0.712,71.2
2077,ssp585,SSP5-8.5 (High),0.724,72.4
2078,ssp585,SSP5-8.5 (High),0.736,73.6
2079,ssp585,SSP5-8.5 (High),0.748,74.8
2080,ssp585,SSP5-8.5 (High),0.76,76.0
2081,ssp585,SSP5-8.5 (High),0.772,77.2
2082,ssp585,SSP5-8.5 (High),0.784,78.4
2083,ssp585,SSP5-8.5 (High),0.796,79.6
2084,ssp585,SSP5-8.5 (High),0.808,80.8
2085,ssp585,SSP5-8.5 (High),0.82,82.0
2086,ssp585,SSP5-8.5 (High),0.832,83.2
2087,ssp585,SSP5-8.5 (High),0.844,84.4
2088,ssp585,SSP5-8.5 (High),0.856,85.6
2089,ssp585,SSP5-8.5 (High),0.868,86.8
2090,ssp585,SSP5-8.5 (High),0.88,88.0
2091,ssp585,SSP5-8.5 (High),0.892,89.2
2092,ssp585,SSP5-8.5 (High),0.904,90.4
2093,ssp585,SSP5-8.5 (High),0.916,91.6
2094,ssp585,SSP5-8.5 (High),0.928,92.8
2095,ssp585,SSP5-8.5 (High),0.94,94.0
2096,ssp585,SSP5-8.5 (High),0.952,95.2
2097,ssp585,SSP5-8.5 (High),0.964,96.4
2098,ssp585,SSP5-8.5 (High),0.976,97.6
2099,ssp585,SSP5-8.5 (High),0.988,98.8
2100,ssp585,SSP5-8.5 (High),1.0,100.0
