year,scenario,scenario_label,slr_m,gdp_at_risk_bn,infra_replacement_bn,infra_buildings_bn,infra_roads_bn,infra_railways_bn,infra_utilities_bn,total_exposure_bn,buildings_count,roads_km,railways_km
2080,ssp585,SSP5-8.5 (High),0.76,3.4355,58.2314,57.608937003,0.308026077,0.129647643,0.184751183,61.6669,71646.0,260.23,25.93
2081,ssp585,SSP5-8.5 (High),0.772,3.522,59.6275,59.000813282,0.308880294,0.129647643,0.188137391,63.149499999999996,73281.0,264.46,25.93
2082,ssp585,SSP5-8.5 (High),0.784,3.6071,61.0033,60.374252309,0.308983469,0.131249593,0.188855131,64.6104,74900.0,265.36,26.25
2083,ssp585,SSP5-8.5 (High),0.796,3.6897,62.3429,61.709611744,0.309794555,0.131249593,0.192272678,66.0326,76479.0,269.63,26.25
2084,ssp585,SSP5-8.5 (High),0.808,3.7748,63.7177,63.081745505,0.311478476,0.131249593,0.193222383,67.4925,78095.0,270.81,26.25
2085,ssp585,SSP5-8.5 (High),0.82,3.8631,65.136,64.495270639,0.312289507,0.131249593,0.197173028,68.9991,79746.0,275.75,26.25
2086,ssp585,SSP5-8.5 (High),0.832,3.9484,66.5083,65.865833219,0.312479728,0.131694826,0.198325184,70.45670000000001,81354.0,277.19,26.34
2087,ssp585,SSP5-8.5 (High),0.844,4.0387,67.9518,67.307626352,0.312710443,0.131694826,0.199767933,71.99050000000001,83034.0,279.0,26.34
2088,ssp585,SSP5-8.5 (High),0.856,4.1311,69.439,68.780750291,0.316088156,0.138937083,0.203180701,73.5701,84746.0,283.26,27.79
2089,ssp585,SSP5-8.5 (High),0.868,4.219,70.8485,70.184312828,0.317031097,0.138937083,0.208256879,75.0675,86379.0,289.61,27.79
2090,ssp585,SSP5-8.5 (High),0.88,4.3143,72.3596,71.692708417,0.317722296,0.138937083,0.210250762,76.6739,88120.0,292.1,27.79
2091,ssp585,SSP5-8.5 (High),0.892,4.4025,73.7641,73.095196244,0.318730289,0.138937083,0.211244696,78.1666,89748.0,293.34,27.79
2092,ssp585,SSP5-8.5 (High),0.904,4.4944,75.2578,74.561894768,0.331664847,0.146400869,0.217864859,79.7522,91452.0,301.62,29.28
2093,ssp585,SSP5-8.5 (High),0.916,4.5857,76.7193,76.004829641,0.331849138,0.163437812,0.219146881,81.305,93115.0,303.22,32.69
2094,ssp585,SSP5-8.5 (High),0.928,4.6765,78.1719,77.450489219,0.333997867,0.16383634,0.223626323,82.8484,94791.0,308.82,32.77
2095,ssp585,SSP5-8.5 (High),0.94,4.7685,79.6327,78.909142531,0.334701218,0.164649925,0.224214176,84.4012,96479.0,309.55,32.93
2096,ssp585,SSP5-8.5 (High),0.952,4.8621,81.1161,80.389653893,0.335207296,0.164649925,0.226634018,85.9782,98185.0,312.58,32.93
2097,ssp585,SSP5-8.5 (High),0.964,4.9544,82.5922,81.846761805,0.342299544,0.171157043,0.231953816,87.54660000000001,99861.0,319.23,34.23
2098,ssp585,SSP5-8.5 (High),0.976,5.0494,84.1083,83.34717553,0.351525662,0.171157043,0.2384419,89.1577,101585.0,327.34,34.23
2099,ssp585,SSP5-8.5 (High),0.988,5.1413,85.5718,84.801594092,0.353701349,0.174956176,0.241560059,90.7131,103262.0,331.24,34.99
2100,ssp585,SSP5-8.5 (High),1.0,5.2637,87.6824,86.853798759,0.372395436,0.205987459,0.250173701,92.9461,105809.0,343.76,41.2
