feature,feature_label,sub_type,type_label,elev,length_km,value_eur,value_m_eur,mid_lat,mid_lon,start_lat,start_lon,end_lat,end_lon
road,Road,residential,Residential,0.920824944972992,0.5467,62874.68463011286,0.06,37.095422,-8.793977,37.096506,-8.790972,37.096932,-8.793168
road,Road,residential,Residential,0.9730038046836852,0.2347,26995.84601126964,0.03,37.127701,-8.242584,37.12689,-8.242666,37.128951,-8.24288
road,Road,residential,Residential,0.9535577297210692,0.2075,23860.451135195504,0.02,37.938605,-8.392064,37.93768,-8.392679,37.939341,-8.391603
road,Road,residential,Residential,0.9462379217147828,1.3544,155759.53406669144,0.16,40.584904,-8.736802,40.586419,-8.747435,40.582195,-8.734995
road,Road,unclassified,Unclassified,0.8316788077354431,0.0881,10133.697340522727,0.01,37.182438,-7.964688,37.181896,-7.965207,37.182548,-7.964675
road,Road,residential,Residential,0.8396466970443726,0.1192,13710.52148847596,0.01,37.955077,-8.859993,37.955342,-8.861058,37.95523,-8.859909
road,Road,residential,Residential,0.8115354776382446,0.2592,29808.04314354495,0.03,38.031453,-8.236506,38.029759,-8.236333,38.032085,-8.23654
road,Road,residential,Residential,0.8276879787445068,0.9959,114527.0301285995,0.11,40.761353,-8.655419,40.765006,-8.650227,40.761915,-8.6591
road,Road,unclassified,Unclassified,0.2471809834241867,0.2589,29778.767294266705,0.03,37.12786,-8.004922,37.126969,-8.005974,37.128356,-8.00481
road,Road,residential,Residential,0.7696071863174438,0.135,15522.483870215916,0.02,38.177279,-8.57263,38.17738,-8.572045,38.177279,-8.573574
road,Road,tertiary,Tertiary,0.7665913105010986,0.8246,164920.1739258876,0.16,40.753974,-8.651411,40.755688,-8.656232,40.751825,-8.648019
road,Road,unclassified,Unclassified,0.7665913105010986,0.2038,23437.097185827704,0.02,37.778131,-8.801336,37.777443,-8.801541,37.779163,-8.800944
road,Road,residential,Residential,1.0155450105667114,0.2132,24521.74269750294,0.02,37.118162,-8.336918,37.118887,-8.337768,37.117442,-8.337559
road,Road,unclassified,Unclassified,0.2337210774421692,0.3852,44299.92618479624,0.04,37.155491,-8.019571,37.155259,-8.021759,37.155246,-8.017697
road,Road,residential,Residential,0.9513790011405944,0.1669,19191.83989663135,0.02,37.955509,-8.872757,37.955372,-8.871272,37.955513,-8.873165
road,Road,residential,Residential,0.523544192314148,0.2666,30658.023099718255,0.03,37.091033,-8.167666,37.092253,-8.167389,37.089894,-8.167929
road,Road,residential,Residential,0.523544192314148,0.1417,16297.808574047704,0.02,37.9674,-8.026815,37.966854,-8.026931,37.967599,-8.027609
road,Road,residential,Residential,0.4929122030735016,0.4525,52032.75823822097,0.05,39.384429,-9.189875,39.38344,-9.189028,39.386082,-9.192108
road,Road,unclassified,Unclassified,0.5052182078361511,2.9585,340229.99366751494,0.34,40.767619,-8.668209,40.761997,-8.666154,40.787649,-8.671611
road,Road,unclassified,Unclassified,0.9275975823402404,0.4087,46996.64019183868,0.05,40.760195,-8.664046,40.758944,-8.663951,40.761997,-8.666154
road,Road,unclassified,Unclassified,0.6606183648109436,0.5807,66775.80277758896,0.07,37.081051,-7.990413,37.080699,-7.985515,37.080317,-7.991051
road,Road,residential,Residential,0.7565192580223083,0.3654,42025.35304014865,0.04,37.086894,-8.671654,37.086968,-8.672083,37.086968,-8.672083
road,Road,unclassified,Unclassified,0.465750128030777,0.4927,56665.98845497392,0.06,40.756662,-8.667762,40.753925,-8.666911,40.758183,-8.66842
road,Road,unclassified,Unclassified,0.7055646181106567,0.0686,7888.91183766326,0.01,37.775944,-8.235819,37.775371,-8.235527,37.775944,-8.235819
road,Road,unclassified,Unclassified,0.6194953322410583,1.2792,147109.93964382148,0.15,40.758386,-8.675832,40.749548,-8.675802,40.760916,-8.676672
road,Road,unclassified,Unclassified,0.2561096847057342,1.2018,138203.59097246043,0.14,40.736014,-8.674215,40.730646,-8.668976,40.739682,-8.676088
road,Road,residential,Residential,0.7868139147758484,0.3398,39078.54472501587,0.04,37.114643,-8.338196,37.114927,-8.336606,37.114604,-8.34039
road,Road,tertiary,Tertiary,0.8968237042427063,0.0239,4772.20879728016,0.0,38.039012,-8.242063,38.039228,-8.242069,38.039012,-8.242063
road,Road,tertiary,Tertiary,0.8316788077354431,0.0167,3333.0064319919543,0.0,37.025223,-7.91688,37.02534,-7.916859,37.025196,-7.9169
road,Road,tertiary,Tertiary,0.8316788077354431,0.0172,3449.007680192208,0.0,37.662446,-8.223611,37.662385,-8.223511,37.662482,-8.223662
road,Road,tertiary,Tertiary,0.8968237042427063,0.0242,4849.108099151461,0.0,37.835341,-7.964093,37.835437,-7.964249,37.835303,-7.964032
road,Road,tertiary,Tertiary,0.5267443656921387,2.3574,471487.766992883,0.47,40.59936,-8.690143,40.58809,-8.687855,40.607889,-8.684344
