year,scenario,scenario_label,slr_m,density_scenario,density_label,buildings_count,infra_buildings_bn,roads_eur,railways_eur,utilities_eur,infra_replacement_bn,gdp_at_risk_bn,total_exposure_bn
2025,ssp126,SSP1-2.6 (Low),0.035,base,Base estimate,1378.0,1.050020304,2981774.0,866140.0,19835212.0,1.0737,0.0613,1.135
2026,ssp126,SSP1-2.6 (Low),0.042,base,Base estimate,1662.0,1.268022582,3338032.0,866140.0,22069140.0,1.2943,0.0741,1.3684
2027,ssp126,SSP1-2.6 (Low),0.049,base,Base estimate,1945.0,1.480440649,3338032.0,866140.0,22069140.0,1.5067,0.0862,1.5929
2028,ssp126,SSP1-2.6 (Low),0.056,base,Base estimate,2239.0,1.703772272,3443769.0,866140.0,22804703.0,1.7309,0.0991,1.83
2029,ssp126,SSP1-2.6 (Low),0.063,base,Base estimate,2538.0,1.93118543,5117289.0,866140.0,26052135.0,1.9632,0.1124,2.0756
2030,ssp126,SSP1-2.6 (Low),0.07,base,Base estimate,2847.0,2.167606545,5525419.0,1715075.0,28891300.0,2.2037,0.1263,2.33
2031,ssp126,SSP1-2.6 (Low),0.0765,base,Base estimate,3138.0,2.390369509,5554194.0,1715075.0,29006403.0,2.4266,0.1393,2.5659
2032,ssp126,SSP1-2.6 (Low),0.083,base,Base estimate,3447.0,2.627963301,5628762.0,1715075.0,29525132.0,2.6648,0.1533,2.8181000000000003
2033,ssp126,SSP1-2.6 (Low),0.0895,base,Base estimate,3746.0,2.857476523,5628762.0,1715075.0,29525132.0,2.8943,0.1667,3.061
2034,ssp126,SSP1-2.6 (Low),0.096,base,Base estimate,4059.0,3.098497007,5628762.0,1715075.0,29525132.0,3.1354,0.1808,3.3162000000000003
2035,ssp126,SSP1-2.6 (Low),0.1025,base,Base estimate,4373.0,3.340598093,5666334.0,1715075.0,29675421.0,3.3777,0.1951,3.5728
2036,ssp126,SSP1-2.6 (Low),0.109,base,Base estimate,4682.0,3.574129502,5888853.0,1715075.0,31223378.0,3.613,0.2086,3.8216
2037,ssp126,SSP1-2.6 (Low),0.1155,base,Base estimate,5009.0,3.825548655,5888853.0,1715075.0,31223378.0,3.8644,0.2234,4.0878
2038,ssp126,SSP1-2.6 (Low),0.122,base,Base estimate,5331.0,4.072699912,5970805.0,1715075.0,31793484.0,4.1122,0.2378,4.35
2039,ssp126,SSP1-2.6 (Low),0.1285,base,Base estimate,5658.0,4.326950579,5970805.0,1715075.0,31793484.0,4.3664,0.2529,4.6193
2040,ssp126,SSP1-2.6 (Low),0.135,base,Base estimate,6011.0,4.606276794,5991915.0,1715075.0,31940337.0,4.6459,0.2695,4.9154
2041,ssp126,SSP1-2.6 (Low),0.1415,base,Base estimate,6367.0,4.879059736,6180915.0,1715075.0,33255114.0,4.9202,0.2855,5.2057
2042,ssp126,SSP1-2.6 (Low),0.148,base,Base estimate,6731.0,5.162335632,6261843.0,1715075.0,33818095.0,5.2041,0.3022,5.5063
2043,ssp126,SSP1-2.6 (Low),0.1545,base,Base estimate,7098.0,5.451096299,6485499.0,1715075.0,35373965.0,5.4947,0.3194,5.8141
2044,ssp126,SSP1-2.6 (Low),0.161,base,Base estimate,7452.0,5.723519777,6802037.0,1715075.0,36838893.0,5.7689,0.3354,6.1043
2045,ssp126,SSP1-2.6 (Low),0.1675,base,Base estimate,7835.0,6.021018065,6802037.0,1715075.0,36838893.0,6.0664,0.3529,6.4193
2046,ssp126,SSP1-2.6 (Low),0.174,base,Base estimate,8203.0,6.309352973,6802037.0,1715075.0,36838893.0,6.3547,0.3699,6.724600000000001
2047,ssp126,SSP1-2.6 (Low),0.1805,base,Base estimate,8598.0,6.623284945,6810756.0,1715075.0,36899551.0,6.6687,0.3886,7.057300000000001
2048,ssp126,SSP1-2.6 (Low),0.187,base,Base estimate,8976.0,6.916281097,7021330.0,1715075.0,38118931.0,6.9631,0.4058,7.3689
2049,ssp126,SSP1-2.6 (Low),0.1935,base,Base estimate,9367.0,7.218779468,7833525.0,1715075.0,43768988.0,7.2721,0.4234,7.6955
2050,ssp126,SSP1-2.6 (Low),0.2,base,Base estimate,9769.0,7.526399462,7834481.0,1715075.0,43775634.0,7.5797,0.4412,8.0209
2051,ssp126,SSP1-2.6 (Low),0.204,base,Base estimate,10008.0,7.710806606,8127298.0,1715075.0,45812628.0,7.7665,0.4519,8.218399999999999
2052,ssp126,SSP1-2.6 (Low),0.208,base,Base estimate,10265.0,7.912115178,8303860.0,1715075.0,46121483.0,7.9683,0.4638,8.4321
2053,ssp126,SSP1-2.6 (Low),0.212,base,Base estimate,10510.0,8.101992359,8545292.0,1715075.0,47801007.0,8.1601,0.4749,8.635
2054,ssp126,SSP1-2.6 (Low),0.216,base,Base estimate,10776.0,8.311942059,8637209.0,1715075.0,48440428.0,8.3707,0.4873,8.857999999999999
2055,ssp126,SSP1-2.6 (Low),0.22,base,Base estimate,11043.0,8.523159457,8637209.0,1715075.0,48440428.0,8.582,0.4999,9.081900000000001
2056,ssp126,SSP1-2.6 (Low),0.224,base,Base estimate,11303.0,8.726278607,8640288.0,9129641.0,48452746.0,8.7925,0.5119,9.304400000000001
2057,ssp126,SSP1-2.6 (Low),0.228,base,Base estimate,11563.0,8.928387871,9270437.0,9129641.0,49460983.0,8.9962,0.5238,9.52
2058,ssp126,SSP1-2.6 (Low),0.232,base,Base estimate,11851.0,9.155280248,9527230.0,9129641.0,51247369.0,9.2252,0.5372,9.7624
2059,ssp126,SSP1-2.6 (Low),0.236,base,Base estimate,12107.0,9.350564119,10869973.0,9129641.0,54265770.0,9.4248,0.5485,9.9733
2060,ssp126,SSP1-2.6 (Low),0.24,base,Base estimate,12384.0,9.566788229,10938453.0,9129641.0,54742150.0,9.6416,0.5612,10.2028
2061,ssp126,SSP1-2.6 (Low),0.244,base,Base estimate,12667.0,9.786725572,10938453.0,9129641.0,54742150.0,9.8615,0.5741,10.435599999999999
2062,ssp126,SSP1-2.6 (Low),0.248,base,Base estimate,12956.0,10.016696963,11067914.0,9129641.0,55642748.0,10.0925,0.5877,10.6802
2063,ssp126,SSP1-2.6 (Low),0.252,base,Base estimate,13239.0,10.23613415,11067914.0,9129641.0,55642748.0,10.312,0.6006,10.9126
2064,ssp126,SSP1-2.6 (Low),0.256,base,Base estimate,13521.0,10.454327945,11067914.0,9129641.0,55642748.0,10.5302,0.6133,11.143500000000001
2065,ssp126,SSP1-2.6 (Low),0.26,base,Base estimate,13800.0,10.668078533,63528978.0,37333095.0,56604164.0,10.8255,0.6257,11.4512
2066,ssp126,SSP1-2.6 (Low),0.264,base,Base estimate,14097.0,10.903340966,63528978.0,37333095.0,56604164.0,11.0608,0.6396,11.7004
2067,ssp126,SSP1-2.6 (Low),0.268,base,Base estimate,14392.0,11.13242843,64035799.0,37333095.0,60129873.0,11.2939,0.653,11.946900000000001
2068,ssp126,SSP1-2.6 (Low),0.272,base,Base estimate,14703.0,11.378704599,64057881.0,37333095.0,60223718.0,11.5403,0.6676,12.2079
2069,ssp126,SSP1-2.6 (Low),0.276,base,Base estimate,15002.0,11.614591675,64057881.0,37333095.0,60223718.0,11.7762,0.6816,12.457799999999999
2070,ssp126,SSP1-2.6 (Low),0.28,base,Base estimate,15297.0,11.8486969,64234470.0,37333095.0,61452159.0,12.0117,0.6955,12.7072
2071,ssp126,SSP1-2.6 (Low),0.284,base,Base estimate,15603.0,12.086865245,64614747.0,37333095.0,64026772.0,12.2528,0.7094,12.962200000000001
2072,ssp126,SSP1-2.6 (Low),0.288,base,Base estimate,15908.0,12.326805864,64671970.0,37333095.0,64424843.0,12.4932,0.7236,13.2168
2073,ssp126,SSP1-2.6 (Low),0.292,base,Base estimate,16231.0,12.577802206,64700375.0,37333095.0,64622445.0,12.7445,0.7382,13.482700000000001
2074,ssp126,SSP1-2.6 (Low),0.296,base,Base estimate,16563.0,12.840674111,64825335.0,37333095.0,65477605.0,13.0083,0.7539,13.7622
2075,ssp126,SSP1-2.6 (Low),0.3,base,Base estimate,16869.0,13.082093099,65099294.0,37333095.0,67383402.0,13.2519,0.7681,14.02
2076,ssp126,SSP1-2.6 (Low),0.304,base,Base estimate,17188.0,13.337226221,65099294.0,37333095.0,67383402.0,13.507,0.7833,14.2903
2077,ssp126,SSP1-2.6 (Low),0.308,base,Base estimate,17518.0,13.597243041,65099294.0,37333095.0,67383402.0,13.7671,0.7987,14.5658
2078,ssp126,SSP1-2.6 (Low),0.312,base,Base estimate,17831.0,13.841827963,65099294.0,37333095.0,67383402.0,14.0116,0.8131,14.8247
2079,ssp126,SSP1-2.6 (Low),0.316,base,Base estimate,18164.0,14.102520251,65305184.0,37333095.0,68815681.0,14.274,0.8284,15.1024
2080,ssp126,SSP1-2.6 (Low),0.32,base,Base estimate,18496.0,14.366978806,65318280.0,57248176.0,68906788.0,14.5585,0.8441,15.4026
2081,ssp126,SSP1-2.6 (Low),0.324,base,Base estimate,18810.0,14.613024418,65825560.0,58197105.0,71040913.0,14.8081,0.8586,15.666699999999999
2082,ssp126,SSP1-2.6 (Low),0.328,base,Base estimate,19142.0,14.874795097,65882768.0,58197105.0,71438886.0,15.0703,0.874,15.9443
2083,ssp126,SSP1-2.6 (Low),0.332,base,Base estimate,19486.0,15.150279174,65943023.0,58197105.0,71858049.0,15.3463,0.8905,16.2368
2084,ssp126,SSP1-2.6 (Low),0.336,base,Base estimate,19857.0,15.451532681,65943023.0,58197105.0,71858049.0,15.6475,0.9086,16.5561
2085,ssp126,SSP1-2.6 (Low),0.34,base,Base estimate,20230.0,15.752070206,66015527.0,58197105.0,72362423.0,15.9486,0.9267,16.8753
2086,ssp126,SSP1-2.6 (Low),0.344,base,Base estimate,20570.0,16.021595139,66015527.0,58197105.0,72362423.0,16.2182,0.9426,17.1608
2087,ssp126,SSP1-2.6 (Low),0.348,base,Base estimate,20915.0,16.294308103,66177477.0,58197105.0,73424807.0,16.4921,0.9588,17.4509
2088,ssp126,SSP1-2.6 (Low),0.352,base,Base estimate,21296.0,16.594974535,68044406.0,58197105.0,76773821.0,16.798,0.9766,17.7746
2089,ssp126,SSP1-2.6 (Low),0.356,base,Base estimate,21642.0,16.868773993,68044406.0,58197105.0,76773821.0,17.0718,0.9928,18.0646
2090,ssp126,SSP1-2.6 (Low),0.36,base,Base estimate,22005.0,17.159260528,73897637.0,58197105.0,79266172.0,17.3706,1.0102,18.3808
2091,ssp126,SSP1-2.6 (Low),0.364,base,Base estimate,22368.0,17.446665102,73897637.0,58197105.0,79266172.0,17.658,1.0272,18.685200000000002
2092,ssp126,SSP1-2.6 (Low),0.368,base,Base estimate,22692.0,17.702107598,73897637.0,58197105.0,79266172.0,17.9135,1.0423,18.9558
2093,ssp126,SSP1-2.6 (Low),0.372,base,Base estimate,23051.0,17.991438398,95272788.0,58197105.0,80308670.0,18.2252,1.0596,19.2848
2094,ssp126,SSP1-2.6 (Low),0.376,base,Base estimate,23415.0,18.281095513,95272788.0,58197105.0,80308670.0,18.5149,1.0768,19.5917
2095,ssp126,SSP1-2.6 (Low),0.38,base,Base estimate,23828.0,18.612709717,95301004.0,58197105.0,80504951.0,18.8467,1.0967,19.943399999999997
2096,ssp126,SSP1-2.6 (Low),0.384,base,Base estimate,24193.0,18.90203094,95334099.0,58197105.0,80727842.0,19.1363,1.1137,20.25
2097,ssp126,SSP1-2.6 (Low),0.388,base,Base estimate,24578.0,19.208518034,95534280.0,60202531.0,82120407.0,19.4464,1.1319,20.5783
2098,ssp126,SSP1-2.6 (Low),0.392,base,Base estimate,24965.0,19.518934921,95787543.0,60202531.0,82248229.0,19.7572,1.1504,20.907600000000002
2099,ssp126,SSP1-2.6 (Low),0.396,base,Base estimate,25339.0,19.818142136,95796127.0,60202531.0,82307944.0,20.0564,1.1683,21.2247
2100,ssp126,SSP1-2.6 (Low),0.4,base,Base estimate,25741.0,20.14800027,97283644.0,60202531.0,82902951.0,20.3884,1.1883,21.576700000000002
2025,ssp245,SSP2-4.5 (Intermediate),0.05,base,Base estimate,1980.0,1.504728764,3338032.0,866140.0,22069140.0,1.531,0.0876,1.6185999999999998
2026,ssp245,SSP2-4.5 (Intermediate),0.06,base,Base estimate,2400.0,1.82518412,5117289.0,866140.0,26052135.0,1.8572,0.1062,1.9634
2027,ssp245,SSP2-4.5 (Intermediate),0.07,base,Base estimate,2847.0,2.167606545,5525419.0,1715075.0,28891300.0,2.2037,0.1263,2.33
2028,ssp245,SSP2-4.5 (Intermediate),0.08,base,Base estimate,3307.0,2.519884025,5628762.0,1715075.0,29525132.0,2.5568,0.1469,2.7037
2029,ssp245,SSP2-4.5 (Intermediate),0.09,base,Base estimate,3773.0,2.878653951,5628762.0,1715075.0,29525132.0,2.9155,0.168,3.0835000000000004
2030,ssp245,SSP2-4.5 (Intermediate),0.1,base,Base estimate,4246.0,3.243514873,5666334.0,1715075.0,29675421.0,3.2806,0.1894,3.47
2031,ssp245,SSP2-4.5 (Intermediate),0.11,base,Base estimate,4729.0,3.610285815,5888853.0,1715075.0,31223378.0,3.6491,0.2107,3.8598
2032,ssp245,SSP2-4.5 (Intermediate),0.12,base,Base estimate,5238.0,4.001970988,5970805.0,1715075.0,31793484.0,4.0415,0.2337,4.2752
2033,ssp245,SSP2-4.5 (Intermediate),0.13,base,Base estimate,5742.0,4.393447701,5970805.0,1715075.0,31793484.0,4.4329,0.2569,4.6898
2034,ssp245,SSP2-4.5 (Intermediate),0.14,base,Base estimate,6280.0,4.812132436,6180915.0,1715075.0,33255114.0,4.8533,0.2816,5.1349
2035,ssp245,SSP2-4.5 (Intermediate),0.15,base,Base estimate,6844.0,5.251735313,6261843.0,1715075.0,33818095.0,5.2935,0.3075,5.601
2036,ssp245,SSP2-4.5 (Intermediate),0.16,base,Base estimate,7397.0,5.681155346,6734803.0,1715075.0,36371179.0,5.726,0.3329,6.0588999999999995
2037,ssp245,SSP2-4.5 (Intermediate),0.17,base,Base estimate,7981.0,6.136564318,6802037.0,1715075.0,36838893.0,6.1819,0.3597,6.5416
2038,ssp245,SSP2-4.5 (Intermediate),0.18,base,Base estimate,8565.0,6.596787012,6810756.0,1715075.0,36899551.0,6.6422,0.387,7.0291999999999994
2039,ssp245,SSP2-4.5 (Intermediate),0.19,base,Base estimate,9156.0,7.055103368,7287321.0,1715075.0,39969309.0,7.1041,0.4138,7.5179
2040,ssp245,SSP2-4.5 (Intermediate),0.2,base,Base estimate,9769.0,7.526399462,7834481.0,1715075.0,43775634.0,7.5797,0.4412,8.0209
2041,ssp245,SSP2-4.5 (Intermediate),0.21,base,Base estimate,10391.0,8.011674131,8423770.0,1715075.0,46955636.0,8.0688,0.4697,8.538499999999999
2042,ssp245,SSP2-4.5 (Intermediate),0.22,base,Base estimate,11043.0,8.523159457,8637209.0,1715075.0,48440428.0,8.582,0.4999,9.081900000000001
2043,ssp245,SSP2-4.5 (Intermediate),0.23,base,Base estimate,11705.0,9.040504485,9270437.0,9129641.0,49460983.0,9.1084,0.5305,9.6389
2044,ssp245,SSP2-4.5 (Intermediate),0.24,base,Base estimate,12384.0,9.566788229,10938453.0,9129641.0,54742150.0,9.6416,0.5612,10.2028
2045,ssp245,SSP2-4.5 (Intermediate),0.25,base,Base estimate,13105.0,10.133117568,11067914.0,9129641.0,55642748.0,10.209,0.5946,10.8036
2046,ssp245,SSP2-4.5 (Intermediate),0.26,base,Base estimate,13800.0,10.668078533,63528978.0,37333095.0,56604164.0,10.8255,0.6257,11.4512
2047,ssp245,SSP2-4.5 (Intermediate),0.27,base,Base estimate,14552.0,11.260010091,64037664.0,37333095.0,60142849.0,11.4215,0.6606,12.0821
2048,ssp245,SSP2-4.5 (Intermediate),0.28,base,Base estimate,15297.0,11.8486969,64234470.0,37333095.0,61452159.0,12.0117,0.6955,12.7072
2049,ssp245,SSP2-4.5 (Intermediate),0.29,base,Base estimate,16084.0,12.464674231,64700375.0,37333095.0,64622445.0,12.6313,0.7316,13.3629
2050,ssp245,SSP2-4.5 (Intermediate),0.3,base,Base estimate,16869.0,13.082093099,65099294.0,37333095.0,67383402.0,13.2519,0.7681,14.02
2051,ssp245,SSP2-4.5 (Intermediate),0.306,base,Base estimate,17347.0,13.462195877,65099294.0,37333095.0,67383402.0,13.632,0.7907,14.422699999999999
2052,ssp245,SSP2-4.5 (Intermediate),0.312,base,Base estimate,17831.0,13.841827963,65099294.0,37333095.0,67383402.0,14.0116,0.8131,14.8247
2053,ssp245,SSP2-4.5 (Intermediate),0.318,base,Base estimate,18327.0,14.23178874,65318280.0,57248176.0,68906788.0,14.4233,0.8361,15.2594
2054,ssp245,SSP2-4.5 (Intermediate),0.324,base,Base estimate,18810.0,14.613024418,65825560.0,58197105.0,71040913.0,14.8081,0.8586,15.666699999999999
2055,ssp245,SSP2-4.5 (Intermediate),0.33,base,Base estimate,19318.0,15.016591048,65882768.0,58197105.0,71438886.0,15.2121,0.8825,16.0946
2056,ssp245,SSP2-4.5 (Intermediate),0.336,base,Base estimate,19857.0,15.451532681,65943023.0,58197105.0,71858049.0,15.6475,0.9086,16.5561
2057,ssp245,SSP2-4.5 (Intermediate),0.342,base,Base estimate,20406.0,15.89175136,66015527.0,58197105.0,72362423.0,16.0883,0.935,17.0233
2058,ssp245,SSP2-4.5 (Intermediate),0.348,base,Base estimate,20915.0,16.294308103,66177477.0,58197105.0,73424807.0,16.4921,0.9588,17.4509
2059,ssp245,SSP2-4.5 (Intermediate),0.354,base,Base estimate,21473.0,16.736032406,68044406.0,58197105.0,76773821.0,16.939,0.985,17.924
2060,ssp245,SSP2-4.5 (Intermediate),0.36,base,Base estimate,22005.0,17.159260528,73897637.0,58197105.0,79266172.0,17.3706,1.0102,18.3808
2061,ssp245,SSP2-4.5 (Intermediate),0.366,base,Base estimate,22533.0,17.577637361,73897637.0,58197105.0,79266172.0,17.789,1.035,18.824
2062,ssp245,SSP2-4.5 (Intermediate),0.372,base,Base estimate,23051.0,17.991438398,95272788.0,58197105.0,80308670.0,18.2252,1.0596,19.2848
2063,ssp245,SSP2-4.5 (Intermediate),0.378,base,Base estimate,23621.0,18.447794645,95272788.0,58197105.0,80308670.0,18.6816,1.0868,19.7684
2064,ssp245,SSP2-4.5 (Intermediate),0.384,base,Base estimate,24193.0,18.90203094,95334099.0,58197105.0,80727842.0,19.1363,1.1137,20.25
2065,ssp245,SSP2-4.5 (Intermediate),0.39,base,Base estimate,24778.0,19.368737978,95538324.0,60202531.0,82148541.0,19.6066,1.1414,20.748
2066,ssp245,SSP2-4.5 (Intermediate),0.396,base,Base estimate,25339.0,19.818142136,95796127.0,60202531.0,82307944.0,20.0564,1.1683,21.2247
2067,ssp245,SSP2-4.5 (Intermediate),0.402,base,Base estimate,25941.0,20.310007957,97283644.0,60202531.0,82902951.0,20.5504,1.198,21.7484
2068,ssp245,SSP2-4.5 (Intermediate),0.408,base,Base estimate,26505.0,20.760027182,97398362.0,60202531.0,83509645.0,21.0011,1.2249,22.226000000000003
2069,ssp245,SSP2-4.5 (Intermediate),0.414,base,Base estimate,27100.0,21.244757499,97398362.0,62225576.0,83509645.0,21.4879,1.2541,22.742
2070,ssp245,SSP2-4.5 (Intermediate),0.42,base,Base estimate,27675.0,21.705992289,97616776.0,62225576.0,85029049.0,21.9509,1.2816,23.2325
2071,ssp245,SSP2-4.5 (Intermediate),0.426,base,Base estimate,28296.0,22.206490398,97813108.0,62225576.0,86394832.0,22.4529,1.3116,23.764499999999998
2072,ssp245,SSP2-4.5 (Intermediate),0.432,base,Base estimate,28898.0,22.693833457,98016244.0,62225576.0,87807956.0,22.9419,1.3408,24.282700000000002
2073,ssp245,SSP2-4.5 (Intermediate),0.438,base,Base estimate,29507.0,23.18554459,98047505.0,62225576.0,88025422.0,23.4338,1.3703,24.804100000000002
2074,ssp245,SSP2-4.5 (Intermediate),0.444,base,Base estimate,30115.0,23.675000236,98047505.0,62225576.0,88025422.0,23.9233,1.3996,25.3229
2075,ssp245,SSP2-4.5 (Intermediate),0.45,base,Base estimate,30751.0,24.186461254,99288233.0,62225576.0,88521713.0,24.4365,1.4301,25.8666
2076,ssp245,SSP2-4.5 (Intermediate),0.456,base,Base estimate,31370.0,24.686261797,99397831.0,62225576.0,89284133.0,24.9372,1.4601,26.3973
2077,ssp245,SSP2-4.5 (Intermediate),0.462,base,Base estimate,32031.0,25.228078355,99764688.0,62225576.0,91836179.0,25.4819,1.4929,26.9748
2078,ssp245,SSP2-4.5 (Intermediate),0.468,base,Base estimate,32665.0,25.740351113,99821354.0,62225576.0,92230377.0,25.9946,1.5236,27.5182
2079,ssp245,SSP2-4.5 (Intermediate),0.474,base,Base estimate,33314.0,26.266898563,100005857.0,62225576.0,93513876.0,26.5226,1.5552,28.0778
2080,ssp245,SSP2-4.5 (Intermediate),0.48,base,Base estimate,33974.0,26.804993787,100005857.0,62225576.0,93513876.0,27.0607,1.5876,28.6483
2081,ssp245,SSP2-4.5 (Intermediate),0.486,base,Base estimate,34669.0,27.375267651,100269798.0,62225576.0,95206081.0,27.633,1.6221,29.2551
2082,ssp245,SSP2-4.5 (Intermediate),0.492,base,Base estimate,35315.0,27.896650018,102716928.0,62225576.0,99990852.0,28.1616,1.6534,29.815
2083,ssp245,SSP2-4.5 (Intermediate),0.498,base,Base estimate,35978.0,28.434911715,103103426.0,66197060.0,102679528.0,28.7069,1.6859,30.3928
2084,ssp245,SSP2-4.5 (Intermediate),0.504,base,Base estimate,39156.0,30.512228023,110589895.0,66197060.0,108991110.0,30.798,1.7763,32.5743
2085,ssp245,SSP2-4.5 (Intermediate),0.51,base,Base estimate,39865.0,31.096842136,111905517.0,66197060.0,112534001.0,31.3875,1.8117,33.1992
2086,ssp245,SSP2-4.5 (Intermediate),0.516,base,Base estimate,40547.0,31.65510269,111905517.0,66197060.0,112534001.0,31.9457,1.8455,33.791199999999996
2087,ssp245,SSP2-4.5 (Intermediate),0.522,base,Base estimate,41272.0,32.253153236,112244159.0,66197060.0,114889768.0,32.5465,1.8819,34.4284
2088,ssp245,SSP2-4.5 (Intermediate),0.528,base,Base estimate,42021.0,32.8716063,112807711.0,66197060.0,117416168.0,33.168,1.9195,35.0875
2089,ssp245,SSP2-4.5 (Intermediate),0.534,base,Base estimate,42697.0,33.420601086,113070623.0,66197060.0,119245121.0,33.7191,1.9525,35.6716
2090,ssp245,SSP2-4.5 (Intermediate),0.54,base,Base estimate,43403.0,33.999868175,113647289.0,66197060.0,120862027.0,34.3006,1.9875,36.2881
2091,ssp245,SSP2-4.5 (Intermediate),0.546,base,Base estimate,44105.0,34.577283436,121711965.0,66197060.0,126517736.0,34.8917,2.0226,36.9143
2092,ssp245,SSP2-4.5 (Intermediate),0.552,base,Base estimate,44870.0,35.209214183,139610446.0,66197060.0,133677128.0,35.5487,2.0611,37.6098
2093,ssp245,SSP2-4.5 (Intermediate),0.558,base,Base estimate,45583.0,35.800426077,139783467.0,66197060.0,134835356.0,36.1412,2.0971,38.238299999999995
2094,ssp245,SSP2-4.5 (Intermediate),0.564,base,Base estimate,46339.0,36.430292854,139813538.0,66197060.0,135044546.0,36.7713,2.1357,38.907
2095,ssp245,SSP2-4.5 (Intermediate),0.57,base,Base estimate,47039.0,37.007040013,139827515.0,66197060.0,135141782.0,37.3482,2.1707,39.5189
2096,ssp245,SSP2-4.5 (Intermediate),0.576,base,Base estimate,47776.0,37.609132317,139917292.0,69547363.0,135766315.0,37.9544,2.2068,40.1612
2097,ssp245,SSP2-4.5 (Intermediate),0.582,base,Base estimate,48523.0,38.225900763,140056546.0,69547363.0,136152451.0,38.5717,2.2444,40.8161
2098,ssp245,SSP2-4.5 (Intermediate),0.588,base,Base estimate,49293.0,38.874696845,140168442.0,69547363.0,136420978.0,39.2208,2.2844,41.505199999999995
2099,ssp245,SSP2-4.5 (Intermediate),0.594,base,Base estimate,50034.0,39.488358285,140168442.0,69547363.0,136420978.0,39.8345,2.3218,42.1563
2100,ssp245,SSP2-4.5 (Intermediate),0.6,base,Base estimate,50755.0,40.086140707,295940880.0,69547363.0,137620955.0,40.5892,2.3582,42.9474
2025,ssp585,SSP5-8.5 (High),0.065,base,Base estimate,2632.0,2.003399352,5117289.0,1715075.0,26052135.0,2.0363,0.1167,2.153
2026,ssp585,SSP5-8.5 (High),0.078,base,Base estimate,3215.0,2.449510145,5628762.0,1715075.0,29525132.0,2.4864,0.1428,2.6292
2027,ssp585,SSP5-8.5 (High),0.091,base,Base estimate,3823.0,2.917850238,5628762.0,1715075.0,29525132.0,2.9547,0.1703,3.125
2028,ssp585,SSP5-8.5 (High),0.104,base,Base estimate,4438.0,3.387242205,5666334.0,1715075.0,29675421.0,3.4243,0.1977,3.622
2029,ssp585,SSP5-8.5 (High),0.117,base,Base estimate,5083.0,3.881996995,5888853.0,1715075.0,31223378.0,3.9208,0.2266,4.1474
2030,ssp585,SSP5-8.5 (High),0.13,base,Base estimate,5742.0,4.393447701,5970805.0,1715075.0,31793484.0,4.4329,0.2569,4.6898
2031,ssp585,SSP5-8.5 (High),0.1435,base,Base estimate,6480.0,4.96646837,6180915.0,1715075.0,33255114.0,5.0076,0.2907,5.2983
2032,ssp585,SSP5-8.5 (High),0.157,base,Base estimate,7238.0,5.559889346,6734803.0,1715075.0,36371179.0,5.6047,0.3258,5.9305
2033,ssp585,SSP5-8.5 (High),0.1705,base,Base estimate,8008.0,6.156896122,6802037.0,1715075.0,36838893.0,6.2023,0.3609,6.5632
2034,ssp585,SSP5-8.5 (High),0.184,base,Base estimate,8792.0,6.772323944,6856584.0,1715075.0,36972875.0,6.8179,0.3973,7.215199999999999
2035,ssp585,SSP5-8.5 (High),0.1975,base,Base estimate,9629.0,7.420244937,7833525.0,1715075.0,43768988.0,7.4736,0.4351,7.9087000000000005
2036,ssp585,SSP5-8.5 (High),0.211,base,Base estimate,10451.0,8.056920165,8423770.0,1715075.0,46955636.0,8.114,0.4723,8.586300000000001
2037,ssp585,SSP5-8.5 (High),0.2245,base,Base estimate,11338.0,8.753708348,8640288.0,9129641.0,48452746.0,8.8199,0.5135,9.333400000000001
2038,ssp585,SSP5-8.5 (High),0.238,base,Base estimate,12240.0,9.453450322,10869973.0,9129641.0,54265770.0,9.5277,0.5545,10.0822
2039,ssp585,SSP5-8.5 (High),0.2515,base,Base estimate,13205.0,10.210092912,11067914.0,9129641.0,55642748.0,10.2859,0.5991,10.885
2040,ssp585,SSP5-8.5 (High),0.265,base,Base estimate,14172.0,10.960623145,64035799.0,37333095.0,60129873.0,11.1221,0.6429,11.765
2041,ssp585,SSP5-8.5 (High),0.2785,base,Base estimate,15194.0,11.768005378,64234470.0,37333095.0,61452159.0,11.931,0.6908,12.621799999999999
2042,ssp585,SSP5-8.5 (High),0.292,base,Base estimate,16231.0,12.577802206,64700375.0,37333095.0,64622445.0,12.7445,0.7382,13.482700000000001
2043,ssp585,SSP5-8.5 (High),0.3055,base,Base estimate,17314.0,13.435926291,65099294.0,37333095.0,67383402.0,13.6057,0.7891,14.3948
2044,ssp585,SSP5-8.5 (High),0.319,base,Base estimate,18406.0,14.29501754,65318280.0,57248176.0,68906788.0,14.4865,0.8398,15.3263
2045,ssp585,SSP5-8.5 (High),0.3325,base,Base estimate,19530.0,15.185897028,65943023.0,58197105.0,71858049.0,15.3819,0.8927,16.2746
2046,ssp585,SSP5-8.5 (High),0.346,base,Base estimate,20731.0,16.146811558,66170731.0,58197105.0,73377874.0,16.3446,0.95,17.2946
2047,ssp585,SSP5-8.5 (High),0.3595,base,Base estimate,21953.0,17.117187057,73897637.0,58197105.0,79266172.0,17.3285,1.0077,18.336199999999998
2048,ssp585,SSP5-8.5 (High),0.373,base,Base estimate,23150.0,18.07209309,95272788.0,58197105.0,80308670.0,18.3059,1.0645,19.3704
