scenario,variant,year,slr_m,rp_effective_yr,closure_days_yr
SSP1-2.6,baseline,2030,0.07,3.08,1.482
SSP1-2.6,baseline,2050,0.2,1.25,4.48
SSP1-2.6,baseline,2075,0.3,0.63,10.24
SSP1-2.6,baseline,2100,0.4,0.31,23.04
SSP1-2.6,+geoid,2030,0.22,1.09,5.293
SSP1-2.6,+geoid,2050,0.35,0.44,15.387
SSP1-2.6,+geoid,2075,0.45,0.22,34.394
SSP1-2.6,+geoid,2100,0.55,0.11,76.028
SSP2-4.5,baseline,2030,0.1,2.5,1.92
SSP2-4.5,baseline,2050,0.3,0.63,10.24
SSP2-4.5,baseline,2075,0.45,0.22,34.394
SSP2-4.5,baseline,2100,0.6,0.08,112.64
SSP2-4.5,+geoid,2030,0.25,0.88,6.788
SSP2-4.5,+geoid,2050,0.45,0.22,34.394
SSP2-4.5,+geoid,2075,0.6,0.08,112.64
SSP2-4.5,+geoid,2100,0.75,0.03,362.039
SSP5-8.5,baseline,2030,0.13,2.03,2.482
SSP5-8.5,baseline,2050,0.4,0.31,23.04
SSP5-8.5,baseline,2075,0.7,0.04,245.76
SSP5-8.5,baseline,2100,1.0,0.0,365.0
SSP5-8.5,+geoid,2030,0.28,0.72,8.692
SSP5-8.5,+geoid,2050,0.55,0.11,76.028
SSP5-8.5,+geoid,2075,0.85,0.01,365.0
SSP5-8.5,+geoid,2100,1.15,0.0,365.0
