year,scenario,slr_m,density_scenario,buildings_count,buildings_eur,roads_eur,railways_eur,utilities_eur,total_replacement_eur,total_bn_eur
2049,ssp126,0.1935,low,4684.0,3609389734.0,7833525.0,1715075.0,43768988.0,3662707322.0,3.6627
2050,ssp126,0.2,low,4885.0,3763199731.0,7834481.0,1715075.0,43775634.0,3816524920.0,3.8165
2051,ssp126,0.204,low,5004.0,3855403303.0,8127298.0,1715075.0,45812628.0,3911058304.0,3.9111
2052,ssp126,0.208,low,5133.0,3956057589.0,8303860.0,1715075.0,46121483.0,4012198007.0,4.0122
2053,ssp126,0.212,low,5255.0,4050996180.0,8545292.0,1715075.0,47801007.0,4109057553.0,4.1091
2054,ssp126,0.216,low,5388.0,4155971029.0,8637209.0,1715075.0,48440428.0,4214763741.0,4.2148
2055,ssp126,0.22,low,5521.0,4261579729.0,8637209.0,1715075.0,48440428.0,4320372440.0,4.3204
2056,ssp126,0.224,low,5651.0,4363139304.0,8640288.0,9129641.0,48452746.0,4429361979.0,4.4294
2057,ssp126,0.228,low,5781.0,4464193935.0,9270437.0,9129641.0,49460983.0,4532054996.0,4.5321
2058,ssp126,0.232,low,5926.0,4577640124.0,9527230.0,9129641.0,51247369.0,4647544364.0,4.6475
2059,ssp126,0.236,low,6054.0,4675282059.0,10869973.0,9129641.0,54265770.0,4749547443.0,4.7495
2060,ssp126,0.24,low,6192.0,4783394115.0,10938453.0,9129641.0,54742150.0,4858204359.0,4.8582
2061,ssp126,0.244,low,6333.0,4893362786.0,10938453.0,9129641.0,54742150.0,4968173030.0,4.9682
2062,ssp126,0.248,low,6478.0,5008348482.0,11067914.0,9129641.0,55642748.0,5084188784.0,5.0842
2063,ssp126,0.252,low,6619.0,5118067075.0,11067914.0,9129641.0,55642748.0,5193907377.0,5.1939
2064,ssp126,0.256,low,6761.0,5227163973.0,11067914.0,9129641.0,55642748.0,5303004275.0,5.303
2065,ssp126,0.26,low,6900.0,5334039266.0,63528978.0,37333095.0,56604164.0,5491505504.0,5.4915
2066,ssp126,0.264,low,7049.0,5451670483.0,63528978.0,37333095.0,56604164.0,5609136721.0,5.6091
2067,ssp126,0.268,low,7196.0,5566214215.0,64035799.0,37333095.0,60129873.0,5727712983.0,5.7277
2068,ssp126,0.272,low,7351.0,5689352300.0,64057881.0,37333095.0,60223718.0,5850966995.0,5.851
2069,ssp126,0.276,low,7501.0,5807295837.0,64057881.0,37333095.0,60223718.0,5968910533.0,5.9689
2070,ssp126,0.28,low,7649.0,5924348450.0,64234470.0,37333095.0,61452159.0,6087368174.0,6.0874
2071,ssp126,0.284,low,7802.0,6043432622.0,64614747.0,37333095.0,64026772.0,6209407238.0,6.2094
2072,ssp126,0.288,low,7954.0,6163402932.0,64671970.0,37333095.0,64424843.0,6329832841.0,6.3298
2073,ssp126,0.292,low,8116.0,6288901103.0,64700375.0,37333095.0,64622445.0,6455557019.0,6.4556
2074,ssp126,0.296,low,8282.0,6420337056.0,64825335.0,37333095.0,65477605.0,6587973092.0,6.588
2075,ssp126,0.3,low,8434.0,6541046550.0,65099294.0,37333095.0,67383402.0,6710862341.0,6.7109
2076,ssp126,0.304,low,8594.0,6668613110.0,65099294.0,37333095.0,67383402.0,6838428902.0,6.8384
2077,ssp126,0.308,low,8759.0,6798621521.0,65099294.0,37333095.0,67383402.0,6968437312.0,6.9684
2078,ssp126,0.312,low,8915.0,6920913981.0,65099294.0,37333095.0,67383402.0,7090729773.0,7.0907
2079,ssp126,0.316,low,9082.0,7051260125.0,65305184.0,37333095.0,68815681.0,7222714085.0,7.2227
2080,ssp126,0.32,low,9248.0,7183489403.0,65318280.0,57248176.0,68906788.0,7374962647.0,7.375
2081,ssp126,0.324,low,9405.0,7306512209.0,65825560.0,58197105.0,71040913.0,7501575786.0,7.5016
2082,ssp126,0.328,low,9571.0,7437397549.0,65882768.0,58197105.0,71438886.0,7632916308.0,7.6329
2083,ssp126,0.332,low,9743.0,7575139587.0,65943023.0,58197105.0,71858049.0,7771137764.0,7.7711
2084,ssp126,0.336,low,9928.0,7725766340.0,65943023.0,58197105.0,71858049.0,7921764518.0,7.9218
2085,ssp126,0.34,low,10115.0,7876035103.0,66015527.0,58197105.0,72362423.0,8072610158.0,8.0726
2086,ssp126,0.344,low,10285.0,8010797570.0,66015527.0,58197105.0,72362423.0,8207372624.0,8.2074
2087,ssp126,0.348,low,10458.0,8147154052.0,66177477.0,58197105.0,73424807.0,8344953440.0,8.345
2088,ssp126,0.352,low,10648.0,8297487268.0,68044406.0,58197105.0,76773821.0,8500502600.0,8.5005
2089,ssp126,0.356,low,10821.0,8434386997.0,68044406.0,58197105.0,76773821.0,8637402329.0,8.6374
2090,ssp126,0.36,low,11002.0,8579630264.0,73897637.0,58197105.0,79266172.0,8790991177.0,8.791
2091,ssp126,0.364,low,11184.0,8723332551.0,73897637.0,58197105.0,79266172.0,8934693464.0,8.9347
2092,ssp126,0.368,low,11346.0,8851053799.0,73897637.0,58197105.0,79266172.0,9062414712.0,9.0624
2093,ssp126,0.372,low,11526.0,8995719199.0,95272788.0,58197105.0,80308670.0,9229497762.0,9.2295
2094,ssp126,0.376,low,11708.0,9140547757.0,95272788.0,58197105.0,80308670.0,9374326320.0,9.3743
2095,ssp126,0.38,low,11914.0,9306354858.0,95301004.0,58197105.0,80504951.0,9540357918.0,9.5404
2096,ssp126,0.384,low,12097.0,9451015470.0,95334099.0,58197105.0,80727842.0,9685274516.0,9.6853
2097,ssp126,0.388,low,12289.0,9604259017.0,95534280.0,60202531.0,82120407.0,9842116235.0,9.8421
2098,ssp126,0.392,low,12482.0,9759467461.0,95787543.0,60202531.0,82248229.0,9997705763.0,9.9977
2099,ssp126,0.396,low,12669.0,9909071068.0,95796127.0,60202531.0,82307944.0,10147377671.0,10.1474
2100,ssp126,0.4,low,12871.0,10074000135.0,97283644.0,60202531.0,82902951.0,10314389261.0,10.3144
2025,ssp245,0.05,low,990.0,752364382.0,3338032.0,866140.0,22069140.0,778637693.0,0.7786
2026,ssp245,0.06,low,1200.0,912592060.0,5117289.0,866140.0,26052135.0,944627623.0,0.9446
2027,ssp245,0.07,low,1423.0,1083803273.0,5525419.0,1715075.0,28891300.0,1119935066.0,1.1199
2028,ssp245,0.08,low,1653.0,1259942012.0,5628762.0,1715075.0,29525132.0,1296810980.0,1.2968
2029,ssp245,0.09,low,1886.0,1439326975.0,5628762.0,1715075.0,29525132.0,1476195943.0,1.4762
2030,ssp245,0.1,low,2123.0,1621757437.0,5666334.0,1715075.0,29675421.0,1658814266.0,1.6588
2031,ssp245,0.11,low,2365.0,1805142908.0,5888853.0,1715075.0,31223378.0,1843970213.0,1.844
2032,ssp245,0.12,low,2619.0,2000985494.0,5970805.0,1715075.0,31793484.0,2040464858.0,2.0405
2033,ssp245,0.13,low,2871.0,2196723851.0,5970805.0,1715075.0,31793484.0,2236203214.0,2.2362
2034,ssp245,0.14,low,3140.0,2406066218.0,6180915.0,1715075.0,33255114.0,2447217322.0,2.4472
2035,ssp245,0.15,low,3422.0,2625867656.0,6261843.0,1715075.0,33818095.0,2667662669.0,2.6677
2036,ssp245,0.16,low,3698.0,2840577673.0,6734803.0,1715075.0,36371179.0,2885398729.0,2.8854
2037,ssp245,0.17,low,3991.0,3068282159.0,6802037.0,1715075.0,36838893.0,3113638163.0,3.1136
2038,ssp245,0.18,low,4282.0,3298393506.0,6810756.0,1715075.0,36899551.0,3343818888.0,3.3438
2039,ssp245,0.19,low,4578.0,3527551684.0,7287321.0,1715075.0,39969309.0,3576523389.0,3.5765
2040,ssp245,0.2,low,4885.0,3763199731.0,7834481.0,1715075.0,43775634.0,3816524920.0,3.8165
2041,ssp245,0.21,low,5195.0,4005837065.0,8423770.0,1715075.0,46955636.0,4062931547.0,4.0629
2042,ssp245,0.22,low,5521.0,4261579729.0,8637209.0,1715075.0,48440428.0,4320372440.0,4.3204
2043,ssp245,0.23,low,5852.0,4520252243.0,9270437.0,9129641.0,49460983.0,4588113303.0,4.5881
2044,ssp245,0.24,low,6192.0,4783394115.0,10938453.0,9129641.0,54742150.0,4858204359.0,4.8582
2045,ssp245,0.25,low,6552.0,5066558784.0,11067914.0,9129641.0,55642748.0,5142399086.0,5.1424
2046,ssp245,0.26,low,6900.0,5334039266.0,63528978.0,37333095.0,56604164.0,5491505504.0,5.4915
2047,ssp245,0.27,low,7276.0,5630005046.0,64037664.0,37333095.0,60142849.0,5791518654.0,5.7915
2048,ssp245,0.28,low,7649.0,5924348450.0,64234470.0,37333095.0,61452159.0,6087368174.0,6.0874
2049,ssp245,0.29,low,8042.0,6232337115.0,64700375.0,37333095.0,64622445.0,6398993031.0,6.399
2050,ssp245,0.3,low,8434.0,6541046550.0,65099294.0,37333095.0,67383402.0,6710862341.0,6.7109
2051,ssp245,0.306,low,8674.0,6731097938.0,65099294.0,37333095.0,67383402.0,6900913730.0,6.9009
2052,ssp245,0.312,low,8915.0,6920913981.0,65099294.0,37333095.0,67383402.0,7090729773.0,7.0907
2053,ssp245,0.318,low,9163.0,7115894370.0,65318280.0,57248176.0,68906788.0,7307367613.0,7.3074
2054,ssp245,0.324,low,9405.0,7306512209.0,65825560.0,58197105.0,71040913.0,7501575786.0,7.5016
2055,ssp245,0.33,low,9659.0,7508295524.0,65882768.0,58197105.0,71438886.0,7703814283.0,7.7038
2056,ssp245,0.336,low,9928.0,7725766340.0,65943023.0,58197105.0,71858049.0,7921764518.0,7.9218
2057,ssp245,0.342,low,10203.0,7945875680.0,66015527.0,58197105.0,72362423.0,8142450735.0,8.1425
2058,ssp245,0.348,low,10458.0,8147154052.0,66177477.0,58197105.0,73424807.0,8344953440.0,8.345
2059,ssp245,0.354,low,10736.0,8368016203.0,68044406.0,58197105.0,76773821.0,8571031535.0,8.571
2060,ssp245,0.36,low,11002.0,8579630264.0,73897637.0,58197105.0,79266172.0,8790991177.0,8.791
2061,ssp245,0.366,low,11266.0,8788818681.0,73897637.0,58197105.0,79266172.0,9000179594.0,9.0002
2062,ssp245,0.372,low,11526.0,8995719199.0,95272788.0,58197105.0,80308670.0,9229497762.0,9.2295
2063,ssp245,0.378,low,11811.0,9223897323.0,95272788.0,58197105.0,80308670.0,9457675885.0,9.4577
2064,ssp245,0.384,low,12097.0,9451015470.0,95334099.0,58197105.0,80727842.0,9685274516.0,9.6853
2065,ssp245,0.39,low,12389.0,9684368989.0,95538324.0,60202531.0,82148541.0,9922258385.0,9.9223
2066,ssp245,0.396,low,12669.0,9909071068.0,95796127.0,60202531.0,82307944.0,10147377671.0,10.1474
2067,ssp245,0.402,low,12971.0,10155003979.0,97283644.0,60202531.0,82902951.0,10395393104.0,10.3954
2068,ssp245,0.408,low,13252.0,10380013591.0,97398362.0,60202531.0,83509645.0,10621124129.0,10.6211
2069,ssp245,0.414,low,13550.0,10622378749.0,97398362.0,62225576.0,83509645.0,10865512332.0,10.8655
2070,ssp245,0.42,low,13837.0,10852996145.0,97616776.0,62225576.0,85029049.0,11097867546.0,11.0979
2071,ssp245,0.426,low,14148.0,11103245199.0,97813108.0,62225576.0,86394832.0,11349678715.0,11.3497
2072,ssp245,0.432,low,14449.0,11346916728.0,98016244.0,62225576.0,87807956.0,11594966505.0,11.595
2073,ssp245,0.438,low,14754.0,11592772295.0,98047505.0,62225576.0,88025422.0,11841070798.0,11.8411
2074,ssp245,0.444,low,15058.0,11837500118.0,98047505.0,62225576.0,88025422.0,12085798621.0,12.0858
2075,ssp245,0.45,low,15375.0,12093230627.0,99288233.0,62225576.0,88521713.0,12343266150.0,12.3433
2076,ssp245,0.456,low,15685.0,12343130898.0,99397831.0,62225576.0,89284133.0,12594038439.0,12.594
2077,ssp245,0.462,low,16015.0,12614039178.0,99764688.0,62225576.0,91836179.0,12867865620.0,12.8679
2078,ssp245,0.468,low,16332.0,12870175557.0,99821354.0,62225576.0,92230377.0,13124452863.0,13.1245
2079,ssp245,0.474,low,16657.0,13133449281.0,100005857.0,62225576.0,93513876.0,13389194590.0,13.3892
2080,ssp245,0.48,low,16987.0,13402496893.0,100005857.0,62225576.0,93513876.0,13658242202.0,13.6582
2081,ssp245,0.486,low,17334.0,13687633825.0,100269798.0,62225576.0,95206081.0,13945335280.0,13.9453
2082,ssp245,0.492,low,17657.0,13948325009.0,102716928.0,62225576.0,99990852.0,14213258365.0,14.2133
2083,ssp245,0.498,low,17989.0,14217455857.0,103103426.0,66197060.0,102679528.0,14489435871.0,14.4894
2084,ssp245,0.504,low,19578.0,15256114011.0,110589895.0,66197060.0,108991110.0,15541892077.0,15.5419
2085,ssp245,0.51,low,19932.0,15548421068.0,111905517.0,66197060.0,112534001.0,15839057646.0,15.8391
2086,ssp245,0.516,low,20274.0,15827551345.0,111905517.0,66197060.0,112534001.0,16118187923.0,16.1182
2087,ssp245,0.522,low,20636.0,16126576618.0,112244159.0,66197060.0,114889768.0,16419907605.0,16.4199
2088,ssp245,0.528,low,21010.0,16435803150.0,112807711.0,66197060.0,117416168.0,16732224089.0,16.7322
2089,ssp245,0.534,low,21349.0,16710300543.0,113070623.0,66197060.0,119245121.0,17008813347.0,17.0088
2090,ssp245,0.54,low,21702.0,16999934087.0,113647289.0,66197060.0,120862027.0,17300640463.0,17.3006
2091,ssp245,0.546,low,22053.0,17288641718.0,121711965.0,66197060.0,126517736.0,17603068479.0,17.6031
2092,ssp245,0.552,low,22435.0,17604607091.0,139610446.0,66197060.0,133677128.0,17944091726.0,17.9441
2093,ssp245,0.558,low,22792.0,17900213039.0,139783467.0,66197060.0,134835356.0,18241028921.0,18.241
2094,ssp245,0.564,low,23170.0,18215146427.0,139813538.0,66197060.0,135044546.0,18556201570.0,18.5562
2095,ssp245,0.57,low,23519.0,18503520007.0,139827515.0,66197060.0,135141782.0,18844686364.0,18.8447
2096,ssp245,0.576,low,23888.0,18804566159.0,139917292.0,69547363.0,135766315.0,19149797129.0,19.1498
2097,ssp245,0.582,low,24261.0,19112950381.0,140056546.0,69547363.0,136152451.0,19458706742.0,19.4587
2098,ssp245,0.588,low,24647.0,19437348422.0,140168442.0,69547363.0,136420978.0,19783485205.0,19.7835
2099,ssp245,0.594,low,25017.0,19744179143.0,140168442.0,69547363.0,136420978.0,20090315925.0,20.0903
2100,ssp245,0.6,low,25378.0,20043070353.0,295940880.0,69547363.0,137620955.0,20546179552.0,20.5462
2025,ssp585,0.065,low,1316.0,1001699676.0,5117289.0,1715075.0,26052135.0,1034584174.0,1.0346
2026,ssp585,0.078,low,1607.0,1224755072.0,5628762.0,1715075.0,29525132.0,1261624041.0,1.2616
2027,ssp585,0.091,low,1912.0,1458925119.0,5628762.0,1715075.0,29525132.0,1495794087.0,1.4958
2028,ssp585,0.104,low,2219.0,1693621102.0,5666334.0,1715075.0,29675421.0,1730677931.0,1.7307
2029,ssp585,0.117,low,2541.0,1940998498.0,5888853.0,1715075.0,31223378.0,1979825803.0,1.9798
2030,ssp585,0.13,low,2871.0,2196723851.0,5970805.0,1715075.0,31793484.0,2236203214.0,2.2362
2031,ssp585,0.1435,low,3240.0,2483234185.0,6180915.0,1715075.0,33255114.0,2524385288.0,2.5244
2032,ssp585,0.157,low,3619.0,2779944673.0,6734803.0,1715075.0,36371179.0,2824765730.0,2.8248
2033,ssp585,0.1705,low,4004.0,3078448061.0,6802037.0,1715075.0,36838893.0,3123804065.0,3.1238
2034,ssp585,0.184,low,4396.0,3386161972.0,6856584.0,1715075.0,36972875.0,3431706506.0,3.4317
2035,ssp585,0.1975,low,4814.0,3710122469.0,7833525.0,1715075.0,43768988.0,3763440057.0,3.7634
2036,ssp585,0.211,low,5225.0,4028460082.0,8423770.0,1715075.0,46955636.0,4085554564.0,4.0856
2037,ssp585,0.2245,low,5669.0,4376854174.0,8640288.0,9129641.0,48452746.0,4443076849.0,4.4431
2038,ssp585,0.238,low,6120.0,4726725161.0,10869973.0,9129641.0,54265770.0,4800990545.0,4.801
2039,ssp585,0.2515,low,6602.0,5105046456.0,11067914.0,9129641.0,55642748.0,5180886758.0,5.1809
2040,ssp585,0.265,low,7086.0,5480311572.0,64035799.0,37333095.0,60129873.0,5641810340.0,5.6418
2041,ssp585,0.2785,low,7597.0,5884002689.0,64234470.0,37333095.0,61452159.0,6047022413.0,6.047
2042,ssp585,0.292,low,8116.0,6288901103.0,64700375.0,37333095.0,64622445.0,6455557019.0,6.4556
2043,ssp585,0.3055,low,8657.0,6717963145.0,65099294.0,37333095.0,67383402.0,6887778937.0,6.8878
2044,ssp585,0.319,low,9203.0,7147508770.0,65318280.0,57248176.0,68906788.0,7338982013.0,7.339
2045,ssp585,0.3325,low,9765.0,7592948514.0,65943023.0,58197105.0,71858049.0,7788946692.0,7.7889
2046,ssp585,0.346,low,10366.0,8073405779.0,66170731.0,58197105.0,73377874.0,8271151489.0,8.2712
2047,ssp585,0.3595,low,10976.0,8558593528.0,73897637.0,58197105.0,79266172.0,8769954442.0,8.77
2048,ssp585,0.373,low,11575.0,9036046545.0,95272788.0,58197105.0,80308670.0,9269825108.0,9.2698
2049,ssp585,0.3865,low,12219.0,9549647036.0,95369909.0,58197105.0,80976954.0,9784191003.0,9.7842
2050,ssp585,0.4,low,12871.0,10074000135.0,97283644.0,60202531.0,82902951.0,10314389261.0,10.3144
2051,ssp585,0.412,low,13455.0,10543807179.0,97398362.0,62225576.0,83509645.0,10786940762.0,10.7869
2052,ssp585,0.424,low,14045.0,11020241838.0,97616776.0,62225576.0,85029049.0,11265113240.0,11.2651
2053,ssp585,0.436,low,14649.0,11508376012.0,98047505.0,62225576.0,88025422.0,11756674515.0,11.7567
2054,ssp585,0.448,low,15272.0,12009822869.0,98047505.0,62225576.0,88025422.0,12258121372.0,12.2581
2055,ssp585,0.46,low,15901.0,12519823934.0,99764688.0,62225576.0,91836179.0,12773650377.0,12.7737
2056,ssp585,0.472,low,16550.0,13047138927.0,100005857.0,62225576.0,93513876.0,13302884236.0,13.3029
2057,ssp585,0.484,low,17217.0,13593151194.0,100006864.0,62225576.0,93520881.0,13848904515.0,13.8489
2058,ssp585,0.496,low,17881.0,14130250158.0,103103426.0,62225576.0,102679528.0,14398258688.0,14.3983
2059,ssp585,0.508,low,19816.0,15453345468.0,111905517.0,66197060.0,112534001.0,15743982046.0,15.744
2060,ssp585,0.52,low,20524.0,16035075032.0,111993013.0,66197060.0,113142668.0,16326407773.0,16.3264
2061,ssp585,0.532,low,21232.0,16615567097.0,112966713.0,66197060.0,118522271.0,16913253141.0,16.9133
2062,ssp585,0.544,low,21931.0,17187889095.0,114058195.0,66197060.0,123209762.0,17491354112.0,17.4914
2063,ssp585,0.556,low,22664.0,17794176371.0,139641440.0,66197060.0,133892735.0,18133907606.0,18.1339
2064,ssp585,0.568,low,23393.0,18398203372.0,139813538.0,66197060.0,135044546.0,18739258515.0,18.7393
2065,ssp585,0.58,low,24135.0,19008385821.0,140026054.0,69547363.0,135940335.0,19353899574.0,19.3539
2066,ssp585,0.592,low,24888.0,19637314162.0,140168442.0,69547363.0,136420978.0,19983450944.0,19.9835
2067,ssp585,0.604,low,25633.0,20256081388.0,296062556.0,69547363.0,138107661.0,20759798968.0,20.7598
2068,ssp585,0.616,low,26391.0,20884743445.0,297593802.0,112864847.0,139525473.0,21434727566.0,21.4347
2069,ssp585,0.628,low,27152.0,21522164486.0,300918733.0,112864847.0,150516935.0,22086465001.0,22.0865
2070,ssp585,0.64,low,27902.0,22145539552.0,302574327.0,113510110.0,160204591.0,22721828580.0,22.7218
2071,ssp585,0.652,low,28677.0,22790849645.0,302703136.0,113510110.0,161100654.0,23368163545.0,23.3682
2072,ssp585,0.664,low,29465.0,23449983258.0,302991123.0,113510110.0,163104045.0,24029588536.0,24.0296
2073,ssp585,0.676,low,30249.0,24105973772.0,303150781.0,113510110.0,163691178.0,24686325840.0,24.6863
2074,ssp585,0.688,low,31041.0,24775941388.0,304071310.0,113510110.0,167951040.0,25361473849.0,25.3615
2075,ssp585,0.7,low,31844.0,25448958185.0,304982291.0,113510110.0,170518892.0,26037969479.0,26.038
2076,ssp585,0.712,low,32629.0,26108607422.0,305274123.0,113510110.0,171905176.0,26699296832.0,26.6993
2077,ssp585,0.724,low,33435.0,26790861997.0,305860762.0,129647643.0,175392543.0,27401762947.0,27.4018
2078,ssp585,0.736,low,34214.0,27447481941.0,306847893.0,129647643.0,179194798.0,28063172276.0,28.0632
2079,ssp585,0.748,low,35001.0,28107679213.0,307377759.0,129647643.0,182415761.0,28727120376.0,28.7271
2080,ssp585,0.76,low,35823.0,28804468501.0,308026077.0,129647643.0,184751183.0,29426893405.0,29.4269
2081,ssp585,0.772,low,36641.0,29500406641.0,308880294.0,129647643.0,188137391.0,30127071969.0,30.1271
2082,ssp585,0.784,low,37450.0,30187126155.0,308983469.0,131249593.0,188855131.0,30816214347.0,30.8162
2083,ssp585,0.796,low,38240.0,30854805872.0,309794555.0,131249593.0,192272678.0,31488122697.0,31.4881
2084,ssp585,0.808,low,39047.0,31540872752.0,311478476.0,131249593.0,193222383.0,32176823204.0,32.1768
2085,ssp585,0.82,low,39873.0,32247635320.0,312289507.0,131249593.0,197173028.0,32888347448.0,32.8883
2086,ssp585,0.832,low,40677.0,32932916610.0,312479728.0,131694826.0,198325184.0,33575416348.0,33.5754
2087,ssp585,0.844,low,41517.0,33653813176.0,312710443.0,131694826.0,199767933.0,34297986379.0,34.298
2088,ssp585,0.856,low,42373.0,34390375146.0,316088156.0,138937083.0,203180701.0,35048581085.0,35.0486
2089,ssp585,0.868,low,43189.0,35092156414.0,317031097.0,138937083.0,208256879.0,35756381473.0,35.7564
2090,ssp585,0.88,low,44060.0,35846354208.0,317722296.0,138937083.0,210250762.0,36513264350.0,36.5133
2091,ssp585,0.892,low,44874.0,36547598122.0,318730289.0,138937083.0,211244696.0,37216510191.0,37.2165
2092,ssp585,0.904,low,45726.0,37280947384.0,331664847.0,146400869.0,217864859.0,37976877959.0,37.9769
2093,ssp585,0.916,low,46558.0,38002414820.0,331849138.0,163437812.0,219146881.0,38716848651.0,38.7168
2094,ssp585,0.928,low,47395.0,38725244610.0,333997867.0,163836340.0,223626323.0,39446705140.0,39.4467
2095,ssp585,0.94,low,48239.0,39454571265.0,334701218.0,164649925.0,224214176.0,40178136584.0,40.1781
2096,ssp585,0.952,low,49092.0,40194826947.0,335207296.0,164649925.0,226634018.0,40921318186.0,40.9213
2097,ssp585,0.964,low,49931.0,40923380902.0,342299544.0,171157043.0,231953816.0,41668791306.0,41.6688
2098,ssp585,0.976,low,50792.0,41673587765.0,351525662.0,171157043.0,238441900.0,42434712370.0,42.4347
2099,ssp585,0.988,low,51631.0,42400797046.0,353701349.0,174956176.0,241560059.0,43171014630.0,43.171
2100,ssp585,1.0,low,52904.0,43426899380.0,372395436.0,205987459.0,250173701.0,44255455975.0,44.2555
