year_decimal,sea_level_m,flag
1904.7083,6.915,0
1904.7917,6.958,0
1904.875,6.954,0
1904.9583,6.853,0
1905.0417,6.81,0
1905.125,6.776,0
1905.2083,6.784,0
1905.2917,6.877,0
1905.375,6.862,0
1905.4583,6.856,0
1905.5417,6.842,0
1905.625,6.876,0
1905.7083,6.893,0
1905.7917,6.984,0
1905.875,6.925,0
1905.9583,6.826,0
1906.0417,6.854,0
1906.125,6.783,0
1906.2083,6.933,0
1906.2917,6.888,0
1906.375,6.92,0
1906.4583,6.903,0
1906.5417,6.874,0
1906.625,6.866,0
1906.7083,6.925,0
1906.7917,6.969,0
1906.875,6.898,0
1906.9583,6.817,0
1907.0417,6.813,0
1907.125,6.8,0
1907.2083,6.75,0
1907.2917,6.774,0
1907.375,6.918,0
1907.4583,6.85,0
1907.5417,6.849,0
1907.625,6.908,0
1907.7083,6.96,0
1907.7917,6.934,0
1907.875,7.003,0
1907.9583,6.908,0
1908.0417,6.917,0
1908.125,6.817,0
1908.2083,6.818,0
1908.2917,6.883,0
1908.375,6.826,0
1908.4583,6.881,0
1908.5417,6.824,0
1908.625,6.868,0
1908.7083,6.884,0
1908.7917,6.929,0
1908.875,6.999,0
1908.9583,6.896,0
1909.0417,6.839,0
1909.125,6.866,0
1909.2083,6.922,0
1909.2917,6.876,0
1909.375,6.853,0
1909.4583,6.806,0
1909.5417,6.873,0
1909.625,6.904,0
1909.7083,6.903,0
1909.7917,6.912,0
1909.875,7.012,0
1909.9583,6.967,0
1910.0417,6.862,0
1910.125,6.784,0
1910.2083,6.81,0
1910.2917,6.831,0
1910.375,6.893,0
1910.4583,6.871,0
1910.5417,6.881,0
1910.625,6.838,0
1910.7083,6.926,0
1910.7917,6.961,0
1910.875,6.91,0
1910.9583,6.913,0
1911.0417,6.849,0
1911.125,6.839,0
1911.2083,6.861,0
1911.2917,6.867,99
1911.375,6.869,0
1911.4583,6.858,0
1911.5417,6.884,0
1911.625,6.87,0
1911.7083,6.903,0
1911.7917,6.938,0
1911.875,6.882,0
1911.9583,6.943,0
1914.0417,6.823,0
1914.125,6.782,0
1914.2083,6.712,0
1914.2917,6.864,0
1914.375,6.882,0
1914.4583,6.853,0
1914.5417,6.836,0
1914.625,6.845,0
1914.7083,6.897,0
1914.7917,6.919,0
1914.875,6.925,0
1914.9583,6.804,0
1915.0417,6.758,0
1915.125,6.826,0
1915.2083,6.883,0
1915.2917,6.757,0
1915.375,6.897,0
1915.4583,6.817,0
1915.5417,6.866,0
1915.625,6.959,0
1915.7083,6.892,0
1915.7917,6.829,0
1915.875,6.885,0
1915.9583,6.947,0
1917.0417,6.934,0
1917.125,6.923,0
1917.2083,6.837,0
1917.2917,6.872,0
1917.375,6.901,0
1917.4583,6.838,0
1917.5417,6.882,0
1917.625,6.856,0
1917.7083,6.849,0
1917.7917,6.871,0
1917.875,6.842,0
1917.9583,6.877,0
1918.0417,6.916,0
1918.125,6.848,0
1918.2083,6.822,0
1918.2917,6.868,0
1918.375,6.848,0
1918.4583,6.867,0
1918.5417,6.859,0
1918.625,6.888,0
1918.7083,6.87,0
1918.7917,6.845,0
1918.875,6.889,0
1918.9583,6.772,0
1919.0417,6.79,0
1919.125,6.884,0
1919.2083,6.799,0
1919.2917,6.825,0
1919.375,6.819,0
1919.4583,6.849,0
1919.5417,6.86,0
1919.625,6.874,0
1919.7083,6.923,0
1919.7917,6.902,0
1919.875,6.947,0
1919.9583,6.802,0
1920.0417,6.808,0
1920.125,6.884,0
1920.2083,6.785,0
1920.2917,6.869,0
1920.375,6.904,0
1920.4583,6.846,0
1920.5417,6.817,0
1920.625,6.866,0
1920.7083,6.89,0
1920.7917,6.91,0
1920.875,6.913,0
1920.9583,6.913,0
1921.0417,6.809,0
1921.125,6.845,0
1921.2083,6.806,0
1921.2917,6.848,0
1921.375,6.833,0
1921.4583,6.867,0
1921.5417,6.864,0
1921.625,6.849,0
1921.7083,6.905,0
1921.7917,7.004,0
1921.875,6.965,0
1921.9583,6.808,0
1922.0417,6.777,0
1922.125,6.814,0
1922.2083,6.841,0
1922.2917,6.784,0
1922.375,6.832,0
1922.4583,6.874,0
1922.5417,6.808,0
1922.625,6.86,0
1922.7083,6.868,0
1922.7917,7.034,0
1922.875,6.935,0
1922.9583,6.87,0
1923.0417,6.747,0
1923.125,6.786,0
1923.2083,6.856,0
1923.2917,6.884,0
1923.375,6.874,0
1923.4583,6.871,0
1923.5417,6.862,0
1923.625,6.879,0
1923.7083,6.845,0
1923.7917,6.94,0
1923.875,6.916,0
1923.9583,6.813,0
1924.0417,6.838,0
1924.125,6.908,99
1924.2083,6.96,99
1924.2917,6.874,99
1924.375,6.883,99
1924.4583,6.829,99
1924.5417,6.853,0
1924.625,6.878,0
1924.7083,6.893,99
1924.7917,6.94,99
1924.875,6.951,0
1924.9583,6.824,99
1925.0417,6.778,99
1925.125,6.8,99
1925.2083,6.915,99
1925.2917,6.799,0
1925.375,6.849,0
1925.4583,6.899,0
1925.5417,6.852,0
1925.625,6.875,0
1925.7083,6.924,0
1925.7917,6.932,0
1925.875,6.933,99
1925.9583,7.015,99
1926.0417,6.881,99
1926.125,6.938,99
1926.2083,6.855,99
1926.2917,6.854,99
1926.375,6.83,0
1926.4583,6.839,0
1926.5417,6.874,0
1926.625,6.903,0
1926.7083,6.901,0
1926.7917,7.008,0
1926.875,6.928,99
1926.9583,6.9,0
1927.0417,6.792,99
1927.125,6.839,99
1927.2083,6.772,99
1927.2917,6.851,99
1927.375,6.929,0
1927.4583,6.912,0
1927.5417,6.865,0
1927.625,6.908,0
1927.7083,6.966,0
1927.7917,6.995,0
1927.875,6.97,99
1927.9583,6.976,0
1928.0417,6.776,99
1928.125,6.807,0
1928.2083,6.922,0
1928.2917,6.941,99
1928.375,6.937,0
1928.4583,6.986,0
1928.5417,6.954,0
1928.625,6.967,0
1928.7083,7.006,0
1928.7917,6.944,99
1928.875,6.904,0
1928.9583,6.909,0
1929.0417,6.888,0
1929.125,6.921,0
1929.2083,6.831,99
1929.2917,6.98,0
1929.375,6.867,0
1929.4583,6.916,0
1929.5417,6.945,0
1929.625,6.946,0
1929.7083,6.976,0
1929.7917,6.969,0
1929.875,6.91,0
1929.9583,6.919,99
1930.0417,6.919,0
1930.125,6.895,99
1930.2083,6.899,0
1930.2917,6.917,99
1930.375,6.881,0
1930.4583,6.892,0
1930.5417,6.922,0
1930.625,6.907,0
1930.7083,6.938,0
1930.7917,6.957,0
1930.875,6.953,0
1930.9583,6.909,0
1931.0417,6.887,0
1931.125,6.798,99
1931.2083,7.016,0
1931.2917,6.962,99
1931.375,6.916,0
1931.4583,6.948,0
1931.5417,6.94,0
1931.625,6.933,0
1931.7083,6.967,0
1931.7917,7.021,0
1931.875,7.016,0
1931.9583,6.914,0
1932.0417,6.845,0
1932.125,6.948,0
1932.2083,7.0,0
1932.2917,6.853,0
1932.375,6.864,0
1932.4583,6.92,0
1932.5417,6.92,0
1932.625,6.97,0
1932.7083,6.984,0
1932.7917,6.912,0
1932.875,6.946,0
1932.9583,6.965,0
1933.0417,6.928,0
1933.125,6.924,0
1933.2083,6.895,0
1933.2917,6.868,0
1933.375,6.886,0
1933.4583,6.873,0
1933.5417,6.889,0
1933.625,6.942,0
1933.7083,6.969,0
1933.7917,7.017,0
1933.875,6.983,0
1933.9583,6.919,0
1934.0417,6.765,0
1934.125,6.826,0
1934.2083,6.836,0
1934.2917,6.978,0
1934.375,6.956,0
1934.4583,6.941,0
1934.5417,6.92,0
1934.625,6.869,0
1934.7083,6.869,0
1934.7917,6.913,0
1934.875,6.969,0
1934.9583,6.895,0
1935.0417,6.866,0
1935.125,6.813,0
1935.2083,6.887,0
1935.2917,6.821,0
1935.375,6.882,0
1935.4583,6.826,0
1935.5417,6.812,0
1935.625,6.894,0
1935.7083,6.86,0
1935.7917,6.816,0
1935.875,6.861,0
1935.9583,6.885,0
1936.0417,6.953,0
1936.125,6.975,0
1936.2083,6.955,0
1936.2917,6.912,0
1936.375,6.916,0
1936.4583,6.916,0
1936.5417,6.878,0
1936.625,6.943,0
1936.7083,6.905,0
1936.7917,6.871,0
1936.875,6.865,0
1936.9583,6.812,0
1937.0417,6.844,0
1937.125,6.815,0
1937.2083,6.82,0
1937.2917,6.784,0
1937.375,6.819,0
1937.4583,6.791,0
1937.5417,6.891,0
1937.625,6.882,0
1937.7083,6.94,0
1937.7917,6.986,0
1937.875,7.063,0
1937.9583,6.896,0
1938.0417,6.811,0
1938.125,6.884,0
1938.2083,6.905,0
1938.2917,6.964,0
1938.375,6.875,0
1938.4583,6.905,0
1938.5417,6.875,0
1938.625,6.916,0
1938.7083,6.892,0
1938.7917,6.93,0
1938.875,6.853,0
1938.9583,6.925,0
1939.0417,6.941,0
1939.125,6.843,0
1939.2083,6.921,0
1939.2917,6.898,0
1939.375,6.943,0
1939.4583,6.89,0
1939.5417,6.91,0
1939.625,6.921,0
1939.7083,6.983,0
1939.7917,7.026,0
1939.875,6.927,0
1939.9583,6.993,0
1940.0417,7.012,0
1940.125,6.969,0
1940.2083,6.946,0
1940.2917,6.856,0
1940.375,6.882,0
1940.4583,6.846,0
1940.5417,6.845,0
1940.625,6.928,0
1940.7083,6.942,0
1940.7917,6.999,0
1940.875,6.779,0
1940.9583,6.774,0
1941.0417,6.959,0
1941.125,6.951,99
1941.2083,6.963,0
1941.2917,6.942,99
1941.375,6.867,99
1941.4583,6.879,0
1941.5417,6.927,0
1941.625,6.903,0
1941.7083,6.986,99
1941.7917,7.011,99
1941.875,7.008,99
1941.9583,6.853,99
1942.0417,6.756,99
1942.125,6.809,99
1942.2917,6.974,99
1942.375,6.936,99
1942.4583,6.997,0
1942.5417,6.903,99
1942.625,6.947,0
1942.7083,6.98,99
1942.7917,7.085,0
1942.875,7.129,99
1943.0417,6.99,99
1943.125,6.855,99
1943.2083,7.015,99
1943.2917,6.973,0
1943.375,6.919,99
1943.4583,6.911,99
1943.5417,6.903,99
1943.625,6.968,0
1943.7083,7.0,0
1943.7917,7.032,0
1943.875,6.968,0
1943.9583,6.954,99
1944.0417,6.852,0
1944.125,6.93,0
1944.2083,6.942,99
1944.2917,6.961,0
1944.375,6.971,0
1944.4583,7.024,0
1944.5417,6.96,0
1944.625,6.986,0
1944.7083,6.979,99
1944.7917,6.991,99
1944.875,6.986,0
1944.9583,6.938,0
1945.0417,6.901,99
1945.125,6.801,99
1945.2083,6.92,99
1945.2917,6.997,99
1945.375,6.966,0
1945.4583,6.959,99
1945.5417,6.923,0
1945.625,6.929,0
1945.7083,6.936,0
1945.7917,7.063,0
1945.875,7.1,99
1945.9583,6.999,99
1946.0417,6.936,99
1946.125,6.944,99
1946.2083,6.968,99
1946.2917,7.005,99
1946.375,7.051,0
1946.4583,6.941,0
1946.5417,6.964,99
1946.625,6.93,99
1946.7083,6.935,0
1946.7917,7.017,0
