feature,sub_type,elev,quantity,unit,value_eur
road,residential,1.0354032516479492,0.16027296759642315,km,18431.391273588662
road,primary,0.9845368266105652,0.9161316786168371,km,1832263.3572336743
road,residential,0.32260364294052124,0.30884298341832983,km,35516.94309310793
road,residential,0.9221521615982056,0.7058929959655365,km,81177.6945360367
road,residential,0.9642245769500732,0.3403485204240392,km,39140.07984876451
road,unclassified,0.7355349659919739,0.08651192259397414,km,9948.871098307027
road,residential,0.8587536811828613,0.06363214930232376,km,7317.6971697672325
road,residential,0.9642245769500732,0.07166083176690467,km,8240.995653194037
road,unclassified,0.9694462418556213,1.0621796409689401,km,122150.65871142811
railway,rail,0.32131922245025635,0.16998633151075035,km,849931.6575537517
road,primary,0.37057918310165405,0.07497597882553593,km,149951.95765107186
railway,rail,0.9845368266105652,0.6469826601083883,km,3234913.3005419415
road,residential,0.9642245769500732,0.04851239005161062,km,5578.924855935222
road,residential,0.7214353084564209,0.34998138259144,km,40247.8589980156
road,residential,0.8587536811828613,0.01270382754136309,km,1460.9401672567553
road,unclassified,0.5,0.2732125118667133,km,31419.43886467203
road,residential,0.9158198237419128,0.01619413637370389,km,1862.3256829759473
road,residential,0.9158198237419128,0.008553085468894243,km,983.604828922838
road,residential,0.9158198237419128,0.0265622686338535,km,3054.660892893153
road,residential,0.6402015686035156,0.4177091679321638,km,48036.55431219884
railway,rail,0.32131922245025635,0.019799537296058333,km,98997.68648029167
road,primary,0.37057918310165405,0.08688178118354455,km,173763.5623670891
road,unclassified,0.9833501577377319,0.11199458691354612,km,12879.377495057804
road,primary,0.5,0.11367801722661369,km,227356.0344532274
road,secondary,0.5764957666397095,0.2175244900121328,km,108762.2450060664
road,residential,0.28717315196990967,0.056027234455797936,km,6443.131962416763
road,secondary,0.7114172577857971,0.19331659637008689,km,96658.29818504344
road,residential,1.0230847597122192,0.9472373422796259,km,108932.29436215697
road,tertiary,0.9902609586715698,0.03983424518473807,km,7966.849036947614
road,tertiary,0.2839430570602417,0.051799128944837264,km,10359.825788967453
road,tertiary,0.2839430570602417,0.06792929050959666,km,13585.858101919332
road,residential,0.40490028262138367,0.4347692262565984,km,49998.46101950882
road,residential,1.0470622777938843,0.16753487789994836,km,19266.510958494062
road,unclassified,0.5174675583839417,0.5829925552218826,km,67044.1438505165
road,unclassified,1.0462267398834229,0.10750947049984097,km,12363.589107481712
road,unclassified,0.28210559487342834,1.7893806422023875,km,205778.77385327456
road,residential,0.07678539305925369,0.6484111472009547,km,74567.28192810979
road,unclassified,0.371244341135025,1.1412651304928407,km,131245.49000667667
road,residential,0.5566277503967285,0.3101635761927981,km,35668.81126217178
road,primary,0.9183868765830994,0.06667142197390442,km,133342.84394780884
road,residential,0.9513795375823975,0.7060099772474724,km,81191.14738345932
road,residential,1.0050501823425293,0.21031210125316036,km,24185.891644113442
road,unclassified,0.5217616558074951,2.1838758747702363,km,251145.72559857718
road,residential,0.9707193970680237,0.08127624340322238,km,9346.767991370574
road,tertiary,0.9670584797859192,1.1318380413402362,km,226367.60826804725
road,tertiary,0.9902609586715698,0.04016891532915908,km,8033.783065831816
road,residential,0.18977504968643188,1.7946450718268894,km,206384.18326009228
road,tertiary,0.6187770962715149,5.085539636655598,km,1017107.9273311197
road,tertiary,0.8766605257987976,1.1841392896910399,km,236827.85793820798
road,residential,0.7441236972808838,0.3407944907007,km,39191.3664305805
road,unclassified,0.8822877407073975,0.30093151969945126,km,34607.12476543689
road,residential,0.5,0.673403863124139,km,77441.44425927599
road,secondary,0.6674926280975342,0.19547246041848357,km,97736.23020924178
road,secondary,0.5,1.7495805322353033,km,874790.2661176516
road,residential,1.0,0.5242736870995697,km,60291.47401645051
road,unclassified,0.9997621178627014,0.7640715285571194,km,87868.22578406872
road,unclassified,0.5,1.3712769396046183,km,157696.8480545311
road,secondary,1.039026141166687,0.04943600074576107,km,24718.000372880535
road,unclassified,0.5,0.09625124693411567,km,11068.893397423302
road,motorway,0.5,0.3393744884857158,km,2714995.907885726
road,motorway,0.5,0.34141944272424907,km,2731355.5417939927
road,unclassified,0.7619844675064087,0.10488366717755385,km,12061.621725418692
road,residential,0.28121161460876465,1.2635108916584956,km,145303.752540727
road,unclassified,0.022587012499570847,1.9969231423558618,km,229646.1613709241
road,tertiary,0.6015484929084778,0.6083822194599144,km,121676.44389198288
road,unclassified,0.6810405254364014,0.8645418276188231,km,99422.31017616467
road,residential,0.5,0.8671788836952609,km,99725.571624955
road,residential,0.8038612604141235,0.2635718989068222,km,30310.768374284555
road,unclassified,0.06730026006698608,3.5489567194619274,km,408130.0227381216
road,residential,0.637179434299469,0.7353991965793207,km,84570.90760662188
road,primary,0.8843244910240173,0.03458149719397813,km,69162.99438795625
railway,rail,0.9308883547782898,0.01669051829889527,km,83452.59149447635
road,unclassified,0.15254761278629303,1.9448375270460754,km,223656.31561029865
road,residential,1.0057651996612549,0.05186497122859193,km,5964.471691288072
road,residential,0.9893710017204285,0.031220961492356706,km,3590.410571621021
railway,rail,0.31602728366851807,3.983016013758053,km,19915080.068790264
railway,rail,0.387756884098053,0.4010852469108731,km,2005426.2345543655
railway,rail,0.4088488519191742,0.4046089775267198,km,2023044.887633599
road,unclassified,0.387756884098053,1.321740735190632,km,152000.18454692268
road,unclassified,0.6896923780441284,0.13320462262503402,km,15318.531601878913
road,unclassified,0.3472074866294861,0.03734797102298268,km,4295.016667643008
road,unclassified,0.3472074866294861,0.02131724463564732,km,2451.4831330994416
road,unclassified,0.6543744802474976,1.0613284251436963,km,122052.76889152508
road,tertiary,0.4046298861503601,0.32359812624132445,km,64719.62524826489
road,unclassified,0.38112086057662964,0.03167009729398526,km,3642.061188808305
road,unclassified,0.387756884098053,0.046938800196706806,km,5397.962022621283
road,unclassified,0.387756884098053,0.04682524980828408,km,5384.903727952669
road,unclassified,0.38112086057662964,0.026475464111942845,km,3044.678372873427
