year,scenario,slr_m,nuts3,flooded_pixels,total_pixels,fraction_flooded,gdp_2022_eur,gdp_at_risk_eur
2027,ssp126,0.049,Área Metropolitana do Porto,20,2835070,7.05e-06,39710799000.0,280140.0
2028,ssp126,0.056,Alentejo Central,0,9513995,0.0,2958516000.0,0.0
2028,ssp126,0.056,Alentejo Litoral,1829,7057470,0.00025916,3133737000.0,812133.0
2028,ssp126,0.056,Algarve,1328,6576139,0.00020194,11984171000.0,2420110.0
2028,ssp126,0.056,Alto Alentejo,0,6846985,0.0,1798575000.0,0.0
2028,ssp126,0.056,Alto Minho,28,3118798,8.98e-06,4151610000.0,37272.0
2028,ssp126,0.056,Alto Tâmega e Barroso,0,3727313,0.0,1241947000.0,0.0
2028,ssp126,0.056,Ave,0,2028246,0.0,8045336000.0,0.0
2028,ssp126,0.056,Baixo Alentejo,0,10402855,0.0,2588500000.0,0.0
2028,ssp126,0.056,Beira Baixa,0,4429690,0.0,1869355000.0,0.0
2028,ssp126,0.056,Beiras e Serra da Estrela,0,4230651,0.0,3339166000.0,0.0
2028,ssp126,0.056,Cávado,0,1744158,0.0,8421876000.0,0.0
2028,ssp126,0.056,Douro,0,3853582,0.0,3054160000.0,0.0
2028,ssp126,0.056,Grande Lisboa,1911,1869180,0.00102237,75526356000.0,77216141.0
2028,ssp126,0.056,Lezíria do Tejo,269,5770151,4.662e-05,4573917000.0,213232.0
2028,ssp126,0.056,Médio Tejo,0,3675180,0.0,3853435000.0,0.0
2028,ssp126,0.056,Oeste,65,3003380,2.164e-05,6490912000.0,140478.0
2028,ssp126,0.056,Península de Setúbal,516,2178612,0.00023685,13176454000.0,3120817.0
2028,ssp126,0.056,Região de Aveiro,2894,2335224,0.00123928,8691000000.0,10770596.0
2028,ssp126,0.056,Região de Coimbra,2669,5944890,0.00044896,9133907000.0,4100732.0
2028,ssp126,0.056,Região de Leiria,0,3339196,0.0,6490351000.0,0.0
2028,ssp126,0.056,Terras de Trás-os-Montes,0,88881,0.0,1790127000.0,0.0
2028,ssp126,0.056,Tâmega e Sousa,0,2547800,0.0,6047036000.0,0.0
2028,ssp126,0.056,Viseu Dão Lafões,0,4470914,0.0,4590096000.0,0.0
2028,ssp126,0.056,Área Metropolitana do Porto,21,2835070,7.41e-06,39710799000.0,294147.0
2029,ssp126,0.063,Alentejo Central,0,9513995,0.0,2958516000.0,0.0
2029,ssp126,0.063,Alentejo Litoral,2069,7057470,0.00029316,3133737000.0,918701.0
2029,ssp126,0.063,Algarve,1498,6576139,0.00022779,11984171000.0,2729913.0
2029,ssp126,0.063,Alto Alentejo,0,6846985,0.0,1798575000.0,0.0
2029,ssp126,0.063,Alto Minho,33,3118798,1.058e-05,4151610000.0,43928.0
2029,ssp126,0.063,Alto Tâmega e Barroso,0,3727313,0.0,1241947000.0,0.0
2029,ssp126,0.063,Ave,0,2028246,0.0,8045336000.0,0.0
2029,ssp126,0.063,Baixo Alentejo,0,10402855,0.0,2588500000.0,0.0
2029,ssp126,0.063,Beira Baixa,0,4429690,0.0,1869355000.0,0.0
2029,ssp126,0.063,Beiras e Serra da Estrela,0,4230651,0.0,3339166000.0,0.0
2029,ssp126,0.063,Cávado,1,1744158,5.7e-07,8421876000.0,4829.0
2029,ssp126,0.063,Douro,0,3853582,0.0,3054160000.0,0.0
