year,scenario,slr_m,total_gdp_at_risk_eur,total_gdp_at_risk_bn
2084,ssp245,0.504,1776264842.0,1.7763
2085,ssp245,0.51,1811711948.0,1.8117
2086,ssp245,0.516,1845516507.0,1.8455
2087,ssp245,0.522,1881887909.0,1.8819
2088,ssp245,0.528,1919546907.0,1.9195
2089,ssp245,0.534,1952527911.0,1.9525
2090,ssp245,0.54,1987534854.0,1.9875
2091,ssp245,0.546,2022628384.0,2.0226
2092,ssp245,0.552,2061069255.0,2.0611
2093,ssp245,0.558,2097093225.0,2.0971
2094,ssp245,0.564,2135676048.0,2.1357
2095,ssp245,0.57,2170685889.0,2.1707
2096,ssp245,0.576,2206840510.0,2.2068
2097,ssp245,0.582,2244353497.0,2.2444
2098,ssp245,0.588,2284388863.0,2.2844
2099,ssp245,0.594,2321764225.0,2.3218
2100,ssp245,0.6,2358180550.0,2.3582
2025,ssp585,0.065,116668513.0,0.1167
2026,ssp585,0.078,142772491.0,0.1428
2027,ssp585,0.091,170323154.0,0.1703
2028,ssp585,0.104,197734032.0,0.1977
2029,ssp585,0.117,226640461.0,0.2266
2030,ssp585,0.13,256890725.0,0.2569
2031,ssp585,0.1435,290655834.0,0.2907
2032,ssp585,0.157,325830763.0,0.3258
2033,ssp585,0.1705,360905846.0,0.3609
2034,ssp585,0.184,397287738.0,0.3973
2035,ssp585,0.1975,435131906.0,0.4351
2036,ssp585,0.211,472279083.0,0.4723
2037,ssp585,0.2245,513509727.0,0.5135
2038,ssp585,0.238,554536012.0,0.5545
2039,ssp585,0.2515,599109368.0,0.5991
2040,ssp585,0.265,642943583.0,0.6429
2041,ssp585,0.2785,690761688.0,0.6908
2042,ssp585,0.292,738237420.0,0.7382
2043,ssp585,0.3055,789145944.0,0.7891
2044,ssp585,0.319,839823581.0,0.8398
2045,ssp585,0.3325,892677681.0,0.8927
2046,ssp585,0.346,949955542.0,0.95
2047,ssp585,0.3595,1007707429.0,1.0077
2048,ssp585,0.373,1064499154.0,1.0645
2049,ssp585,0.3865,1125486945.0,1.1255
2050,ssp585,0.4,1188290973.0,1.1883
2051,ssp585,0.412,1244535215.0,1.2445
2052,ssp585,0.424,1301664144.0,1.3017
2053,ssp585,0.436,1360237910.0,1.3602
2054,ssp585,0.448,1420174463.0,1.4202
2055,ssp585,0.46,1481485407.0,1.4815
2056,ssp585,0.472,1544853686.0,1.5449
2057,ssp585,0.484,1610804977.0,1.6108
2058,ssp585,0.496,1675391383.0,1.6754
2059,ssp585,0.508,1800268255.0,1.8003
2060,ssp585,0.52,1870861153.0,1.8709
2061,ssp585,0.532,1941182581.0,1.9412
2062,ssp585,0.544,2010318899.0,2.0103
2063,ssp585,0.556,2084147430.0,2.0841
2064,ssp585,0.568,2157749007.0,2.1577
2065,ssp585,0.58,2231559045.0,2.2316
2066,ssp585,0.592,2308728139.0,2.3087
2067,ssp585,0.604,2384233642.0,2.3842
2068,ssp585,0.616,2461023643.0,2.461
2069,ssp585,0.628,2539556995.0,2.5396
2070,ssp585,0.64,2615593354.0,2.6156
2071,ssp585,0.652,2694446888.0,2.6944
2072,ssp585,0.664,2775329820.0,2.7753
2073,ssp585,0.676,2855967776.0,2.856
2074,ssp585,0.688,2938752493.0,2.9388
2075,ssp585,0.7,3021416176.0,3.0214
2076,ssp585,0.712,3102547544.0,3.1025
2077,ssp585,0.724,3187035710.0,3.187
2078,ssp585,0.736,3268018025.0,3.268
2079,ssp585,0.748,3349104786.0,3.3491
2080,ssp585,0.76,3435507100.0,3.4355
2081,ssp585,0.772,3521978804.0,3.522
2082,ssp585,0.784,3607097442.0,3.6071
2083,ssp585,0.796,3689682315.0,3.6897
2084,ssp585,0.808,3774836547.0,3.7748
2085,ssp585,0.82,3863109174.0,3.8631
2086,ssp585,0.832,3948442075.0,3.9484
2087,ssp585,0.844,4038672064.0,4.0387
2088,ssp585,0.856,4131065775.0,4.1311
2089,ssp585,0.868,4219043583.0,4.219
2090,ssp585,0.88,4314268144.0,4.3143
2091,ssp585,0.892,4402451819.0,4.4025
2092,ssp585,0.904,4494421760.0,4.4944
2093,ssp585,0.916,4585673258.0,4.5857
2094,ssp585,0.928,4676514760.0,4.6765
2095,ssp585,0.94,4768479907.0,4.7685
2096,ssp585,0.952,4862096334.0,4.8621
2097,ssp585,0.964,4954405878.0,4.9544
2098,ssp585,0.976,5049403237.0,5.0494
2099,ssp585,0.988,5141261114.0,5.1413
2100,ssp585,1.0,5263663340.0,5.2637
