scenario,variant,option,option_name,capex_low_M,capex_high_M,key_year,cum_no_adapt_bn,cum_adapt_bn,savings_bn,be_year_low_capex,be_year_mid_capex,be_year_hi_capex
SSP2-4.5,baseline,1b,Embankment raising — SSP5-8.5 design (+1.08 m),18.7,31.1,2050,0.0004,0.0002,0.0002,>2100,>2100,>2100
SSP2-4.5,baseline,1b,Embankment raising — SSP5-8.5 design (+1.08 m),18.7,31.1,2075,0.0024,0.0012,0.0012,>2100,>2100,>2100
SSP2-4.5,baseline,1b,Embankment raising — SSP5-8.5 design (+1.08 m),18.7,31.1,2100,0.0089,0.0044,0.0044,>2100,>2100,>2100
SSP2-4.5,baseline,2,Flood protection barriers (sheet piling),17.9,29.8,2030,0.0,0.0,0.0,>2100,>2100,>2100
SSP2-4.5,baseline,2,Flood protection barriers (sheet piling),17.9,29.8,2050,0.0004,0.0002,0.0002,>2100,>2100,>2100
SSP2-4.5,baseline,2,Flood protection barriers (sheet piling),17.9,29.8,2075,0.0024,0.0013,0.0011,>2100,>2100,>2100
SSP2-4.5,baseline,2,Flood protection barriers (sheet piling),17.9,29.8,2100,0.0089,0.0049,0.004,>2100,>2100,>2100
SSP2-4.5,baseline,3,Service resilience protocol,0.7,1.3,2030,0.0,0.0,0.0,2066,2072,2077
SSP2-4.5,baseline,3,Service resilience protocol,0.7,1.3,2050,0.0004,0.0002,0.0002,2066,2072,2077
SSP2-4.5,baseline,3,Service resilience protocol,0.7,1.3,2075,0.0024,0.0012,0.0012,2066,2072,2077
SSP2-4.5,baseline,3,Service resilience protocol,0.7,1.3,2100,0.0089,0.0044,0.0044,2066,2072,2077
SSP2-4.5,+geoid,1a,Embankment raising — SSP2-4.5 lower bound (+0.69 m),11.9,19.9,2030,0.0001,0.0001,0.0001,2096,>2100,>2100
SSP2-4.5,+geoid,1a,Embankment raising — SSP2-4.5 lower bound (+0.69 m),11.9,19.9,2050,0.0015,0.0007,0.0007,2096,>2100,>2100
SSP2-4.5,+geoid,1a,Embankment raising — SSP2-4.5 lower bound (+0.69 m),11.9,19.9,2075,0.008,0.004,0.004,2096,>2100,>2100
