idx,lat,lon,elev_m,below_threshold
166,38.855466,-9.06962,14.185,False
167,38.854193,-9.071248,15.28,False
168,38.852758,-9.072637,16.182,False
169,38.851196,-9.07378,15.517,False
170,38.849605,-9.074856,15.75,False
171,38.848002,-9.075904,15.065,False
172,38.846376,-9.076891,14.998,False
173,38.844734,-9.077834,8.603,False
174,38.843087,-9.078762,14.422,False
175,38.841442,-9.079696,13.716,False
176,38.839779,-9.080555,15.386,False
177,38.838017,-9.081023,16.584,False
178,38.836256,-9.081491,17.227,False
179,38.834495,-9.08196,20.298,False
180,38.832734,-9.082428,27.508,False
181,38.830972,-9.082896,27.212,False
182,38.829211,-9.083365,34.315,False
183,38.82745,-9.083833,39.118,False
184,38.825689,-9.084301,39.668,False
185,38.823927,-9.084769,39.919,False
186,38.822166,-9.085238,39.981,False
187,38.820405,-9.085706,32.088,False
188,38.818644,-9.086174,31.4,False
189,38.816882,-9.086642,29.701,False
190,38.815121,-9.087111,40.756,False
191,38.81336,-9.087579,41.625,False
192,38.811599,-9.088047,42.491,False
193,38.809837,-9.088515,59.485,False
194,38.808076,-9.088984,66.53,False
195,38.806315,-9.089452,61.897,False
196,38.804554,-9.08992,57.905,False
197,38.802793,-9.090388,51.813,False
198,38.801031,-9.090857,63.518,False
199,38.79927,-9.091325,53.556,False
200,38.797509,-9.091793,61.587,False
201,38.795748,-9.092261,76.31,False
202,38.793986,-9.09273,75.341,False
203,38.792225,-9.093198,66.406,False
204,38.790464,-9.093666,57.988,False
205,38.788703,-9.094135,58.486,False
206,38.786941,-9.094603,46.172,False
207,38.78518,-9.095071,41.202,False
208,38.783419,-9.095539,50.02,False
209,38.781658,-9.096008,57.074,False
210,38.779896,-9.096476,23.623,False
211,38.778135,-9.096944,20.379,False
212,38.776374,-9.097412,34.703,False
213,38.774613,-9.097881,49.634,False
214,38.772851,-9.098349,50.375,False
215,38.77109,-9.098817,39.206,False
216,38.769329,-9.099285,19.461,False
217,38.770923,-9.099155,21.655,False
218,38.772718,-9.099029,17.942,False
219,38.774513,-9.099151,8.535,False
220,38.776301,-9.099405,17.597,False
221,38.778088,-9.099664,20.653,False
222,38.779875,-9.099931,26.379,False
223,38.781662,-9.100187,13.411,False
224,38.783449,-9.100446,15.368,False
225,38.785237,-9.100704,43.217,False
226,38.787025,-9.100952,47.327,False
227,38.788819,-9.101108,50.292,False
228,38.790614,-9.101021,43.057,False
229,38.79239,-9.100662,43.393,False
230,38.794145,-9.100161,35.666,False
231,38.795896,-9.099633,42.738,False
232,38.794148,-9.100071,60.27,False
233,38.792383,-9.100513,41.997,False
234,38.790618,-9.100955,34.45,False
235,38.788853,-9.101397,26.303,False
236,38.787087,-9.10184,26.569,False
237,38.785322,-9.102282,37.071,False
238,38.783557,-9.102724,43.245,False
239,38.781791,-9.103166,49.734,False
240,38.780026,-9.103608,46.346,False
241,38.778261,-9.104051,39.369,False
242,38.776496,-9.104493,32.95,False
243,38.77473,-9.104935,23.571,False
244,38.772965,-9.105377,18.175,False
245,38.7712,-9.105819,17.4,False
246,38.769434,-9.106262,21.938,False
247,38.767669,-9.106704,34.02,False
248,38.765904,-9.107146,41.085,False
249,38.764139,-9.107588,64.549,False
250,38.762373,-9.10803,63.961,False
251,38.760608,-9.108473,68.786,False
252,38.758843,-9.108915,69.624,False
253,38.757078,-9.109357,79.521,False
254,38.755312,-9.109799,83.052,False
255,38.753547,-9.110241,57.923,False
256,38.751782,-9.110684,79.676,False
257,38.750016,-9.111126,90.102,False
258,38.748251,-9.111568,104.908,False
259,38.746486,-9.11201,97.771,False
260,38.744721,-9.112452,63.103,False
261,38.742955,-9.112895,72.64,False
262,38.74119,-9.113337,73.386,False
263,38.739425,-9.113779,89.908,False
264,38.737659,-9.114221,97.647,False
265,38.735894,-9.114663,93.033,False
266,38.734129,-9.115106,95.615,False
267,38.732364,-9.115548,88.353,False
268,38.730598,-9.11599,80.586,False
269,38.728833,-9.116432,79.505,False
270,38.727068,-9.116874,82.93,False
271,38.725303,-9.117317,83.602,False
272,38.723537,-9.117759,87.193,False
273,38.721772,-9.118201,92.879,False
274,38.720007,-9.118643,82.734,False
275,38.718241,-9.119085,77.116,False
276,38.717715,-9.118762,82.624,False
277,38.719113,-9.117313,93.281,False
278,38.720724,-9.11634,93.365,False
279,38.722444,-9.115663,90.231,False
280,38.724163,-9.114986,88.454,False
281,38.725882,-9.114308,82.709,False
282,38.727602,-9.113631,82.136,False
283,38.729321,-9.112954,85.817,False
284,38.73104,-9.112277,81.186,False
285,38.732759,-9.111599,76.51,False
286,38.734479,-9.110922,74.283,False
287,38.736198,-9.110245,77.691,False
288,38.737917,-9.109567,95.206,False
289,38.739637,-9.10889,98.159,False
290,38.741356,-9.108213,92.179,False
291,38.743075,-9.107536,92.831,False
292,38.744795,-9.106858,77.608,False
293,38.746514,-9.106181,81.988,False
294,38.748233,-9.105504,108.427,False
295,38.749953,-9.104826,122.982,False
296,38.751672,-9.104149,109.517,False
297,38.753391,-9.103472,112.161,False
298,38.755111,-9.102795,109.977,False
299,38.75683,-9.102117,103.498,False
300,38.758549,-9.10144,84.175,False
301,38.760269,-9.100763,78.651,False
302,38.761988,-9.100086,71.629,False
303,38.761851,-9.099926,56.452,False
304,38.760227,-9.100396,55.034,False
305,38.759539,-9.102527,53.384,False
306,38.758852,-9.104658,38.541,False
307,38.758164,-9.10679,31.462,False
308,38.757477,-9.108921,38.338,False
309,38.756789,-9.111052,46.237,False
310,38.756102,-9.113183,58.243,False
311,38.755414,-9.115314,64.099,False
312,38.754727,-9.117446,72.794,False
313,38.754039,-9.119577,83.442,False
314,38.753351,-9.121708,85.662,False
315,38.752664,-9.123839,94.679,False
316,38.751976,-9.125971,95.155,False
317,38.751289,-9.128102,93.721,False
318,38.750601,-9.130233,90.797,False
319,38.749914,-9.132364,87.624,False
320,38.749226,-9.134495,81.608,False
321,38.748539,-9.136627,84.877,False
322,38.747851,-9.138758,83.473,False
323,38.747164,-9.140889,84.482,False
324,38.746476,-9.14302,87.435,False
325,38.745789,-9.145152,89.373,False
326,38.745101,-9.147283,84.058,False
327,38.744472,-9.149248,84.592,False
328,38.744831,-9.147016,76.917,False
329,38.74502,-9.144723,77.873,False
330,38.745208,-9.142429,84.266,False
331,38.745396,-9.140136,83.326,False
332,38.745585,-9.137842,89.769,False
333,38.745768,-9.135548,85.867,False
334,38.745607,-9.13778,83.708,False
335,38.745442,-9.140076,84.516,False
336,38.745482,-9.139287,84.762,False
337,38.744479,-9.141013,89.148,False
338,38.743435,-9.14289,88.472,False
339,38.74239,-9.144767,84.204,False
340,38.741345,-9.146644,83.554,False
341,38.7403,-9.148521,83.913,False
342,38.739255,-9.150398,88.408,False
343,38.73821,-9.152275,93.671,False
344,38.737166,-9.154152,90.754,False
345,38.736121,-9.156029,93.354,False
346,38.735076,-9.157906,93.412,False
347,38.734031,-9.159783,80.861,False
348,38.732986,-9.16166,74.209,False
349,38.731941,-9.163537,68.477,False
350,38.730897,-9.165414,61.981,False
351,38.729798,-9.165435,57.41,False
352,38.728649,-9.163662,52.748,False
353,38.727499,-9.161889,57.399,False
354,38.72635,-9.160116,79.071,False
355,38.7252,-9.158342,76.337,False
356,38.724051,-9.156569,77.403,False
357,38.722901,-9.154796,77.089,False
358,38.721752,-9.153023,82.624,False
359,38.720602,-9.151249,84.415,False
360,38.719453,-9.149476,78.478,False
361,38.718303,-9.147704,72.221,False
362,38.717153,-9.145931,68.826,False
363,38.716003,-9.144158,58.381,False
364,38.716202,-9.143282,59.46,False
365,38.717993,-9.143499,50.28,False
366,38.719784,-9.143716,50.062,False
367,38.721574,-9.143932,59.195,False
368,38.723365,-9.144149,58.494,False
369,38.725156,-9.144366,68.302,False
370,38.726946,-9.144583,72.114,False
371,38.728737,-9.144799,75.044,False
372,38.730528,-9.145016,76.87,False
373,38.732318,-9.145233,80.697,False
374,38.734109,-9.14545,51.798,False
375,38.7359,-9.145666,52.031,False
376,38.73769,-9.145883,63.642,False
377,38.739481,-9.1461,58.96,False
378,38.741272,-9.146317,69.323,False
379,38.743062,-9.146533,71.677,False
380,38.744853,-9.14675,74.665,False
381,38.745133,-9.144725,76.95,False
382,38.745282,-9.142427,81.814,False
383,38.745316,-9.141529,55.734,False
384,38.745082,-9.143815,54.615,False
385,38.744847,-9.146102,52.029,False
386,38.744613,-9.148388,45.6,False
387,38.744593,-9.14813,41.731,False
388,38.744831,-9.145844,26.107,False
389,38.745069,-9.143558,26.837,False
390,38.745306,-9.141272,24.358,False
391,38.745233,-9.142651,24.597,False
392,38.745083,-9.144949,32.517,False
393,38.744953,-9.146308,49.007,False
394,38.745109,-9.144011,41.266,False
395,38.74526,-9.141713,36.928,False
396,38.745199,-9.142117,43.112,False
397,38.745048,-9.144415,37.566,False
398,38.744826,-9.146702,27.754,False
