scenario,year,variant,slr_m,nuts3,flooded_pixels,total_pixels,fraction_flooded,gdp_2022_eur,gdp_at_risk_eur
SSP2-4.5,2030,baseline,0.1,Terras de Trás-os-Montes,0,5591,0.0,1790127000.0,0.0
SSP2-4.5,2030,baseline,0.1,Tâmega e Sousa,0,159228,0.0,6047036000.0,0.0
SSP2-4.5,2030,baseline,0.1,Viseu Dão Lafões,0,279442,0.0,4590096000.0,0.0
SSP2-4.5,2030,baseline,0.1,Área Metropolitana do Porto,0,177181,0.0,39710799000.0,0.0
SSP2-4.5,2030,geoid_offset,0.25,Alentejo Central,0,594710,0.0,2958516000.0,0.0
SSP2-4.5,2030,geoid_offset,0.25,Alentejo Litoral,574,441094,0.00130131,3133737000.0,4077963.06
SSP2-4.5,2030,geoid_offset,0.25,Algarve,473,411031,0.00115076,11984171000.0,13790961.95
SSP2-4.5,2030,geoid_offset,0.25,Alto Alentejo,0,428045,0.0,1798575000.0,0.0
SSP2-4.5,2030,geoid_offset,0.25,Alto Minho,19,194924,9.747e-05,4151610000.0,404673.57
SSP2-4.5,2030,geoid_offset,0.25,Alto Tâmega e Barroso,0,233032,0.0,1241947000.0,0.0
SSP2-4.5,2030,geoid_offset,0.25,Ave,0,126782,0.0,8045336000.0,0.0
SSP2-4.5,2030,geoid_offset,0.25,Baixo Alentejo,0,650296,0.0,2588500000.0,0.0
SSP2-4.5,2030,geoid_offset,0.25,Beira Baixa,0,276956,0.0,1869355000.0,0.0
SSP2-4.5,2030,geoid_offset,0.25,Beiras e Serra da Estrela,0,264614,0.0,3339166000.0,0.0
SSP2-4.5,2030,geoid_offset,0.25,Cávado,2,109018,1.835e-05,8421876000.0,154504.32
SSP2-4.5,2030,geoid_offset,0.25,Douro,0,240914,0.0,3054160000.0,0.0
SSP2-4.5,2030,geoid_offset,0.25,Grande Lisboa,745,116836,0.00637646,75526356000.0,481590735.9
SSP2-4.5,2030,geoid_offset,0.25,Lezíria do Tejo,197,360615,0.00054629,4573917000.0,2498680.45
SSP2-4.5,2030,geoid_offset,0.25,Médio Tejo,0,229750,0.0,3853435000.0,0.0
SSP2-4.5,2030,geoid_offset,0.25,Oeste,26,187694,0.00013852,6490912000.0,899142.82
SSP2-4.5,2030,geoid_offset,0.25,Península de Setúbal,195,136157,0.00143217,13176454000.0,18870924.96
SSP2-4.5,2030,geoid_offset,0.25,Região de Aveiro,991,145936,0.00679065,8691000000.0,59017521.38
SSP2-4.5,2030,geoid_offset,0.25,Região de Coimbra,699,371551,0.0018813,9133907000.0,17183646.37
SSP2-4.5,2030,geoid_offset,0.25,Região de Leiria,0,208682,0.0,6490351000.0,0.0
SSP2-4.5,2030,geoid_offset,0.25,Terras de Trás-os-Montes,0,5591,0.0,1790127000.0,0.0
SSP2-4.5,2030,geoid_offset,0.25,Tâmega e Sousa,0,159228,0.0,6047036000.0,0.0
SSP2-4.5,2030,geoid_offset,0.25,Viseu Dão Lafões,0,279442,0.0,4590096000.0,0.0
SSP2-4.5,2030,geoid_offset,0.25,Área Metropolitana do Porto,0,177181,0.0,39710799000.0,0.0
SSP2-4.5,2050,baseline,0.3,Alentejo Central,0,594710,0.0,2958516000.0,0.0
SSP2-4.5,2050,baseline,0.3,Alentejo Litoral,696,441094,0.00157789,3133737000.0,4944707.82
SSP2-4.5,2050,baseline,0.3,Algarve,608,411031,0.00147921,11984171000.0,17727071.6
SSP2-4.5,2050,baseline,0.3,Alto Alentejo,0,428045,0.0,1798575000.0,0.0
SSP2-4.5,2050,baseline,0.3,Alto Minho,29,194924,0.00014878,4151610000.0,617659.65
SSP2-4.5,2050,baseline,0.3,Alto Tâmega e Barroso,0,233032,0.0,1241947000.0,0.0
SSP2-4.5,2050,baseline,0.3,Ave,0,126782,0.0,8045336000.0,0.0
SSP2-4.5,2050,baseline,0.3,Baixo Alentejo,0,650296,0.0,2588500000.0,0.0
SSP2-4.5,2050,baseline,0.3,Beira Baixa,0,276956,0.0,1869355000.0,0.0
SSP2-4.5,2050,baseline,0.3,Beiras e Serra da Estrela,0,264614,0.0,3339166000.0,0.0
SSP2-4.5,2050,baseline,0.3,Cávado,2,109018,1.835e-05,8421876000.0,154504.32
SSP2-4.5,2050,baseline,0.3,Douro,0,240914,0.0,3054160000.0,0.0
SSP2-4.5,2050,baseline,0.3,Grande Lisboa,938,116836,0.00802835,75526356000.0,606351825.88
SSP2-4.5,2050,baseline,0.3,Lezíria do Tejo,275,360615,0.00076259,4573917000.0,3488005.7
SSP2-4.5,2050,baseline,0.3,Médio Tejo,0,229750,0.0,3853435000.0,0.0
SSP2-4.5,2050,baseline,0.3,Oeste,45,187694,0.00023975,6490912000.0,1556208.72
SSP2-4.5,2050,baseline,0.3,Península de Setúbal,242,136157,0.00177736,13176454000.0,23419301.75
SSP2-4.5,2050,baseline,0.3,Região de Aveiro,1265,145936,0.00866818,8691000000.0,75335181.18
SSP2-4.5,2050,baseline,0.3,Região de Coimbra,802,371551,0.00215852,9133907000.0,19715714.43
SSP2-4.5,2050,baseline,0.3,Região de Leiria,1,208682,4.79e-06,6490351000.0,31101.63
SSP2-4.5,2050,baseline,0.3,Terras de Trás-os-Montes,0,5591,0.0,1790127000.0,0.0
SSP2-4.5,2050,baseline,0.3,Tâmega e Sousa,0,159228,0.0,6047036000.0,0.0
SSP2-4.5,2050,baseline,0.3,Viseu Dão Lafões,0,279442,0.0,4590096000.0,0.0
SSP2-4.5,2050,baseline,0.3,Área Metropolitana do Porto,0,177181,0.0,39710799000.0,0.0
SSP2-4.5,2050,geoid_offset,0.45,Alentejo Central,0,594710,0.0,2958516000.0,0.0
SSP2-4.5,2050,geoid_offset,0.45,Alentejo Litoral,1049,441094,0.00237818,3133737000.0,7452584.06
SSP2-4.5,2050,geoid_offset,0.45,Algarve,1171,411031,0.00284893,11984171000.0,34142106.66
SSP2-4.5,2050,geoid_offset,0.45,Alto Alentejo,0,428045,0.0,1798575000.0,0.0
SSP2-4.5,2050,geoid_offset,0.45,Alto Minho,65,194924,0.00033346,4151610000.0,1384409.56
SSP2-4.5,2050,geoid_offset,0.45,Alto Tâmega e Barroso,0,233032,0.0,1241947000.0,0.0
SSP2-4.5,2050,geoid_offset,0.45,Ave,0,126782,0.0,8045336000.0,0.0
SSP2-4.5,2050,geoid_offset,0.45,Baixo Alentejo,0,650296,0.0,2588500000.0,0.0
SSP2-4.5,2050,geoid_offset,0.45,Beira Baixa,0,276956,0.0,1869355000.0,0.0
SSP2-4.5,2050,geoid_offset,0.45,Beiras e Serra da Estrela,0,264614,0.0,3339166000.0,0.0
SSP2-4.5,2050,geoid_offset,0.45,Cávado,7,109018,6.421e-05,8421876000.0,540765.12
SSP2-4.5,2050,geoid_offset,0.45,Douro,0,240914,0.0,3054160000.0,0.0
SSP2-4.5,2050,geoid_offset,0.45,Grande Lisboa,1783,116836,0.01526071,75526356000.0,1152585613.58
SSP2-4.5,2050,geoid_offset,0.45,Lezíria do Tejo,658,360615,0.00182466,4573917000.0,8345846.36
SSP2-4.5,2050,geoid_offset,0.45,Médio Tejo,0,229750,0.0,3853435000.0,0.0
SSP2-4.5,2050,geoid_offset,0.45,Oeste,85,187694,0.00045286,6490912000.0,2939505.37
SSP2-4.5,2050,geoid_offset,0.45,Península de Setúbal,483,136157,0.00354738,13176454000.0,46741829.52
SSP2-4.5,2050,geoid_offset,0.45,Região de Aveiro,2210,145936,0.01514362,8691000000.0,131613241.42
SSP2-4.5,2050,geoid_offset,0.45,Região de Coimbra,1094,371551,0.00294441,9133907000.0,26894004.48
SSP2-4.5,2050,geoid_offset,0.45,Região de Leiria,1,208682,4.79e-06,6490351000.0,31101.63
SSP2-4.5,2050,geoid_offset,0.45,Terras de Trás-os-Montes,0,5591,0.0,1790127000.0,0.0
SSP2-4.5,2050,geoid_offset,0.45,Tâmega e Sousa,0,159228,0.0,6047036000.0,0.0
