point_index,lat,lon,elevation_m,below_threshold
1047,40.720191,-8.564503,3.231,False
1048,40.721088,-8.564423,3.02,False
1049,40.721984,-8.564327,2.468,True
1050,40.722881,-8.564231,2.392,True
1051,40.723777,-8.564135,2.718,True
1052,40.723137,-8.564707,1.48,True
1053,40.722373,-8.565332,0.66,True
1054,40.721609,-8.565958,0.65,True
1055,40.720845,-8.566583,0.266,True
1056,40.72008,-8.567208,2.264,True
1057,40.719316,-8.567834,2.083,True
1058,40.718552,-8.568459,2.975,True
1059,40.717788,-8.569085,2.386,True
1060,40.717024,-8.56971,1.249,True
1061,40.716259,-8.570336,3.18,False
1062,40.715495,-8.570961,3.263,False
1063,40.714731,-8.571586,2.107,True
1064,40.713967,-8.572212,2.628,True
1065,40.713203,-8.572837,2.358,True
1066,40.712438,-8.573463,1.811,True
1067,40.711674,-8.574088,2.623,True
1068,40.71091,-8.574713,4.273,False
1069,40.710146,-8.575339,4.162,False
1070,40.709382,-8.575964,3.602,False
1071,40.708618,-8.57659,3.052,False
1072,40.707853,-8.577215,2.929,True
1073,40.707089,-8.577841,3.25,False
1074,40.706325,-8.578466,2.444,True
1075,40.705561,-8.579091,1.443,True
1076,40.704797,-8.579717,2.195,True
1077,40.704032,-8.580342,3.498,False
1078,40.703268,-8.580968,2.84,True
1079,40.702504,-8.581593,2.454,True
1080,40.70174,-8.582219,4.647,False
1081,40.700976,-8.582844,3.889,False
1082,40.700211,-8.583469,4.068,False
1083,40.699447,-8.584095,5.59,False
1084,40.698683,-8.58472,4.192,False
1085,40.697919,-8.585346,2.521,True
1086,40.697155,-8.585971,2.821,True
1087,40.69639,-8.586597,2.949,True
1088,40.695626,-8.587222,3.16,False
1089,40.694862,-8.587847,3.482,False
1090,40.694098,-8.588473,3.991,False
1091,40.693334,-8.589098,6.217,False
1092,40.692569,-8.589724,2.451,True
1093,40.691805,-8.590349,1.517,True
1094,40.691041,-8.590975,2.547,True
1095,40.690277,-8.5916,3.233,False
1096,40.689513,-8.592225,3.374,False
1097,40.688749,-8.592851,5.989,False
1098,40.687984,-8.593476,9.939,False
1099,40.68722,-8.594102,9.639,False
1100,40.686427,-8.594647,9.895,False
1101,40.685539,-8.594602,10.473,False
1102,40.685456,-8.594797,10.479,False
1103,40.686175,-8.595508,9.486,False
1104,40.68672,-8.594719,9.539,False
1105,40.687279,-8.59379,10.404,False
1106,40.68782,-8.592844,12.786,False
1107,40.688198,-8.591772,10.95,False
1108,40.6886,-8.590712,8.222,False
1109,40.689034,-8.589674,6.669,False
1110,40.689247,-8.58941,6.319,False
1111,40.68906,-8.590571,6.569,False
1112,40.688777,-8.59166,7.702,False
1113,40.688132,-8.592487,11.568,False
1114,40.687555,-8.593397,11.47,False
1115,40.686999,-8.594328,9.497,False
1116,40.686442,-8.595259,9.447,False
1117,40.68589,-8.596196,9.218,False
1118,40.685341,-8.597135,11.697,False
1119,40.684791,-8.598074,13.779,False
1120,40.684242,-8.599013,13.725,False
1121,40.683701,-8.59996,15.994,False
1122,40.683514,-8.600342,16.04,False
1123,40.684046,-8.599386,14.622,False
1124,40.684579,-8.59843,13.642,False
1125,40.685111,-8.597475,12.794,False
1126,40.685665,-8.59654,9.537,False
1127,40.686228,-8.595616,9.39,False
1128,40.686752,-8.594652,9.548,False
1129,40.687275,-8.593687,10.712,False
1130,40.687798,-8.592722,13.168,False
1131,40.688268,-8.591715,10.49,False
1132,40.688734,-8.590701,7.735,False
1133,40.689014,-8.590167,6.56,False
1134,40.688482,-8.591119,8.957,False
1135,40.68801,-8.592113,12.291,False
1136,40.687386,-8.592966,13.503,False
1137,40.686761,-8.593819,10.622,False
1138,40.686136,-8.594672,10.068,False
1139,40.685267,-8.594444,10.262,False
1140,40.685848,-8.59421,10.201,False
1141,40.686261,-8.594668,9.997,False
1142,40.68605,-8.595805,9.389,False
1143,40.685566,-8.596804,10.327,False
1144,40.685064,-8.597788,13.302,False
1145,40.684532,-8.598743,13.25,False
