option,option_id,cost_scenario,bypass_cost_meur,scenario,variant,key_year,slr_m,events_per_year,closure_days_yr,annual_cost_mid_eur,annual_cost_low_eur,annual_cost_high_eur,breakeven_year_mid,breakeven_year_low,breakeven_year_high
Option 1: In-situ viaduct (3–5km),OPT1,low,88,SSP1-2.6,Baseline,2030,0.07,0.406,2.3,2314919.0,1157460.0,4051109.0,2049,2060,2042
Option 1: In-situ viaduct (3–5km),OPT1,low,88,SSP1-2.6,Baseline,2050,0.2,1.0,7.0,7000000.0,3500000.0,12250000.0,2049,2060,2042
Option 1: In-situ viaduct (3–5km),OPT1,low,88,SSP1-2.6,Baseline,2075,0.3,2.0,16.0,16000000.0,8000000.0,28000000.0,2049,2060,2042
Option 1: In-situ viaduct (3–5km),OPT1,low,88,SSP1-2.6,Baseline,2100,0.4,4.0,36.0,36000000.0,18000000.0,63000000.0,2049,2060,2042
Option 1: In-situ viaduct (3–5km),OPT1,low,88,SSP1-2.6,+Geoid,2030,0.22,1.149,8.3,8270628.0,4135314.0,14473599.0,2035,2042,2031
Option 1: In-situ viaduct (3–5km),OPT1,low,88,SSP1-2.6,+Geoid,2050,0.35,2.828,24.0,24041631.0,12020815.0,42072853.0,2035,2042,2031
Option 1: In-situ viaduct (3–5km),OPT1,low,88,SSP1-2.6,+Geoid,2075,0.45,5.657,53.7,53740115.0,26870058.0,94045202.0,2035,2042,2031
Option 1: In-situ viaduct (3–5km),OPT1,low,88,SSP1-2.6,+Geoid,2100,0.55,11.314,118.8,118793939.0,59396970.0,207889394.0,2035,2042,2031
Option 1: In-situ viaduct (3–5km),OPT1,low,88,SSP2-4.5,Baseline,2030,0.1,0.5,3.0,3000000.0,1500000.0,5250000.0,2043,2050,2038
Option 1: In-situ viaduct (3–5km),OPT1,low,88,SSP2-4.5,Baseline,2050,0.3,2.0,16.0,16000000.0,8000000.0,28000000.0,2043,2050,2038
Option 1: In-situ viaduct (3–5km),OPT1,low,88,SSP2-4.5,Baseline,2075,0.45,5.657,53.7,53740115.0,26870058.0,94045202.0,2043,2050,2038
Option 1: In-situ viaduct (3–5km),OPT1,low,88,SSP2-4.5,Baseline,2100,0.6,16.0,176.0,176000000.0,88000000.0,308000000.0,2043,2050,2038
Option 1: In-situ viaduct (3–5km),OPT1,low,88,SSP2-4.5,+Geoid,2030,0.25,1.414,10.6,10606602.0,5303301.0,18561553.0,2033,2038,2030
