station,feature_set,features,n_years_used,year_range_used,cv_folds,model,can_extrapolate_trend,rmse_mm_mean,rmse_mm_std,mae_mm_mean,mae_mm_std,r2_mean,r2_std
Cascais,year+NAO+AMO,"year,nao_annual,amo_annual",26,1958-1985,5,K-Nearest Neighbors,False,25.9,5.2,21.6,4.2,-2.627,1.637
Cascais,year+NAO+AMO,"year,nao_annual,amo_annual",26,1958-1985,5,Decision Tree,False,35.7,12.0,30.1,10.6,-5.082,3.216
Cascais,year+NAO+AMO,"year,nao_annual,amo_annual",26,1958-1985,5,Random Forest,False,25.8,7.4,21.4,6.7,-2.114,0.948
Cascais,year+NAO+AMO,"year,nao_annual,amo_annual",26,1958-1985,5,Gradient Boosting,False,29.8,6.7,25.4,5.9,-3.419,1.559
Cascais,year+NAO+AMO,"year,nao_annual,amo_annual",26,1958-1985,5,Support Vector Regression,True,49.0,24.4,45.6,24.0,-13.876,13.82
Cascais,year+NAO+AMO,"year,nao_annual,amo_annual",26,1958-1985,5,Gaussian Process Regression,True,30.4,13.1,25.6,12.3,-3.659,3.371
Lagos,year_only,year,27,1951-1985,5,Linear Regression,True,21.3,8.0,18.4,8.4,-11.927,23.665
Lagos,year_only,year,27,1951-1985,5,Ridge Regression,True,20.7,7.7,17.9,7.6,-10.407,20.723
Lagos,year_only,year,27,1951-1985,5,Lasso Regression,True,24.5,12.3,20.9,10.5,-1.76,1.631
Lagos,year_only,year,27,1951-1985,5,K-Nearest Neighbors,False,23.4,6.8,19.9,5.6,-6.384,11.294
Lagos,year_only,year,27,1951-1985,5,Decision Tree,False,18.6,7.9,15.2,6.6,-0.723,0.535
Lagos,year_only,year,27,1951-1985,5,Random Forest,False,18.3,8.7,14.9,7.2,-0.563,0.502
Lagos,year_only,year,27,1951-1985,5,Gradient Boosting,False,18.5,8.1,15.1,6.7,-0.679,0.513
Lagos,year_only,year,27,1951-1985,5,Support Vector Regression,True,21.7,9.2,19.7,8.7,-13.062,26.132
Lagos,year_only,year,27,1951-1985,5,Gaussian Process Regression,True,20.4,9.3,17.6,9.0,-1.452,1.886
Lagos,year+NAO+AMO,"year,nao_annual,amo_annual",27,1951-1985,5,Linear Regression,True,49.9,45.7,42.7,37.8,-18.543,21.252
Lagos,year+NAO+AMO,"year,nao_annual,amo_annual",27,1951-1985,5,Ridge Regression,True,29.8,14.6,26.5,12.8,-10.665,18.016
Lagos,year+NAO+AMO,"year,nao_annual,amo_annual",27,1951-1985,5,Lasso Regression,True,24.5,12.3,20.9,10.5,-1.76,1.631
Lagos,year+NAO+AMO,"year,nao_annual,amo_annual",27,1951-1985,5,K-Nearest Neighbors,False,23.4,6.8,19.9,5.6,-6.384,11.294
Lagos,year+NAO+AMO,"year,nao_annual,amo_annual",27,1951-1985,5,Decision Tree,False,22.5,3.4,19.3,3.3,-4.418,5.543
Lagos,year+NAO+AMO,"year,nao_annual,amo_annual",27,1951-1985,5,Random Forest,False,21.5,6.6,17.3,5.6,-3.27,5.282
Lagos,year+NAO+AMO,"year,nao_annual,amo_annual",27,1951-1985,5,Gradient Boosting,False,20.4,3.1,16.8,3.3,-3.547,5.447
Lagos,year+NAO+AMO,"year,nao_annual,amo_annual",27,1951-1985,5,Support Vector Regression,True,23.4,8.7,19.4,8.1,-11.405,22.202
Lagos,year+NAO+AMO,"year,nao_annual,amo_annual",27,1951-1985,5,Gaussian Process Regression,True,23.0,8.4,19.5,7.7,-5.094,8.936
