lat,lon,elev_m,flood_zone
39.006011,-8.966596,3.679,"Carregado / Azambuja (events: 2022, 2026)"
39.006054,-8.966108,3.682,"Carregado / Azambuja (events: 2022, 2026)"
38.984008,-8.972694,3.682,"Carregado / Azambuja (events: 2022, 2026)"
39.044229,-8.949358,3.685,"Carregado / Azambuja (events: 2022, 2026)"
39.00084,-8.967228,3.697,"Carregado / Azambuja (events: 2022, 2026)"
39.042359,-8.949361,3.698,"Carregado / Azambuja (events: 2022, 2026)"
39.010095,-8.963835,3.699,"Carregado / Azambuja (events: 2022, 2026)"
39.006053,-8.966927,3.702,"Carregado / Azambuja (events: 2022, 2026)"
39.006084,-8.967024,3.712,"Carregado / Azambuja (events: 2022, 2026)"
39.001198,-8.967404,3.715,"Carregado / Azambuja (events: 2022, 2026)"
39.010944,-8.963452,3.731,"Carregado / Azambuja (events: 2022, 2026)"
39.044217,-8.948769,3.732,"Carregado / Azambuja (events: 2022, 2026)"
39.001176,-8.9674,3.735,"Carregado / Azambuja (events: 2022, 2026)"
39.042342,-8.949265,3.743,"Carregado / Azambuja (events: 2022, 2026)"
39.006533,-8.966751,3.762,"Carregado / Azambuja (events: 2022, 2026)"
39.001849,-8.967341,3.78,"Carregado / Azambuja (events: 2022, 2026)"
38.983951,-8.972537,3.793,"Carregado / Azambuja (events: 2022, 2026)"
39.006548,-8.966739,3.8,"Carregado / Azambuja (events: 2022, 2026)"
39.040857,-8.949936,3.802,"Carregado / Azambuja (events: 2022, 2026)"
39.006677,-8.966459,3.807,"Carregado / Azambuja (events: 2022, 2026)"
39.005965,-8.966617,3.822,"Carregado / Azambuja (events: 2022, 2026)"
39.001871,-8.96735,3.833,"Carregado / Azambuja (events: 2022, 2026)"
39.009671,-8.964027,3.844,"Carregado / Azambuja (events: 2022, 2026)"
39.009658,-8.96447,3.85,"Carregado / Azambuja (events: 2022, 2026)"
39.041037,-8.950214,3.857,"Carregado / Azambuja (events: 2022, 2026)"
39.043814,-8.949581,3.861,"Carregado / Azambuja (events: 2022, 2026)"
39.001912,-8.967304,3.865,"Carregado / Azambuja (events: 2022, 2026)"
39.039796,-8.950416,3.866,"Carregado / Azambuja (events: 2022, 2026)"
39.009883,-8.963931,3.87,"Carregado / Azambuja (events: 2022, 2026)"
39.040008,-8.95032,3.888,"Carregado / Azambuja (events: 2022, 2026)"
39.00579,-8.969396,3.902,"Carregado / Azambuja (events: 2022, 2026)"
39.006007,-8.969323,3.905,"Carregado / Azambuja (events: 2022, 2026)"
38.983797,-8.972794,3.91,"Carregado / Azambuja (events: 2022, 2026)"
39.042521,-8.94954,3.916,"Carregado / Azambuja (events: 2022, 2026)"
39.006502,-8.966911,3.92,"Carregado / Azambuja (events: 2022, 2026)"
39.005938,-8.966775,3.929,"Carregado / Azambuja (events: 2022, 2026)"
39.006587,-8.966724,3.932,"Carregado / Azambuja (events: 2022, 2026)"
39.000682,-8.967226,3.934,"Carregado / Azambuja (events: 2022, 2026)"
39.040895,-8.950105,3.938,"Carregado / Azambuja (events: 2022, 2026)"
39.006073,-8.967191,3.946,"Carregado / Azambuja (events: 2022, 2026)"
39.008823,-8.96441,3.946,"Carregado / Azambuja (events: 2022, 2026)"
39.023885,-8.957605,3.952,"Carregado / Azambuja (events: 2022, 2026)"
39.011443,-8.967482,3.956,"Carregado / Azambuja (events: 2022, 2026)"
38.98374,-8.972636,3.958,"Carregado / Azambuja (events: 2022, 2026)"
39.005945,-8.966876,3.961,"Carregado / Azambuja (events: 2022, 2026)"
39.005914,-8.966775,3.988,"Carregado / Azambuja (events: 2022, 2026)"
39.043614,-8.948724,3.989,"Carregado / Azambuja (events: 2022, 2026)"
39.04022,-8.950224,3.99,"Carregado / Azambuja (events: 2022, 2026)"
39.001961,-8.967333,4.0,"Carregado / Azambuja (events: 2022, 2026)"
39.006612,-8.966725,4.033,"Carregado / Azambuja (events: 2022, 2026)"
39.001016,-8.967398,4.034,"Carregado / Azambuja (events: 2022, 2026)"
39.043404,-8.94883,4.035,"Carregado / Azambuja (events: 2022, 2026)"
39.00987,-8.964374,4.045,"Carregado / Azambuja (events: 2022, 2026)"
39.00881,-8.964856,4.046,"Carregado / Azambuja (events: 2022, 2026)"
39.043369,-8.949154,4.056,"Carregado / Azambuja (events: 2022, 2026)"
39.039584,-8.950511,4.056,"Carregado / Azambuja (events: 2022, 2026)"
39.040645,-8.950032,4.056,"Carregado / Azambuja (events: 2022, 2026)"
39.005875,-8.966792,4.059,"Carregado / Azambuja (events: 2022, 2026)"
39.043823,-8.948618,4.061,"Carregado / Azambuja (events: 2022, 2026)"
39.043615,-8.94869,4.062,"Carregado / Azambuja (events: 2022, 2026)"
39.042554,-8.949169,4.064,"Carregado / Azambuja (events: 2022, 2026)"
39.00637,-8.967352,4.065,"Carregado / Azambuja (events: 2022, 2026)"
39.0065,-8.967011,4.068,"Carregado / Azambuja (events: 2022, 2026)"
39.040432,-8.950128,4.069,"Carregado / Azambuja (events: 2022, 2026)"
39.042568,-8.949255,4.07,"Carregado / Azambuja (events: 2022, 2026)"
39.005789,-8.966642,4.084,"Carregado / Azambuja (events: 2022, 2026)"
39.00586,-8.966809,4.092,"Carregado / Azambuja (events: 2022, 2026)"
39.006152,-8.967423,4.094,"Carregado / Azambuja (events: 2022, 2026)"
39.001822,-8.967573,4.111,"Carregado / Azambuja (events: 2022, 2026)"
39.043402,-8.948786,4.12,"Carregado / Azambuja (events: 2022, 2026)"
39.010294,-8.964181,4.123,"Carregado / Azambuja (events: 2022, 2026)"
39.012661,-8.96444,4.13,"Carregado / Azambuja (events: 2022, 2026)"
39.011661,-8.967409,4.131,"Carregado / Azambuja (events: 2022, 2026)"
39.043827,-8.948594,4.147,"Carregado / Azambuja (events: 2022, 2026)"
39.002009,-8.967106,4.152,"Carregado / Azambuja (events: 2022, 2026)"
39.010082,-8.964278,4.155,"Carregado / Azambuja (events: 2022, 2026)"
39.00591,-8.967023,4.161,"Carregado / Azambuja (events: 2022, 2026)"
39.024097,-8.957509,4.166,"Carregado / Azambuja (events: 2022, 2026)"
39.005743,-8.966662,4.167,"Carregado / Azambuja (events: 2022, 2026)"
38.984162,-8.972437,4.168,"Carregado / Azambuja (events: 2022, 2026)"
38.984219,-8.972594,4.168,"Carregado / Azambuja (events: 2022, 2026)"
39.011156,-8.963356,4.187,"Carregado / Azambuja (events: 2022, 2026)"
39.040058,-8.950529,4.192,"Carregado / Azambuja (events: 2022, 2026)"
39.000973,-8.967422,4.193,"Carregado / Azambuja (events: 2022, 2026)"
39.023651,-8.958113,4.194,"Carregado / Azambuja (events: 2022, 2026)"
39.011226,-8.967556,4.196,"Carregado / Azambuja (events: 2022, 2026)"
39.006618,-8.966805,4.209,"Carregado / Azambuja (events: 2022, 2026)"
39.005842,-8.966204,4.214,"Carregado / Azambuja (events: 2022, 2026)"
39.000952,-8.967419,4.217,"Carregado / Azambuja (events: 2022, 2026)"
39.005889,-8.967027,4.218,"Carregado / Azambuja (events: 2022, 2026)"
39.04319,-8.948882,4.224,"Carregado / Azambuja (events: 2022, 2026)"
39.043195,-8.948937,4.226,"Carregado / Azambuja (events: 2022, 2026)"
39.005828,-8.966935,4.232,"Carregado / Azambuja (events: 2022, 2026)"
39.01287,-8.964334,4.236,"Carregado / Azambuja (events: 2022, 2026)"
39.010506,-8.964085,4.239,"Carregado / Azambuja (events: 2022, 2026)"
39.013835,-8.966673,4.239,"Carregado / Azambuja (events: 2022, 2026)"
39.002074,-8.967323,4.241,"Carregado / Azambuja (events: 2022, 2026)"
39.012893,-8.96518,4.242,"Carregado / Azambuja (events: 2022, 2026)"
39.039849,-8.950636,4.244,"Carregado / Azambuja (events: 2022, 2026)"
39.040686,-8.950211,4.246,"Carregado / Azambuja (events: 2022, 2026)"
39.006562,-8.966975,4.247,"Carregado / Azambuja (events: 2022, 2026)"
39.009921,-8.967998,4.251,"Carregado / Azambuja (events: 2022, 2026)"
39.042766,-8.949074,4.254,"Carregado / Azambuja (events: 2022, 2026)"
39.002034,-8.967477,4.264,"Carregado / Azambuja (events: 2022, 2026)"
39.000606,-8.967291,4.265,"Carregado / Azambuja (events: 2022, 2026)"
39.042978,-8.948978,4.268,"Carregado / Azambuja (events: 2022, 2026)"
39.040267,-8.950423,4.273,"Carregado / Azambuja (events: 2022, 2026)"
39.042986,-8.949043,4.278,"Carregado / Azambuja (events: 2022, 2026)"
39.013272,-8.966434,4.279,"Carregado / Azambuja (events: 2022, 2026)"
39.044436,-8.949247,4.283,"Carregado / Azambuja (events: 2022, 2026)"
39.005859,-8.967035,4.289,"Carregado / Azambuja (events: 2022, 2026)"
39.007114,-8.965626,4.294,"Carregado / Azambuja (events: 2022, 2026)"
39.024309,-8.957413,4.295,"Carregado / Azambuja (events: 2022, 2026)"
39.002095,-8.967332,4.298,"Carregado / Azambuja (events: 2022, 2026)"
39.013617,-8.966746,4.299,"Carregado / Azambuja (events: 2022, 2026)"
39.040825,-8.95031,4.299,"Carregado / Azambuja (events: 2022, 2026)"
39.0134,-8.96682,4.299,"Carregado / Azambuja (events: 2022, 2026)"
39.005714,-8.966792,4.299,"Carregado / Azambuja (events: 2022, 2026)"
39.042777,-8.949149,4.304,"Carregado / Azambuja (events: 2022, 2026)"
39.013095,-8.965717,4.312,"Carregado / Azambuja (events: 2022, 2026)"
39.005853,-8.965752,4.313,"Carregado / Azambuja (events: 2022, 2026)"
39.013315,-8.966423,4.318,"Carregado / Azambuja (events: 2022, 2026)"
39.040476,-8.950317,4.32,"Carregado / Azambuja (events: 2022, 2026)"
39.006583,-8.966969,4.324,"Carregado / Azambuja (events: 2022, 2026)"
39.010139,-8.967924,4.326,"Carregado / Azambuja (events: 2022, 2026)"
39.024521,-8.957317,4.332,"Carregado / Azambuja (events: 2022, 2026)"
39.00569,-8.966792,4.335,"Carregado / Azambuja (events: 2022, 2026)"
39.013305,-8.9664,4.338,"Carregado / Azambuja (events: 2022, 2026)"
39.023863,-8.958017,4.355,"Carregado / Azambuja (events: 2022, 2026)"
39.013189,-8.966232,4.355,"Carregado / Azambuja (events: 2022, 2026)"
39.013268,-8.966311,4.36,"Carregado / Azambuja (events: 2022, 2026)"
39.005721,-8.9669,4.364,"Carregado / Azambuja (events: 2022, 2026)"
39.012217,-8.962876,4.372,"Carregado / Azambuja (events: 2022, 2026)"
39.012005,-8.962972,4.378,"Carregado / Azambuja (events: 2022, 2026)"
39.042733,-8.949443,4.381,"Carregado / Azambuja (events: 2022, 2026)"
39.044429,-8.948673,4.382,"Carregado / Azambuja (events: 2022, 2026)"
