idx,lat,lon,elev_m,below_threshold,flood_zone
72,39.07359,-8.857332,3.874,True,"Castanheira / Azambuja (events: 2022, 2026)"
73,39.073346,-8.857818,3.355,True,"Castanheira / Azambuja (events: 2022, 2026)"
74,39.073101,-8.858303,3.25,True,"Castanheira / Azambuja (events: 2022, 2026)"
75,39.072856,-8.858789,3.752,True,"Castanheira / Azambuja (events: 2022, 2026)"
76,39.072612,-8.859275,4.346,True,"Castanheira / Azambuja (events: 2022, 2026)"
77,39.072367,-8.859761,4.937,True,"Castanheira / Azambuja (events: 2022, 2026)"
78,39.072122,-8.860247,5.242,False,"Castanheira / Azambuja (events: 2022, 2026)"
79,39.071878,-8.860733,5.018,False,"Castanheira / Azambuja (events: 2022, 2026)"
80,39.071633,-8.861219,4.703,True,"Castanheira / Azambuja (events: 2022, 2026)"
81,39.071388,-8.861705,4.921,True,"Castanheira / Azambuja (events: 2022, 2026)"
82,39.071144,-8.862191,6.115,False,"Castanheira / Azambuja (events: 2022, 2026)"
83,39.070899,-8.862677,8.283,False,"Castanheira / Azambuja (events: 2022, 2026)"
84,39.070654,-8.863163,10.172,False,"Castanheira / Azambuja (events: 2022, 2026)"
85,39.070409,-8.863649,10.506,False,"Castanheira / Azambuja (events: 2022, 2026)"
86,39.070165,-8.864134,10.58,False,"Castanheira / Azambuja (events: 2022, 2026)"
87,39.06992,-8.86462,10.232,False,"Castanheira / Azambuja (events: 2022, 2026)"
88,39.069675,-8.865106,10.377,False,"Castanheira / Azambuja (events: 2022, 2026)"
89,39.069431,-8.865592,10.951,False,"Castanheira / Azambuja (events: 2022, 2026)"
90,39.069186,-8.866078,11.451,False,"Castanheira / Azambuja (events: 2022, 2026)"
91,39.068941,-8.866564,12.006,False,"Castanheira / Azambuja (events: 2022, 2026)"
92,39.068697,-8.86705,11.86,False,"Castanheira / Azambuja (events: 2022, 2026)"
93,39.068452,-8.867536,11.252,False,"Castanheira / Azambuja (events: 2022, 2026)"
94,39.068207,-8.868022,10.1,False,"Castanheira / Azambuja (events: 2022, 2026)"
95,39.067963,-8.868508,8.928,False,"Castanheira / Azambuja (events: 2022, 2026)"
96,39.067718,-8.868994,8.91,False,"Castanheira / Azambuja (events: 2022, 2026)"
97,39.067473,-8.869479,9.346,False,"Castanheira / Azambuja (events: 2022, 2026)"
98,39.067229,-8.869965,9.141,False,"Castanheira / Azambuja (events: 2022, 2026)"
99,39.066984,-8.870451,7.723,False,"Castanheira / Azambuja (events: 2022, 2026)"
100,39.066739,-8.870937,7.157,False,"Castanheira / Azambuja (events: 2022, 2026)"
101,39.066495,-8.871423,7.327,False,"Castanheira / Azambuja (events: 2022, 2026)"
102,39.06625,-8.871909,6.374,False,"Castanheira / Azambuja (events: 2022, 2026)"
103,39.066005,-8.872395,5.129,False,"Castanheira / Azambuja (events: 2022, 2026)"
104,39.065761,-8.872881,3.986,True,"Castanheira / Azambuja (events: 2022, 2026)"
105,39.065516,-8.873367,4.272,True,"Castanheira / Azambuja (events: 2022, 2026)"
106,39.065271,-8.873853,5.008,False,"Castanheira / Azambuja (events: 2022, 2026)"
107,39.065027,-8.874339,5.946,False,"Castanheira / Azambuja (events: 2022, 2026)"
108,39.064782,-8.874825,6.789,False,"Castanheira / Azambuja (events: 2022, 2026)"
109,39.064537,-8.87531,4.853,True,"Castanheira / Azambuja (events: 2022, 2026)"
110,39.064293,-8.875796,5.367,False,"Castanheira / Azambuja (events: 2022, 2026)"
111,39.064048,-8.876282,3.837,True,"Castanheira / Azambuja (events: 2022, 2026)"
112,39.063803,-8.876768,2.608,True,"Castanheira / Azambuja (events: 2022, 2026)"
113,39.063559,-8.877254,2.341,True,"Castanheira / Azambuja (events: 2022, 2026)"
114,39.063314,-8.87774,2.568,True,"Castanheira / Azambuja (events: 2022, 2026)"
115,39.063069,-8.878226,2.85,True,"Castanheira / Azambuja (events: 2022, 2026)"
116,39.062825,-8.878712,2.605,True,"Castanheira / Azambuja (events: 2022, 2026)"
117,39.06258,-8.879198,2.506,True,"Castanheira / Azambuja (events: 2022, 2026)"
118,39.062335,-8.879684,2.524,True,"Castanheira / Azambuja (events: 2022, 2026)"
119,39.06209,-8.88017,2.744,True,"Castanheira / Azambuja (events: 2022, 2026)"
120,39.061846,-8.880655,2.827,True,"Castanheira / Azambuja (events: 2022, 2026)"
121,39.061601,-8.881141,3.929,True,"Castanheira / Azambuja (events: 2022, 2026)"
122,39.061356,-8.881627,4.6,True,"Castanheira / Azambuja (events: 2022, 2026)"
123,39.061112,-8.882113,4.753,True,"Castanheira / Azambuja (events: 2022, 2026)"
124,39.060867,-8.882599,5.385,False,"Castanheira / Azambuja (events: 2022, 2026)"
125,39.060622,-8.883085,5.697,False,"Castanheira / Azambuja (events: 2022, 2026)"
126,39.060378,-8.883571,6.05,False,"Castanheira / Azambuja (events: 2022, 2026)"
127,39.060133,-8.884057,7.071,False,"Castanheira / Azambuja (events: 2022, 2026)"
128,39.059888,-8.884543,8.169,False,"Castanheira / Azambuja (events: 2022, 2026)"
129,39.059644,-8.885029,8.305,False,"Castanheira / Azambuja (events: 2022, 2026)"
130,39.059399,-8.885515,7.996,False,"Castanheira / Azambuja (events: 2022, 2026)"
131,39.059154,-8.886001,7.117,False,"Castanheira / Azambuja (events: 2022, 2026)"
132,39.05891,-8.886486,6.162,False,"Castanheira / Azambuja (events: 2022, 2026)"
133,39.058665,-8.886972,6.049,False,"Castanheira / Azambuja (events: 2022, 2026)"
134,39.05842,-8.887458,5.903,False,"Castanheira / Azambuja (events: 2022, 2026)"
135,39.058176,-8.887944,5.339,False,"Castanheira / Azambuja (events: 2022, 2026)"
136,39.057931,-8.88843,5.137,False,"Castanheira / Azambuja (events: 2022, 2026)"
137,39.057686,-8.888916,5.025,False,"Castanheira / Azambuja (events: 2022, 2026)"
138,39.057442,-8.889402,5.077,False,"Castanheira / Azambuja (events: 2022, 2026)"
139,39.057197,-8.889888,5.563,False,"Castanheira / Azambuja (events: 2022, 2026)"
140,39.056952,-8.890374,5.678,False,"Castanheira / Azambuja (events: 2022, 2026)"
141,39.056708,-8.89086,5.252,False,"Castanheira / Azambuja (events: 2022, 2026)"
142,39.056463,-8.891346,4.496,True,"Castanheira / Azambuja (events: 2022, 2026)"
143,39.056218,-8.891831,4.296,True,"Castanheira / Azambuja (events: 2022, 2026)"
144,39.055974,-8.892317,4.458,True,"Castanheira / Azambuja (events: 2022, 2026)"
145,39.055729,-8.892803,4.685,True,"Castanheira / Azambuja (events: 2022, 2026)"
146,39.055484,-8.893289,4.801,True,"Castanheira / Azambuja (events: 2022, 2026)"
147,39.05524,-8.893775,4.884,True,"Castanheira / Azambuja (events: 2022, 2026)"
148,39.054995,-8.894261,5.251,False,"Castanheira / Azambuja (events: 2022, 2026)"
149,39.05475,-8.894747,5.611,False,"Castanheira / Azambuja (events: 2022, 2026)"
150,39.054506,-8.895233,5.373,False,"Castanheira / Azambuja (events: 2022, 2026)"
151,39.054261,-8.895719,4.995,True,"Castanheira / Azambuja (events: 2022, 2026)"
152,39.054016,-8.896205,5.175,False,"Castanheira / Azambuja (events: 2022, 2026)"
153,39.053772,-8.896691,5.711,False,"Castanheira / Azambuja (events: 2022, 2026)"
154,39.053527,-8.897177,6.168,False,"Castanheira / Azambuja (events: 2022, 2026)"
155,39.053282,-8.897662,6.869,False,"Castanheira / Azambuja (events: 2022, 2026)"
156,39.053037,-8.898148,7.523,False,"Castanheira / Azambuja (events: 2022, 2026)"
157,39.052793,-8.898634,7.898,False,"Castanheira / Azambuja (events: 2022, 2026)"
158,39.052548,-8.89912,8.199,False,"Castanheira / Azambuja (events: 2022, 2026)"
159,39.052303,-8.899606,8.242,False,"Castanheira / Azambuja (events: 2022, 2026)"
160,39.052059,-8.900092,7.891,False,"Castanheira / Azambuja (events: 2022, 2026)"
161,39.051814,-8.900578,6.476,False,"Castanheira / Azambuja (events: 2022, 2026)"
162,39.051569,-8.901064,5.324,False,"Castanheira / Azambuja (events: 2022, 2026)"
163,39.051325,-8.90155,5.212,False,"Castanheira / Azambuja (events: 2022, 2026)"
164,39.05108,-8.902036,5.061,False,"Castanheira / Azambuja (events: 2022, 2026)"
165,39.050835,-8.902522,5.091,False,"Castanheira / Azambuja (events: 2022, 2026)"
166,39.051049,-8.902106,5.039,False,"Castanheira / Azambuja (events: 2022, 2026)"
167,39.051297,-8.901624,5.243,False,"Castanheira / Azambuja (events: 2022, 2026)"
168,39.051546,-8.901141,5.32,False,"Castanheira / Azambuja (events: 2022, 2026)"
169,39.051794,-8.900658,6.374,False,"Castanheira / Azambuja (events: 2022, 2026)"
170,39.052042,-8.900175,7.964,False,"Castanheira / Azambuja (events: 2022, 2026)"
171,39.05229,-8.899692,8.373,False,"Castanheira / Azambuja (events: 2022, 2026)"
172,39.052538,-8.899209,8.479,False,"Castanheira / Azambuja (events: 2022, 2026)"
173,39.052786,-8.898726,8.184,False,"Castanheira / Azambuja (events: 2022, 2026)"
174,39.053033,-8.898242,7.827,False,"Castanheira / Azambuja (events: 2022, 2026)"
175,39.053278,-8.897756,7.19,False,"Castanheira / Azambuja (events: 2022, 2026)"
176,39.05352,-8.897268,6.368,False,"Castanheira / Azambuja (events: 2022, 2026)"
177,39.05376,-8.896779,5.884,False,"Castanheira / Azambuja (events: 2022, 2026)"
178,39.054,-8.896289,5.324,False,"Castanheira / Azambuja (events: 2022, 2026)"
179,39.05424,-8.8958,5.013,False,"Castanheira / Azambuja (events: 2022, 2026)"
180,39.05448,-8.89531,5.335,False,"Castanheira / Azambuja (events: 2022, 2026)"
181,39.05472,-8.89482,5.633,False,"Castanheira / Azambuja (events: 2022, 2026)"
182,39.05496,-8.894331,5.312,False,"Castanheira / Azambuja (events: 2022, 2026)"
183,39.055198,-8.893839,4.919,True,"Castanheira / Azambuja (events: 2022, 2026)"
184,39.055436,-8.893348,4.779,True,"Castanheira / Azambuja (events: 2022, 2026)"
185,39.055674,-8.892856,4.664,True,"Castanheira / Azambuja (events: 2022, 2026)"
186,39.055912,-8.892365,4.425,True,"Castanheira / Azambuja (events: 2022, 2026)"
187,39.056149,-8.891874,4.287,True,"Castanheira / Azambuja (events: 2022, 2026)"
188,39.056387,-8.891382,4.389,True,"Castanheira / Azambuja (events: 2022, 2026)"
189,39.056625,-8.890891,5.15,False,"Castanheira / Azambuja (events: 2022, 2026)"
190,39.056863,-8.890399,5.49,False,"Castanheira / Azambuja (events: 2022, 2026)"
191,39.057101,-8.889908,5.402,False,"Castanheira / Azambuja (events: 2022, 2026)"
192,39.057339,-8.889416,4.945,True,"Castanheira / Azambuja (events: 2022, 2026)"
193,39.057576,-8.888925,4.74,True,"Castanheira / Azambuja (events: 2022, 2026)"
194,39.057814,-8.888433,4.929,True,"Castanheira / Azambuja (events: 2022, 2026)"
195,39.058052,-8.887942,5.206,False,"Castanheira / Azambuja (events: 2022, 2026)"
196,39.05829,-8.887451,5.857,False,"Castanheira / Azambuja (events: 2022, 2026)"
197,39.058528,-8.886959,6.04,False,"Castanheira / Azambuja (events: 2022, 2026)"
198,39.058766,-8.886468,6.018,False,"Castanheira / Azambuja (events: 2022, 2026)"
199,39.059003,-8.885976,6.737,False,"Castanheira / Azambuja (events: 2022, 2026)"
200,39.059241,-8.885485,7.528,False,"Castanheira / Azambuja (events: 2022, 2026)"
201,39.059479,-8.884993,7.896,False,"Castanheira / Azambuja (events: 2022, 2026)"
202,39.059717,-8.884502,7.857,False,"Castanheira / Azambuja (events: 2022, 2026)"
203,39.059955,-8.88401,6.898,False,"Castanheira / Azambuja (events: 2022, 2026)"
204,39.060193,-8.883519,5.696,False,"Castanheira / Azambuja (events: 2022, 2026)"
205,39.06043,-8.883028,5.205,False,"Castanheira / Azambuja (events: 2022, 2026)"
206,39.060669,-8.882536,5.032,False,"Castanheira / Azambuja (events: 2022, 2026)"
207,39.060907,-8.882045,4.462,True,"Castanheira / Azambuja (events: 2022, 2026)"
208,39.061146,-8.881555,4.091,True,"Castanheira / Azambuja (events: 2022, 2026)"
209,39.061384,-8.881064,3.392,True,"Castanheira / Azambuja (events: 2022, 2026)"
210,39.061629,-8.880578,2.612,True,"Castanheira / Azambuja (events: 2022, 2026)"
211,39.061874,-8.880092,2.992,True,"Castanheira / Azambuja (events: 2022, 2026)"
212,39.062119,-8.879607,2.693,True,"Castanheira / Azambuja (events: 2022, 2026)"
213,39.062363,-8.87912,2.394,True,"Castanheira / Azambuja (events: 2022, 2026)"
214,39.062597,-8.878625,2.36,True,"Castanheira / Azambuja (events: 2022, 2026)"
215,39.06283,-8.87813,2.543,True,"Castanheira / Azambuja (events: 2022, 2026)"
216,39.063063,-8.877635,2.349,True,"Castanheira / Azambuja (events: 2022, 2026)"
217,39.063297,-8.87714,2.529,True,"Castanheira / Azambuja (events: 2022, 2026)"
218,39.06353,-8.876645,3.123,True,"Castanheira / Azambuja (events: 2022, 2026)"
219,39.063763,-8.87615,4.11,True,"Castanheira / Azambuja (events: 2022, 2026)"
220,39.063996,-8.875654,5.311,False,"Castanheira / Azambuja (events: 2022, 2026)"
221,39.06423,-8.875159,4.61,True,"Castanheira / Azambuja (events: 2022, 2026)"
222,39.064463,-8.874664,6.28,False,"Castanheira / Azambuja (events: 2022, 2026)"
223,39.064696,-8.874169,6.155,False,"Castanheira / Azambuja (events: 2022, 2026)"
224,39.06493,-8.873674,5.462,False,"Castanheira / Azambuja (events: 2022, 2026)"
225,39.065163,-8.873179,4.851,True,"Castanheira / Azambuja (events: 2022, 2026)"
226,39.065396,-8.872684,3.659,True,"Castanheira / Azambuja (events: 2022, 2026)"
227,39.06563,-8.872188,3.718,True,"Castanheira / Azambuja (events: 2022, 2026)"
228,39.065863,-8.871693,4.802,True,"Castanheira / Azambuja (events: 2022, 2026)"
229,39.066096,-8.871198,5.398,False,"Castanheira / Azambuja (events: 2022, 2026)"
230,39.06633,-8.870703,5.568,False,"Castanheira / Azambuja (events: 2022, 2026)"
231,39.066563,-8.870208,6.261,False,"Castanheira / Azambuja (events: 2022, 2026)"
232,39.066796,-8.869713,7.03,False,"Castanheira / Azambuja (events: 2022, 2026)"
233,39.06703,-8.869218,7.064,False,"Castanheira / Azambuja (events: 2022, 2026)"
234,39.067263,-8.868722,6.519,False,"Castanheira / Azambuja (events: 2022, 2026)"
235,39.067496,-8.868227,6.718,False,"Castanheira / Azambuja (events: 2022, 2026)"
236,39.06773,-8.867732,7.916,False,"Castanheira / Azambuja (events: 2022, 2026)"
237,39.067963,-8.867237,9.21,False,"Castanheira / Azambuja (events: 2022, 2026)"
238,39.068196,-8.866742,9.426,False,"Castanheira / Azambuja (events: 2022, 2026)"
239,39.068429,-8.866247,9.073,False,"Castanheira / Azambuja (events: 2022, 2026)"
240,39.068663,-8.865751,8.502,False,"Castanheira / Azambuja (events: 2022, 2026)"
241,39.068896,-8.865256,7.625,False,"Castanheira / Azambuja (events: 2022, 2026)"
242,39.069129,-8.864761,6.729,False,"Castanheira / Azambuja (events: 2022, 2026)"
243,39.069363,-8.864266,6.025,False,"Castanheira / Azambuja (events: 2022, 2026)"
244,39.069596,-8.863771,5.788,False,"Castanheira / Azambuja (events: 2022, 2026)"
245,39.069829,-8.863276,5.143,False,"Castanheira / Azambuja (events: 2022, 2026)"
246,39.070063,-8.862781,4.782,True,"Castanheira / Azambuja (events: 2022, 2026)"
247,39.070296,-8.862285,4.413,True,"Castanheira / Azambuja (events: 2022, 2026)"
248,39.070529,-8.86179,4.202,True,"Castanheira / Azambuja (events: 2022, 2026)"
249,39.070763,-8.861295,3.578,True,"Castanheira / Azambuja (events: 2022, 2026)"
250,39.070996,-8.8608,3.041,True,"Castanheira / Azambuja (events: 2022, 2026)"
251,39.071229,-8.860305,3.665,True,"Castanheira / Azambuja (events: 2022, 2026)"
252,39.071463,-8.85981,4.574,True,"Castanheira / Azambuja (events: 2022, 2026)"
253,39.071696,-8.859315,4.833,True,"Castanheira / Azambuja (events: 2022, 2026)"
254,39.071929,-8.858819,4.447,True,"Castanheira / Azambuja (events: 2022, 2026)"
255,39.072162,-8.858324,3.68,True,"Castanheira / Azambuja (events: 2022, 2026)"
256,39.072396,-8.857829,3.173,True,"Castanheira / Azambuja (events: 2022, 2026)"
257,39.072629,-8.857334,2.959,True,"Castanheira / Azambuja (events: 2022, 2026)"
