section,section_type,scenario,year,variant,slr_m,return_period_yr,events_per_year,days_per_event,closure_days_yr
Mondego Valley (km 240–244),railway,SSP2-4.5,2074,+Geoid,0.594,0.07,15.348,10.9,167.9
Mondego Valley (km 240–244),railway,SSP2-4.5,2075,Baseline,0.45,0.18,5.657,9.5,53.7
Mondego Valley (km 240–244),railway,SSP2-4.5,2075,+Geoid,0.6,0.06,16.0,11.0,176.0
Mondego Valley (km 240–244),railway,SSP2-4.5,2076,Baseline,0.456,0.17,5.897,9.6,56.4
Mondego Valley (km 240–244),railway,SSP2-4.5,2076,+Geoid,0.606,0.06,16.679,11.1,184.5
Mondego Valley (km 240–244),railway,SSP2-4.5,2077,Baseline,0.462,0.16,6.148,9.6,59.1
Mondego Valley (km 240–244),railway,SSP2-4.5,2077,+Geoid,0.612,0.06,17.388,11.1,193.4
Mondego Valley (km 240–244),railway,SSP2-4.5,2078,Baseline,0.468,0.16,6.409,9.7,62.0
Mondego Valley (km 240–244),railway,SSP2-4.5,2078,+Geoid,0.618,0.06,18.126,11.2,202.7
Mondego Valley (km 240–244),railway,SSP2-4.5,2079,Baseline,0.474,0.15,6.681,9.7,65.1
Mondego Valley (km 240–244),railway,SSP2-4.5,2079,+Geoid,0.624,0.05,18.896,11.2,212.4
Mondego Valley (km 240–244),railway,SSP2-4.5,2080,Baseline,0.48,0.14,6.964,9.8,68.3
Mondego Valley (km 240–244),railway,SSP2-4.5,2080,+Geoid,0.63,0.05,19.698,11.3,222.6
Mondego Valley (km 240–244),railway,SSP2-4.5,2081,Baseline,0.486,0.14,7.26,9.9,71.6
Mondego Valley (km 240–244),railway,SSP2-4.5,2081,+Geoid,0.636,0.05,20.535,11.4,233.3
Mondego Valley (km 240–244),railway,SSP2-4.5,2082,Baseline,0.492,0.13,7.568,9.9,75.1
Mondego Valley (km 240–244),railway,SSP2-4.5,2082,+Geoid,0.642,0.05,21.407,11.4,244.5
Mondego Valley (km 240–244),railway,SSP2-4.5,2083,Baseline,0.498,0.13,7.89,10.0,78.7
Mondego Valley (km 240–244),railway,SSP2-4.5,2083,+Geoid,0.648,0.04,22.316,11.5,256.2
Mondego Valley (km 240–244),railway,SSP2-4.5,2084,Baseline,0.504,0.12,8.225,10.0,82.6
Mondego Valley (km 240–244),railway,SSP2-4.5,2084,+Geoid,0.654,0.04,23.264,11.5,268.5
Mondego Valley (km 240–244),railway,SSP2-4.5,2085,Baseline,0.51,0.12,8.574,10.1,86.6
Mondego Valley (km 240–244),railway,SSP2-4.5,2085,+Geoid,0.66,0.04,24.251,11.6,281.3
Mondego Valley (km 240–244),railway,SSP2-4.5,2086,Baseline,0.516,0.11,8.938,10.2,90.8
Mondego Valley (km 240–244),railway,SSP2-4.5,2086,+Geoid,0.666,0.04,25.281,11.7,294.8
Mondego Valley (km 240–244),railway,SSP2-4.5,2087,Baseline,0.522,0.11,9.318,10.2,95.2
Mondego Valley (km 240–244),railway,SSP2-4.5,2087,+Geoid,0.672,0.04,26.355,11.7,308.9
Mondego Valley (km 240–244),railway,SSP2-4.5,2088,Baseline,0.528,0.1,9.714,10.3,99.9
Mondego Valley (km 240–244),railway,SSP2-4.5,2088,+Geoid,0.678,0.04,27.474,11.8,323.6
Mondego Valley (km 240–244),railway,SSP2-4.5,2089,Baseline,0.534,0.1,10.126,10.3,104.7
Mondego Valley (km 240–244),railway,SSP2-4.5,2089,+Geoid,0.684,0.03,28.641,11.8,339.1
Mondego Valley (km 240–244),railway,SSP2-4.5,2090,Baseline,0.54,0.09,10.556,10.4,109.8
Mondego Valley (km 240–244),railway,SSP2-4.5,2090,+Geoid,0.69,0.03,29.857,11.9,355.3
Mondego Valley (km 240–244),railway,SSP2-4.5,2091,Baseline,0.546,0.09,11.004,10.5,115.1
Mondego Valley (km 240–244),railway,SSP2-4.5,2091,+Geoid,0.696,0.03,31.125,12.0,365.0
Mondego Valley (km 240–244),railway,SSP2-4.5,2092,Baseline,0.552,0.09,11.472,10.5,120.7
Mondego Valley (km 240–244),railway,SSP2-4.5,2092,+Geoid,0.702,0.03,32.447,12.0,365.0
Mondego Valley (km 240–244),railway,SSP2-4.5,2093,Baseline,0.558,0.08,11.959,10.6,126.5
Mondego Valley (km 240–244),railway,SSP2-4.5,2093,+Geoid,0.708,0.03,33.825,12.1,365.0
Mondego Valley (km 240–244),railway,SSP2-4.5,2094,Baseline,0.564,0.08,12.467,10.6,132.6
Mondego Valley (km 240–244),railway,SSP2-4.5,2094,+Geoid,0.714,0.03,35.261,12.1,365.0
Mondego Valley (km 240–244),railway,SSP2-4.5,2095,Baseline,0.57,0.08,12.996,10.7,139.1
Mondego Valley (km 240–244),railway,SSP2-4.5,2095,+Geoid,0.72,0.03,36.758,12.2,365.0
Mondego Valley (km 240–244),railway,SSP2-4.5,2096,Baseline,0.576,0.07,13.548,10.8,145.8
Mondego Valley (km 240–244),railway,SSP2-4.5,2096,+Geoid,0.726,0.03,38.319,12.3,365.0
Mondego Valley (km 240–244),railway,SSP2-4.5,2097,Baseline,0.582,0.07,14.123,10.8,152.8
Mondego Valley (km 240–244),railway,SSP2-4.5,2097,+Geoid,0.732,0.03,39.947,12.3,365.0
Mondego Valley (km 240–244),railway,SSP2-4.5,2098,Baseline,0.588,0.07,14.723,10.9,160.2
Mondego Valley (km 240–244),railway,SSP2-4.5,2098,+Geoid,0.738,0.02,41.643,12.4,365.0
Mondego Valley (km 240–244),railway,SSP2-4.5,2099,Baseline,0.594,0.07,15.348,10.9,167.9
Mondego Valley (km 240–244),railway,SSP2-4.5,2099,+Geoid,0.744,0.02,43.411,12.4,365.0
Mondego Valley (km 240–244),railway,SSP2-4.5,2100,Baseline,0.6,0.06,16.0,11.0,176.0
Mondego Valley (km 240–244),railway,SSP2-4.5,2100,+Geoid,0.75,0.02,45.255,12.5,365.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2025,Baseline,0.065,2.55,0.392,5.6,2.2
Mondego Valley (km 240–244),railway,SSP5-8.5,2025,+Geoid,0.215,0.9,1.11,7.1,7.9
Mondego Valley (km 240–244),railway,SSP5-8.5,2026,Baseline,0.078,2.33,0.429,5.8,2.5
Mondego Valley (km 240–244),railway,SSP5-8.5,2026,+Geoid,0.228,0.82,1.214,7.3,8.8
Mondego Valley (km 240–244),railway,SSP5-8.5,2027,Baseline,0.091,2.13,0.47,5.9,2.8
Mondego Valley (km 240–244),railway,SSP5-8.5,2027,+Geoid,0.241,0.75,1.329,7.4,9.8
Mondego Valley (km 240–244),railway,SSP5-8.5,2028,Baseline,0.104,1.95,0.514,6.0,3.1
Mondego Valley (km 240–244),railway,SSP5-8.5,2028,+Geoid,0.254,0.69,1.454,7.5,11.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2029,Baseline,0.117,1.78,0.563,6.2,3.5
Mondego Valley (km 240–244),railway,SSP5-8.5,2029,+Geoid,0.267,0.63,1.591,7.7,12.2
Mondego Valley (km 240–244),railway,SSP5-8.5,2030,Baseline,0.13,1.62,0.616,6.3,3.9
Mondego Valley (km 240–244),railway,SSP5-8.5,2030,+Geoid,0.28,0.57,1.741,7.8,13.6
Mondego Valley (km 240–244),railway,SSP5-8.5,2031,Baseline,0.144,1.48,0.676,6.4,4.3
Mondego Valley (km 240–244),railway,SSP5-8.5,2031,+Geoid,0.293,0.52,1.912,7.9,15.2
Mondego Valley (km 240–244),railway,SSP5-8.5,2032,Baseline,0.157,1.35,0.742,6.6,4.9
Mondego Valley (km 240–244),railway,SSP5-8.5,2032,+Geoid,0.307,0.48,2.099,8.1,16.9
Mondego Valley (km 240–244),railway,SSP5-8.5,2033,Baseline,0.171,1.23,0.815,6.7,5.5
Mondego Valley (km 240–244),railway,SSP5-8.5,2033,+Geoid,0.321,0.43,2.305,8.2,18.9
Mondego Valley (km 240–244),railway,SSP5-8.5,2034,Baseline,0.184,1.12,0.895,6.8,6.1
Mondego Valley (km 240–244),railway,SSP5-8.5,2034,+Geoid,0.334,0.4,2.532,8.3,21.1
Mondego Valley (km 240–244),railway,SSP5-8.5,2035,Baseline,0.198,1.02,0.983,7.0,6.9
Mondego Valley (km 240–244),railway,SSP5-8.5,2035,+Geoid,0.348,0.36,2.78,8.5,23.6
Mondego Valley (km 240–244),railway,SSP5-8.5,2036,Baseline,0.211,0.93,1.079,7.1,7.7
Mondego Valley (km 240–244),railway,SSP5-8.5,2036,+Geoid,0.361,0.33,3.053,8.6,26.3
Mondego Valley (km 240–244),railway,SSP5-8.5,2037,Baseline,0.225,0.84,1.185,7.2,8.6
Mondego Valley (km 240–244),railway,SSP5-8.5,2037,+Geoid,0.375,0.3,3.352,8.7,29.3
Mondego Valley (km 240–244),railway,SSP5-8.5,2038,Baseline,0.238,0.77,1.301,7.4,9.6
Mondego Valley (km 240–244),railway,SSP5-8.5,2038,+Geoid,0.388,0.27,3.681,8.9,32.7
Mondego Valley (km 240–244),railway,SSP5-8.5,2039,Baseline,0.252,0.7,1.429,7.5,10.7
Mondego Valley (km 240–244),railway,SSP5-8.5,2039,+Geoid,0.401,0.25,4.042,9.0,36.4
Mondego Valley (km 240–244),railway,SSP5-8.5,2040,Baseline,0.265,0.64,1.569,7.7,12.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2040,+Geoid,0.415,0.23,4.438,9.2,40.6
Mondego Valley (km 240–244),railway,SSP5-8.5,2041,Baseline,0.279,0.58,1.723,7.8,13.4
Mondego Valley (km 240–244),railway,SSP5-8.5,2041,+Geoid,0.428,0.21,4.874,9.3,45.3
Mondego Valley (km 240–244),railway,SSP5-8.5,2042,Baseline,0.292,0.53,1.892,7.9,15.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2042,+Geoid,0.442,0.19,5.352,9.4,50.4
Mondego Valley (km 240–244),railway,SSP5-8.5,2043,Baseline,0.305,0.48,2.078,8.1,16.7
Mondego Valley (km 240–244),railway,SSP5-8.5,2043,+Geoid,0.456,0.17,5.877,9.6,56.2
Mondego Valley (km 240–244),railway,SSP5-8.5,2044,Baseline,0.319,0.44,2.282,8.2,18.7
Mondego Valley (km 240–244),railway,SSP5-8.5,2044,+Geoid,0.469,0.15,6.453,9.7,62.5
Mondego Valley (km 240–244),railway,SSP5-8.5,2045,Baseline,0.333,0.4,2.505,8.3,20.9
Mondego Valley (km 240–244),railway,SSP5-8.5,2045,+Geoid,0.483,0.14,7.086,9.8,69.6
Mondego Valley (km 240–244),railway,SSP5-8.5,2046,Baseline,0.346,0.36,2.751,8.5,23.3
Mondego Valley (km 240–244),railway,SSP5-8.5,2046,+Geoid,0.496,0.13,7.781,10.0,77.5
Mondego Valley (km 240–244),railway,SSP5-8.5,2047,Baseline,0.36,0.33,3.021,8.6,26.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2047,+Geoid,0.51,0.12,8.545,10.1,86.3
Mondego Valley (km 240–244),railway,SSP5-8.5,2048,Baseline,0.373,0.3,3.317,8.7,29.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2048,+Geoid,0.523,0.11,9.383,10.2,96.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2049,Baseline,0.387,0.27,3.643,8.9,32.3
Mondego Valley (km 240–244),railway,SSP5-8.5,2049,+Geoid,0.536,0.1,10.303,10.4,106.8
Mondego Valley (km 240–244),railway,SSP5-8.5,2050,Baseline,0.4,0.25,4.0,9.0,36.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2050,+Geoid,0.55,0.09,11.314,10.5,118.8
Mondego Valley (km 240–244),railway,SSP5-8.5,2051,Baseline,0.412,0.23,4.347,9.1,39.6
Mondego Valley (km 240–244),railway,SSP5-8.5,2051,+Geoid,0.562,0.08,12.295,10.6,130.6
Mondego Valley (km 240–244),railway,SSP5-8.5,2052,Baseline,0.424,0.21,4.724,9.2,43.6
Mondego Valley (km 240–244),railway,SSP5-8.5,2052,+Geoid,0.574,0.07,13.361,10.7,143.5
Mondego Valley (km 240–244),railway,SSP5-8.5,2053,Baseline,0.436,0.19,5.134,9.4,48.1
Mondego Valley (km 240–244),railway,SSP5-8.5,2053,+Geoid,0.586,0.07,14.52,10.9,157.7
Mondego Valley (km 240–244),railway,SSP5-8.5,2054,Baseline,0.448,0.18,5.579,9.5,52.9
Mondego Valley (km 240–244),railway,SSP5-8.5,2054,+Geoid,0.598,0.06,15.78,11.0,173.3
Mondego Valley (km 240–244),railway,SSP5-8.5,2055,Baseline,0.46,0.16,6.063,9.6,58.2
Mondego Valley (km 240–244),railway,SSP5-8.5,2055,+Geoid,0.61,0.06,17.148,11.1,190.3
Mondego Valley (km 240–244),railway,SSP5-8.5,2056,Baseline,0.472,0.15,6.589,9.7,64.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2056,+Geoid,0.622,0.05,18.636,11.2,209.1
Mondego Valley (km 240–244),railway,SSP5-8.5,2057,Baseline,0.484,0.14,7.16,9.8,70.5
Mondego Valley (km 240–244),railway,SSP5-8.5,2057,+Geoid,0.634,0.05,20.252,11.3,229.7
Mondego Valley (km 240–244),railway,SSP5-8.5,2058,Baseline,0.496,0.13,7.781,10.0,77.5
Mondego Valley (km 240–244),railway,SSP5-8.5,2058,+Geoid,0.646,0.05,22.009,11.5,252.2
Mondego Valley (km 240–244),railway,SSP5-8.5,2059,Baseline,0.508,0.12,8.456,10.1,85.2
Mondego Valley (km 240–244),railway,SSP5-8.5,2059,+Geoid,0.658,0.04,23.918,11.6,277.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2060,Baseline,0.52,0.11,9.19,10.2,93.7
Mondego Valley (km 240–244),railway,SSP5-8.5,2060,+Geoid,0.67,0.04,25.992,11.7,304.1
Mondego Valley (km 240–244),railway,SSP5-8.5,2061,Baseline,0.532,0.1,9.987,10.3,103.1
Mondego Valley (km 240–244),railway,SSP5-8.5,2061,+Geoid,0.682,0.04,28.246,11.8,333.9
Mondego Valley (km 240–244),railway,SSP5-8.5,2062,Baseline,0.544,0.09,10.853,10.4,113.3
Mondego Valley (km 240–244),railway,SSP5-8.5,2062,+Geoid,0.694,0.03,30.696,11.9,365.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2063,Baseline,0.556,0.08,11.794,10.6,124.5
Mondego Valley (km 240–244),railway,SSP5-8.5,2063,+Geoid,0.706,0.03,33.359,12.1,365.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2064,Baseline,0.568,0.08,12.817,10.7,136.9
Mondego Valley (km 240–244),railway,SSP5-8.5,2064,+Geoid,0.718,0.03,36.252,12.2,365.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2065,Baseline,0.58,0.07,13.929,10.8,150.4
Mondego Valley (km 240–244),railway,SSP5-8.5,2065,+Geoid,0.73,0.03,39.397,12.3,365.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2066,Baseline,0.592,0.07,15.137,10.9,165.3
Mondego Valley (km 240–244),railway,SSP5-8.5,2066,+Geoid,0.742,0.02,42.814,12.4,365.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2067,Baseline,0.604,0.06,16.45,11.0,181.6
Mondego Valley (km 240–244),railway,SSP5-8.5,2067,+Geoid,0.754,0.02,46.527,12.5,365.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2068,Baseline,0.616,0.06,17.877,11.2,199.5
Mondego Valley (km 240–244),railway,SSP5-8.5,2068,+Geoid,0.766,0.02,50.563,12.7,365.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2069,Baseline,0.628,0.05,19.427,11.3,219.1
Mondego Valley (km 240–244),railway,SSP5-8.5,2069,+Geoid,0.778,0.02,54.948,12.8,365.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2070,Baseline,0.64,0.05,21.112,11.4,240.7
Mondego Valley (km 240–244),railway,SSP5-8.5,2070,+Geoid,0.79,0.02,59.714,12.9,365.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2071,Baseline,0.652,0.04,22.943,11.5,264.3
Mondego Valley (km 240–244),railway,SSP5-8.5,2071,+Geoid,0.802,0.02,64.893,13.0,365.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2072,Baseline,0.664,0.04,24.933,11.6,290.2
Mondego Valley (km 240–244),railway,SSP5-8.5,2072,+Geoid,0.814,0.01,70.522,13.1,365.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2073,Baseline,0.676,0.04,27.096,11.8,318.6
Mondego Valley (km 240–244),railway,SSP5-8.5,2073,+Geoid,0.826,0.01,76.639,13.3,365.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2074,Baseline,0.688,0.03,29.446,11.9,349.8
Mondego Valley (km 240–244),railway,SSP5-8.5,2074,+Geoid,0.838,0.01,83.286,13.4,365.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2075,Baseline,0.7,0.03,32.0,12.0,365.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2075,+Geoid,0.85,0.01,90.51,13.5,365.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2076,Baseline,0.712,0.03,34.776,12.1,365.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2076,+Geoid,0.862,0.01,98.36,13.6,365.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2077,Baseline,0.724,0.03,37.792,12.2,365.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2077,+Geoid,0.874,0.01,106.891,13.7,365.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2078,Baseline,0.736,0.02,41.07,12.4,365.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2078,+Geoid,0.886,0.01,116.162,13.9,365.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2079,Baseline,0.748,0.02,44.632,12.5,365.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2079,+Geoid,0.898,0.01,126.238,14.0,365.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2080,Baseline,0.76,0.02,48.503,12.6,365.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2080,+Geoid,0.91,0.01,137.187,14.1,365.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2081,Baseline,0.772,0.02,52.71,12.7,365.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2081,+Geoid,0.922,0.01,149.086,14.2,365.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2082,Baseline,0.784,0.02,57.282,12.8,365.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2082,+Geoid,0.934,0.01,162.017,14.3,365.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2083,Baseline,0.796,0.02,62.25,13.0,365.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2083,+Geoid,0.946,0.01,176.069,14.5,365.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2084,Baseline,0.808,0.01,67.649,13.1,365.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2084,+Geoid,0.958,0.01,191.341,14.6,365.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2085,Baseline,0.82,0.01,73.517,13.2,365.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2085,+Geoid,0.97,0.0,207.937,14.7,365.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2086,Baseline,0.832,0.01,79.893,13.3,365.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2086,+Geoid,0.982,0.0,225.972,14.8,365.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2087,Baseline,0.844,0.01,86.823,13.4,365.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2087,+Geoid,0.994,0.0,245.572,14.9,365.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2088,Baseline,0.856,0.01,94.353,13.6,365.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2088,+Geoid,1.006,0.0,266.871,15.1,365.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2089,Baseline,0.868,0.01,102.537,13.7,365.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2089,+Geoid,1.018,0.0,290.018,15.2,365.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2090,Baseline,0.88,0.01,111.43,13.8,365.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2090,+Geoid,1.03,0.0,315.173,15.3,365.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2091,Baseline,0.892,0.01,121.095,13.9,365.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2091,+Geoid,1.042,0.0,342.509,15.4,365.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2092,Baseline,0.904,0.01,131.599,14.0,365.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2092,+Geoid,1.054,0.0,372.217,15.5,365.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2093,Baseline,0.916,0.01,143.013,14.2,365.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2093,+Geoid,1.066,0.0,404.501,15.7,365.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2094,Baseline,0.928,0.01,155.417,14.3,365.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2094,+Geoid,1.078,0.0,439.586,15.8,365.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2095,Baseline,0.94,0.01,168.897,14.4,365.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2095,+Geoid,1.09,0.0,477.713,15.9,365.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2096,Baseline,0.952,0.01,183.546,14.5,365.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2096,+Geoid,1.102,0.0,519.147,16.0,365.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2097,Baseline,0.964,0.01,199.466,14.6,365.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2097,+Geoid,1.114,0.0,564.175,16.1,365.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2098,Baseline,0.976,0.0,216.767,14.8,365.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2098,+Geoid,1.126,0.0,613.109,16.3,365.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2099,Baseline,0.988,0.0,235.568,14.9,365.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2099,+Geoid,1.138,0.0,666.287,16.4,365.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2100,Baseline,1.0,0.0,256.0,15.0,365.0
Mondego Valley (km 240–244),railway,SSP5-8.5,2100,+Geoid,1.15,0.0,724.077,16.5,365.0
