section,section_type,scenario,year,variant,slr_m,return_period_yr,events_per_year,days_per_event,closure_days_yr
Mondego Valley (km 240–244),railway,SSP1-2.6,2053,+Geoid,0.362,0.33,3.074,8.6,26.5
Mondego Valley (km 240–244),railway,SSP1-2.6,2054,Baseline,0.216,0.9,1.117,7.2,8.0
Mondego Valley (km 240–244),railway,SSP1-2.6,2054,+Geoid,0.366,0.32,3.16,8.7,27.4
Mondego Valley (km 240–244),railway,SSP1-2.6,2055,Baseline,0.22,0.87,1.149,7.2,8.3
Mondego Valley (km 240–244),railway,SSP1-2.6,2055,+Geoid,0.37,0.31,3.249,8.7,28.3
Mondego Valley (km 240–244),railway,SSP1-2.6,2056,Baseline,0.224,0.85,1.181,7.2,8.6
Mondego Valley (km 240–244),railway,SSP1-2.6,2056,+Geoid,0.374,0.3,3.34,8.7,29.2
Mondego Valley (km 240–244),railway,SSP1-2.6,2057,Baseline,0.228,0.82,1.214,7.3,8.8
Mondego Valley (km 240–244),railway,SSP1-2.6,2057,+Geoid,0.378,0.29,3.434,8.8,30.2
Mondego Valley (km 240–244),railway,SSP1-2.6,2058,Baseline,0.232,0.8,1.248,7.3,9.1
Mondego Valley (km 240–244),railway,SSP1-2.6,2058,+Geoid,0.382,0.28,3.531,8.8,31.1
Mondego Valley (km 240–244),railway,SSP1-2.6,2059,Baseline,0.236,0.78,1.283,7.4,9.4
Mondego Valley (km 240–244),railway,SSP1-2.6,2059,+Geoid,0.386,0.28,3.63,8.9,32.2
Mondego Valley (km 240–244),railway,SSP1-2.6,2060,Baseline,0.24,0.76,1.32,7.4,9.8
Mondego Valley (km 240–244),railway,SSP1-2.6,2060,+Geoid,0.39,0.27,3.732,8.9,33.2
Mondego Valley (km 240–244),railway,SSP1-2.6,2061,Baseline,0.244,0.74,1.357,7.4,10.1
Mondego Valley (km 240–244),railway,SSP1-2.6,2061,+Geoid,0.394,0.26,3.837,8.9,34.3
Mondego Valley (km 240–244),railway,SSP1-2.6,2062,Baseline,0.248,0.72,1.395,7.5,10.4
Mondego Valley (km 240–244),railway,SSP1-2.6,2062,+Geoid,0.398,0.25,3.945,9.0,35.4
Mondego Valley (km 240–244),railway,SSP1-2.6,2063,Baseline,0.252,0.7,1.434,7.5,10.8
Mondego Valley (km 240–244),railway,SSP1-2.6,2063,+Geoid,0.402,0.25,4.056,9.0,36.6
Mondego Valley (km 240–244),railway,SSP1-2.6,2064,Baseline,0.256,0.68,1.474,7.6,11.1
Mondego Valley (km 240–244),railway,SSP1-2.6,2064,+Geoid,0.406,0.24,4.17,9.1,37.8
Mondego Valley (km 240–244),railway,SSP1-2.6,2065,Baseline,0.26,0.66,1.516,7.6,11.5
Mondego Valley (km 240–244),railway,SSP1-2.6,2065,+Geoid,0.41,0.23,4.287,9.1,39.0
Mondego Valley (km 240–244),railway,SSP1-2.6,2066,Baseline,0.264,0.64,1.558,7.6,11.9
Mondego Valley (km 240–244),railway,SSP1-2.6,2066,+Geoid,0.414,0.23,4.408,9.1,40.3
Mondego Valley (km 240–244),railway,SSP1-2.6,2067,Baseline,0.268,0.62,1.602,7.7,12.3
Mondego Valley (km 240–244),railway,SSP1-2.6,2067,+Geoid,0.418,0.22,4.532,9.2,41.6
Mondego Valley (km 240–244),railway,SSP1-2.6,2068,Baseline,0.272,0.61,1.647,7.7,12.7
Mondego Valley (km 240–244),railway,SSP1-2.6,2068,+Geoid,0.422,0.21,4.659,9.2,43.0
Mondego Valley (km 240–244),railway,SSP1-2.6,2069,Baseline,0.276,0.59,1.693,7.8,13.1
Mondego Valley (km 240–244),railway,SSP1-2.6,2069,+Geoid,0.426,0.21,4.79,9.3,44.4
Mondego Valley (km 240–244),railway,SSP1-2.6,2070,Baseline,0.28,0.57,1.741,7.8,13.6
Mondego Valley (km 240–244),railway,SSP1-2.6,2070,+Geoid,0.43,0.2,4.925,9.3,45.8
Mondego Valley (km 240–244),railway,SSP1-2.6,2071,Baseline,0.284,0.56,1.79,7.8,14.0
Mondego Valley (km 240–244),railway,SSP1-2.6,2071,+Geoid,0.434,0.2,5.063,9.3,47.3
Mondego Valley (km 240–244),railway,SSP1-2.6,2072,Baseline,0.288,0.54,1.84,7.9,14.5
