point_index,lat,lon,elevation_m,below_threshold
167,40.813544,-8.588593,18.064,False
168,40.812732,-8.588084,18.125,False
169,40.81192,-8.587574,18.985,False
170,40.811107,-8.587064,19.531,False
171,40.810295,-8.586555,19.127,False
172,40.809483,-8.586045,19.614,False
173,40.80867,-8.585535,19.535,False
174,40.807811,-8.58521,20.09,False
175,40.80693,-8.584966,20.357,False
176,40.80605,-8.584722,18.712,False
177,40.80517,-8.584478,18.842,False
178,40.80429,-8.584234,18.541,False
179,40.80341,-8.58399,17.608,False
180,40.80253,-8.583746,18.471,False
181,40.80165,-8.583502,18.072,False
182,40.800769,-8.583258,17.148,False
183,40.799889,-8.583014,16.079,False
184,40.799009,-8.58277,17.793,False
185,40.798129,-8.582526,17.322,False
186,40.797249,-8.582282,16.704,False
187,40.796369,-8.582038,24.61,False
188,40.795489,-8.581794,29.49,False
189,40.794608,-8.58155,26.925,False
190,40.793728,-8.581306,24.522,False
191,40.792848,-8.581062,25.094,False
192,40.791968,-8.580818,31.712,False
193,40.791088,-8.580574,32.581,False
194,40.790208,-8.58033,30.641,False
195,40.789328,-8.580086,29.251,False
196,40.788447,-8.579842,30.694,False
197,40.787567,-8.579598,30.124,False
198,40.786687,-8.579354,28.431,False
199,40.785807,-8.57911,25.69,False
200,40.784927,-8.578865,24.184,False
201,40.784047,-8.578621,24.277,False
202,40.783167,-8.578377,22.63,False
203,40.782286,-8.578133,22.331,False
204,40.781406,-8.577889,22.535,False
205,40.780603,-8.577436,23.305,False
206,40.779833,-8.576841,24.504,False
207,40.778946,-8.576677,23.038,False
208,40.778049,-8.576614,23.813,False
209,40.777187,-8.576936,23.819,False
210,40.776333,-8.577308,23.138,False
211,40.77548,-8.577681,21.518,False
212,40.774626,-8.578053,20.984,False
213,40.775108,-8.578206,20.41,False
214,40.776005,-8.578289,19.838,False
215,40.776901,-8.57839,20.544,False
216,40.777798,-8.578475,21.538,False
217,40.778695,-8.57856,21.151,False
218,40.779592,-8.578646,21.722,False
219,40.780489,-8.578731,22.296,False
220,40.781386,-8.578816,22.109,False
221,40.782283,-8.578901,22.125,False
222,40.783176,-8.579036,23.149,False
223,40.784072,-8.579058,24.23,False
224,40.784971,-8.579038,24.181,False
225,40.785871,-8.579018,25.843,False
226,40.785792,-8.578963,25.612,False
227,40.784895,-8.57888,24.178,False
228,40.783998,-8.578797,24.132,False
229,40.783101,-8.578713,22.643,False
230,40.782204,-8.578625,22.047,False
231,40.781307,-8.57854,22.197,False
232,40.78041,-8.578456,22.484,False
233,40.779513,-8.578372,21.467,False
234,40.778616,-8.578287,20.84,False
235,40.777719,-8.578202,21.673,False
236,40.776821,-8.57815,20.76,False
237,40.775927,-8.57826,19.957,False
238,40.776331,-8.577834,21.233,False
239,40.777125,-8.577276,23.293,False
240,40.777919,-8.576718,23.589,False
241,40.778812,-8.57678,22.805,False
242,40.779705,-8.576906,24.142,False
243,40.780506,-8.577434,23.345,False
244,40.78127,-8.578059,22.483,False
245,40.781182,-8.578007,22.581,False
246,40.780386,-8.577457,23.395,False
247,40.779561,-8.577011,23.658,False
248,40.778665,-8.576914,22.562,False
249,40.778153,-8.576628,23.735,False
250,40.778749,-8.575739,26.209,False
251,40.779345,-8.574849,27.219,False
252,40.779136,-8.573758,27.208,False
253,40.778507,-8.57293,29.292,False
254,40.777644,-8.572648,27.621,False
255,40.776753,-8.572693,27.91,False
256,40.77586,-8.572836,29.112,False
257,40.774968,-8.57298,27.914,False
258,40.774075,-8.573124,27.884,False
259,40.773182,-8.573267,26.922,False
260,40.77229,-8.573411,24.814,False
261,40.771397,-8.573555,23.014,False
262,40.770504,-8.573699,22.345,False
263,40.769612,-8.573842,22.583,False
264,40.768719,-8.573986,27.406,False
265,40.767826,-8.57413,29.682,False
266,40.766933,-8.574273,29.285,False
267,40.766041,-8.574417,30.848,False
268,40.765148,-8.574561,28.11,False
269,40.764255,-8.574705,21.04,False
270,40.763363,-8.574848,20.521,False
271,40.76247,-8.574992,21.707,False
272,40.761577,-8.575136,22.592,False
273,40.760684,-8.575279,22.195,False
274,40.759792,-8.575423,18.282,False
275,40.758899,-8.575567,14.473,False
276,40.758006,-8.575711,13.332,False
277,40.757114,-8.575854,13.595,False
278,40.756221,-8.575998,11.704,False
279,40.755328,-8.576142,8.844,False
280,40.754435,-8.576286,6.811,False
281,40.753541,-8.576255,6.562,False
282,40.752648,-8.576106,6.531,False
283,40.751766,-8.575875,5.949,False
284,40.7509,-8.575558,4.829,False
285,40.750048,-8.575181,5.783,False
286,40.749214,-8.574739,6.783,False
287,40.748365,-8.574348,5.431,False
288,40.748659,-8.574279,7.016,False
289,40.749553,-8.574407,8.575,False
290,40.750447,-8.574535,9.625,False
291,40.751341,-8.574663,10.484,False
292,40.752235,-8.574792,10.863,False
293,40.753129,-8.57492,10.214,False
294,40.754023,-8.575048,9.595,False
295,40.754917,-8.575176,9.814,False
296,40.755811,-8.575305,11.541,False
297,40.756705,-8.575433,14.222,False
298,40.757599,-8.575561,13.915,False
299,40.758493,-8.575689,13.515,False
300,40.759387,-8.575818,14.91,False
301,40.760282,-8.575946,16.515,False
302,40.761176,-8.576074,16.526,False
303,40.76207,-8.576202,16.884,False
304,40.762964,-8.576331,17.937,False
305,40.763858,-8.576459,18.235,False
306,40.764752,-8.576587,20.19,False
307,40.765646,-8.576716,21.653,False
308,40.76654,-8.576844,26.341,False
309,40.767434,-8.576972,26.335,False
310,40.768328,-8.5771,24.589,False
311,40.769222,-8.577229,21.154,False
312,40.770116,-8.577357,18.528,False
313,40.77101,-8.577485,19.675,False
314,40.771904,-8.577613,20.832,False
315,40.772798,-8.577742,22.291,False
316,40.773692,-8.57787,22.281,False
317,40.774586,-8.577998,21.108,False
318,40.775481,-8.578126,20.445,False
319,40.776369,-8.578155,20.02,False
320,40.777235,-8.577837,22.16,False
321,40.778131,-8.577754,21.261,False
322,40.77903,-8.57772,21.267,False
323,40.779928,-8.577787,22.907,False
324,40.780818,-8.577943,22.871,False
325,40.781677,-8.578294,22.132,False
326,40.782548,-8.578584,22.152,False
327,40.782839,-8.578579,22.304,False
328,40.781992,-8.578181,22.182,False
329,40.781144,-8.577783,22.76,False
330,40.780356,-8.577247,23.849,False
331,40.779532,-8.576796,23.887,False
332,40.778636,-8.576704,23.031,False
333,40.77774,-8.576606,23.852,False
334,40.776844,-8.576506,25.122,False
335,40.775947,-8.576418,24.843,False
336,40.775049,-8.576348,23.678,False
337,40.774153,-8.576397,22.657,False
338,40.773256,-8.576324,23.73,False
339,40.772359,-8.576229,23.411,False
340,40.771463,-8.576134,22.984,False
