year,scenario,slr_m,buildings_count,buildings_eur,roads_km,roads_eur,railways_km,railways_eur,utilities_road_km,utility_water_eur,utility_sewage_eur,utility_elec_eur,utilities_total_eur,total_replacement_eur,total_bn_eur
2065,ssp585,0.58,48271.0,38016771643.0,179.76,140026054.0,13.91,69547363.0,169.93,42481355.0,59473897.0,33985084.0,135940335.0,38362285395.0,38.3623
2066,ssp585,0.592,49776.0,39274628323.0,180.36,140168442.0,13.91,69547363.0,170.53,42631555.0,59684178.0,34105244.0,136420978.0,39620765106.0,39.6208
2067,ssp585,0.604,51266.0,40512162776.0,201.92,296062556.0,13.91,69547363.0,172.63,43158644.0,60422102.0,34526915.0,138107661.0,41015880356.0,41.0159
2068,ssp585,0.616,52781.0,41769486890.0,203.69,297593802.0,22.57,112864847.0,174.41,43601710.0,61042394.0,34881368.0,139525473.0,42319471011.0,42.3195
2069,ssp585,0.628,54303.0,43044328972.0,217.43,300918733.0,22.57,112864847.0,188.15,47036542.0,65851159.0,37629234.0,150516935.0,43608629487.0,43.6086
2070,ssp585,0.64,55804.0,44291079104.0,229.54,302574327.0,22.7,113510110.0,200.26,50063935.0,70089509.0,40051148.0,160204591.0,44867368132.0,44.8674
2071,ssp585,0.652,57353.0,45581699290.0,230.66,302703136.0,22.7,113510110.0,201.38,50343954.0,70481536.0,40275164.0,161100654.0,46159013190.0,46.159
2072,ssp585,0.664,58930.0,46899966515.0,233.17,302991123.0,22.7,113510110.0,203.88,50970014.0,71358020.0,40776011.0,163104045.0,47479571794.0,47.4796
2073,ssp585,0.676,60497.0,48211947544.0,233.9,303150781.0,22.7,113510110.0,204.61,51153493.0,71614890.0,40922794.0,163691178.0,48792299612.0,48.7923
2074,ssp585,0.688,62081.0,49551882776.0,239.22,304071310.0,22.7,113510110.0,209.94,52484700.0,73478580.0,41987760.0,167951040.0,50137415237.0,50.1374
2075,ssp585,0.7,63688.0,50897916370.0,242.43,304982291.0,22.7,113510110.0,213.15,53287154.0,74602015.0,42629723.0,170518892.0,51486927664.0,51.4869
2076,ssp585,0.712,65258.0,52217214844.0,244.17,305274123.0,22.7,113510110.0,214.88,53720367.0,75208514.0,42976294.0,171905176.0,52807904254.0,52.8079
2077,ssp585,0.724,66871.0,53581723995.0,248.53,305860762.0,25.93,129647643.0,219.24,54810170.0,76734238.0,43848136.0,175392543.0,54192624944.0,54.1926
2078,ssp585,0.736,68427.0,54894963883.0,253.28,306847893.0,25.93,129647643.0,223.99,55998374.0,78397724.0,44798700.0,179194798.0,55510654217.0,55.5107
2079,ssp585,0.748,70002.0,56215358426.0,257.31,307377759.0,25.93,129647643.0,228.02,57004925.0,79806895.0,45603940.0,182415761.0,56834799589.0,56.8348
2080,ssp585,0.76,71646.0,57608937003.0,260.23,308026077.0,25.93,129647643.0,230.94,57734745.0,80828643.0,46187796.0,184751183.0,58231361907.0,58.2314
2081,ssp585,0.772,73281.0,59000813282.0,264.46,308880294.0,25.93,129647643.0,235.17,58792935.0,82310109.0,47034348.0,188137391.0,59627478610.0,59.6275
2082,ssp585,0.784,74900.0,60374252309.0,265.36,308983469.0,26.25,131249593.0,236.07,59017228.0,82624120.0,47213783.0,188855131.0,61003340502.0,61.0033
2083,ssp585,0.796,76479.0,61709611744.0,269.63,309794555.0,26.25,131249593.0,240.34,60085212.0,84119296.0,48068169.0,192272678.0,62342928569.0,62.3429
2084,ssp585,0.808,78095.0,63081745505.0,270.81,311478476.0,26.25,131249593.0,241.53,60381995.0,84534792.0,48305596.0,193222383.0,63717695957.0,63.7177
2085,ssp585,0.82,79746.0,64495270639.0,275.75,312289507.0,26.25,131249593.0,246.47,61616571.0,86263200.0,49293257.0,197173028.0,65135982768.0,65.136
2086,ssp585,0.832,81354.0,65865833219.0,277.19,312479728.0,26.34,131694826.0,247.91,61976620.0,86767268.0,49581296.0,198325184.0,66508332958.0,66.5083
2087,ssp585,0.844,83034.0,67307626352.0,279.0,312710443.0,26.34,131694826.0,249.71,62427479.0,87398471.0,49941983.0,199767933.0,67951799554.0,67.9518
2088,ssp585,0.856,84746.0,68780750291.0,283.26,316088156.0,27.79,138937083.0,253.98,63493969.0,88891557.0,50795175.0,203180701.0,69438956231.0,69.439
2089,ssp585,0.868,86379.0,70184312828.0,289.61,317031097.0,27.79,138937083.0,260.32,65080275.0,91112384.0,52064220.0,208256879.0,70848537886.0,70.8485
2090,ssp585,0.88,88120.0,71692708417.0,292.1,317722296.0,27.79,138937083.0,262.81,65703363.0,91984708.0,52562691.0,210250762.0,72359618558.0,72.3596
2091,ssp585,0.892,89748.0,73095196244.0,293.34,318730289.0,27.79,138937083.0,264.06,66013968.0,92419555.0,52811174.0,211244696.0,73764108313.0,73.7641
2092,ssp585,0.904,91452.0,74561894768.0,301.62,331664847.0,29.28,146400869.0,272.33,68082768.0,95315876.0,54466215.0,217864859.0,75257825343.0,75.2578
2093,ssp585,0.916,93115.0,76004829641.0,303.22,331849138.0,32.69,163437812.0,273.93,68483400.0,95876761.0,54786720.0,219146881.0,76719263471.0,76.7193
2094,ssp585,0.928,94791.0,77450489219.0,308.82,333997867.0,32.77,163836340.0,279.53,69883226.0,97836517.0,55906581.0,223626323.0,78171949749.0,78.1719
2095,ssp585,0.94,96479.0,78909142531.0,309.55,334701218.0,32.93,164649925.0,280.27,70066930.0,98093702.0,56053544.0,224214176.0,79632707849.0,79.6327
2096,ssp585,0.952,98185.0,80389653893.0,312.58,335207296.0,32.93,164649925.0,283.29,70823131.0,99152383.0,56658504.0,226634018.0,81116145133.0,81.1161
2097,ssp585,0.964,99861.0,81846761805.0,319.23,342299544.0,34.23,171157043.0,289.94,72485568.0,101479795.0,57988454.0,231953816.0,82592172209.0,82.5922
2098,ssp585,0.976,101585.0,83347175530.0,327.34,351525662.0,34.23,171157043.0,298.05,74513094.0,104318331.0,59610475.0,238441900.0,84108300135.0,84.1083
2099,ssp585,0.988,103262.0,84801594092.0,331.24,353701349.0,34.99,174956176.0,301.95,75487518.0,105682526.0,60390015.0,241560059.0,85571811676.0,85.5718
2100,ssp585,1.0,105809.0,86853798759.0,343.76,372395436.0,41.2,205987459.0,312.72,78179282.0,109450994.0,62543425.0,250173701.0,87682355354.0,87.6824
