scenario,variant,option,year,slr_m,closure_days_yr,annual_cost_low_M,annual_cost_mid_M,annual_cost_hi_M,cum_cost_low_bn,cum_cost_mid_bn,cum_cost_hi_bn
SSP1-2.6,baseline,1a,2025,0.035,0.5455,0.0984,0.1711,0.3006,0.0001,0.0002,0.0003
SSP1-2.6,baseline,1a,2026,0.042,0.5801,0.1047,0.182,0.3196,0.0002,0.0004,0.0006
SSP1-2.6,baseline,1a,2027,0.049,0.6168,0.1113,0.1935,0.3399,0.0003,0.0005,0.001
SSP1-2.6,baseline,1a,2028,0.056,0.6558,0.1183,0.2057,0.3613,0.0004,0.0008,0.0013
SSP1-2.6,baseline,1a,2029,0.063,0.697,0.1258,0.2187,0.3841,0.0006,0.001,0.0017
SSP1-2.6,baseline,1a,2030,0.07,0.7408,0.1337,0.2324,0.4082,0.0007,0.0012,0.0021
SSP1-2.6,baseline,1a,2031,0.076,0.7804,0.1408,0.2448,0.43,0.0008,0.0014,0.0025
SSP1-2.6,baseline,1a,2032,0.082,0.822,0.1483,0.2578,0.4529,0.001,0.0017,0.003
SSP1-2.6,baseline,1a,2033,0.088,0.8657,0.1562,0.2716,0.477,0.0011,0.002,0.0035
SSP1-2.6,baseline,1a,2034,0.094,0.9117,0.1645,0.286,0.5023,0.0013,0.0023,0.004
SSP1-2.6,baseline,1a,2035,0.1,0.96,0.1732,0.3011,0.5289,0.0015,0.0026,0.0045
SSP1-2.6,baseline,1a,2036,0.106,1.0108,0.1824,0.3171,0.5569,0.0017,0.0029,0.0051
SSP1-2.6,baseline,1a,2037,0.112,1.0641,0.192,0.3338,0.5863,0.0018,0.0032,0.0056
SSP1-2.6,baseline,1a,2038,0.118,1.1202,0.2021,0.3514,0.6172,0.0021,0.0036,0.0063
SSP1-2.6,baseline,1a,2039,0.124,1.1791,0.2128,0.3699,0.6497,0.0023,0.0039,0.0069
SSP1-2.6,baseline,1a,2040,0.13,1.241,0.2239,0.3893,0.6838,0.0025,0.0043,0.0076
SSP1-2.6,baseline,1a,2041,0.137,1.3172,0.2377,0.4132,0.7257,0.0027,0.0047,0.0083
SSP1-2.6,baseline,1a,2042,0.144,1.3978,0.2522,0.4385,0.7702,0.003,0.0052,0.0091
SSP1-2.6,baseline,1a,2043,0.151,1.4833,0.2676,0.4653,0.8173,0.0032,0.0056,0.0099
SSP1-2.6,baseline,1a,2044,0.158,1.5738,0.284,0.4937,0.8671,0.0035,0.0061,0.0108
SSP1-2.6,baseline,1a,2045,0.165,1.6696,0.3013,0.5237,0.9199,0.0038,0.0067,0.0117
SSP1-2.6,baseline,1a,2046,0.172,1.7711,0.3196,0.5556,0.9758,0.0042,0.0072,0.0127
SSP1-2.6,baseline,1a,2047,0.179,1.8785,0.339,0.5893,1.035,0.0045,0.0078,0.0137
SSP1-2.6,baseline,1a,2048,0.186,1.9922,0.3595,0.6249,1.0977,0.0048,0.0084,0.0148
SSP1-2.6,baseline,1a,2049,0.193,2.1126,0.3812,0.6627,1.164,0.0052,0.0091,0.016
SSP1-2.6,baseline,1a,2050,0.2,2.24,0.4042,0.7027,1.2342,0.0056,0.0098,0.0172
SSP1-2.6,baseline,1a,2051,0.204,2.3161,0.4179,0.7266,1.2762,0.0061,0.0105,0.0185
SSP1-2.6,baseline,1a,2052,0.208,2.3948,0.4321,0.7512,1.3195,0.0065,0.0113,0.0198
SSP1-2.6,baseline,1a,2053,0.212,2.476,0.4468,0.7767,1.3643,0.0069,0.0121,0.0212
SSP1-2.6,baseline,1a,2054,0.216,2.5599,0.4619,0.803,1.4105,0.0074,0.0129,0.0226
SSP1-2.6,baseline,1a,2055,0.22,2.6466,0.4776,0.8302,1.4582,0.0079,0.0137,0.024
SSP1-2.6,baseline,1a,2056,0.224,2.7361,0.4937,0.8583,1.5076,0.0084,0.0145,0.0255
