port,scenario,variant,year,slr_m,return_period_yr,closure_days_yr,annual_cost_low_eur,annual_cost_mid_eur,annual_cost_high_eur,cumulative_cost_mid_eur
Leixões,SSP5-8.5,Baseline,2028,0.104,9.7265,0.248,372588.0,745177.0,1241962.0,2538935.0
Leixões,SSP5-8.5,Baseline,2029,0.117,8.8884,0.278,416497.0,832993.0,1388322.0,3371929.0
Leixões,SSP5-8.5,Baseline,2030,0.13,8.1225,0.31,465373.0,930745.0,1551242.0,4302674.0
Leixões,SSP5-8.5,Baseline,2031,0.1435,7.3969,0.348,521973.0,1043946.0,1739909.0,5346619.0
Leixões,SSP5-8.5,Baseline,2032,0.157,6.7362,0.39,585199.0,1170398.0,1950664.0,6517018.0
Leixões,SSP5-8.5,Baseline,2033,0.1705,6.1344,0.437,655807.0,1311614.0,2186024.0,7828632.0
Leixões,SSP5-8.5,Baseline,2034,0.184,5.5864,0.49,734637.0,1469273.0,2448789.0,9297905.0
Leixões,SSP5-8.5,Baseline,2035,0.1975,5.0874,0.548,822621.0,1645242.0,2742069.0,10943147.0
Leixões,SSP5-8.5,Baseline,2036,0.211,4.6329,0.614,920798.0,1841595.0,3069325.0,12784742.0
Leixões,SSP5-8.5,Baseline,2037,0.2245,4.2191,0.687,1030320.0,2060639.0,3434399.0,14845381.0
Leixões,SSP5-8.5,Baseline,2038,0.238,3.8422,0.768,1152468.0,2304937.0,3841561.0,17150318.0
Leixões,SSP5-8.5,Baseline,2039,0.2515,3.499,0.859,1288667.0,2577334.0,4295556.0,19727652.0
Leixões,SSP5-8.5,Baseline,2040,0.265,3.1864,0.96,1440496.0,2880993.0,4801655.0,22608645.0
Leixões,SSP5-8.5,Baseline,2041,0.2785,2.9018,1.073,1609713.0,3219426.0,5365709.0,25828070.0
Leixões,SSP5-8.5,Baseline,2042,0.292,2.6425,1.199,1798266.0,3596533.0,5994221.0,29424603.0
Leixões,SSP5-8.5,Baseline,2043,0.3055,2.4065,1.339,2008322.0,4016645.0,6694408.0,33441248.0
Leixões,SSP5-8.5,Baseline,2044,0.319,2.1915,1.495,2242285.0,4484570.0,7474284.0,37925818.0
Leixões,SSP5-8.5,Baseline,2045,0.3325,1.9957,1.669,2502824.0,5005647.0,8342745.0,42931465.0
Leixões,SSP5-8.5,Baseline,2046,0.346,1.8175,1.862,2792900.0,5585800.0,9309667.0,48517266.0
Leixões,SSP5-8.5,Baseline,2047,0.3595,1.6551,2.077,3115803.0,6231606.0,10386009.0,54748871.0
Leixões,SSP5-8.5,Baseline,2048,0.373,1.5073,2.317,3475181.0,6950361.0,11583935.0,61699233.0
Leixões,SSP5-8.5,Baseline,2049,0.3865,1.3726,2.583,3875082.0,7750165.0,12916941.0,69449397.0
Leixões,SSP5-8.5,Baseline,2050,0.4,1.25,2.88,4320000.0,8640000.0,14400000.0,78089397.0
Leixões,SSP5-8.5,Baseline,2051,0.412,1.1502,3.172,4757291.0,9514581.0,15857635.0,87603978.0
Leixões,SSP5-8.5,Baseline,2052,0.424,1.0584,3.492,5237939.0,10475877.0,17459796.0,98079856.0
Leixões,SSP5-8.5,Baseline,2053,0.436,0.974,3.844,5766176.0,11532352.0,19220586.0,109612207.0
Leixões,SSP5-8.5,Baseline,2054,0.448,0.8962,4.231,6346642.0,12693283.0,21155472.0,122305490.0
Leixões,SSP5-8.5,Baseline,2055,0.46,0.8247,4.656,6984422.0,13968844.0,23281406.0,136274334.0
Leixões,SSP5-8.5,Baseline,2056,0.472,0.7589,5.123,7685093.0,15370185.0,25616975.0,151644519.0
Leixões,SSP5-8.5,Baseline,2057,0.484,0.6983,5.637,8454765.0,16909530.0,28182549.0,168554049.0
Leixões,SSP5-8.5,Baseline,2058,0.496,0.6426,6.2,9300138.0,18600275.0,31000458.0,187154324.0
Leixões,SSP5-8.5,Baseline,2059,0.508,0.5913,6.819,10228552.0,20457104.0,34095174.0,207611428.0
Leixões,SSP5-8.5,Baseline,2060,0.52,0.5441,7.499,11248054.0,22496109.0,37493514.0,230107537.0
Leixões,SSP5-8.5,Baseline,2061,0.532,0.5007,8.245,12367460.0,24734921.0,41224868.0,254842458.0
Leixões,SSP5-8.5,Baseline,2062,0.544,0.4607,9.064,13596431.0,27192862.0,45321437.0,282035320.0
Leixões,SSP5-8.5,Baseline,2063,0.556,0.4239,9.964,14945552.0,29891103.0,49818505.0,311926424.0
Leixões,SSP5-8.5,Baseline,2064,0.568,0.3901,10.951,16426418.0,32852837.0,54754728.0,344779260.0
Leixões,SSP5-8.5,Baseline,2065,0.58,0.359,12.034,18051736.0,36103473.0,60172455.0,380882733.0
Leixões,SSP5-8.5,Baseline,2066,0.592,0.3303,13.224,19835423.0,39670846.0,66118077.0,420553580.0
Leixões,SSP5-8.5,Baseline,2067,0.604,0.304,14.528,21792723.0,43585446.0,72642411.0,464139026.0
Leixões,SSP5-8.5,Baseline,2068,0.616,0.2797,15.96,23940335.0,47880670.0,79801117.0,512019696.0
Leixões,SSP5-8.5,Baseline,2069,0.628,0.2574,17.531,26296547.0,52593094.0,87655157.0,564612790.0
Leixões,SSP5-8.5,Baseline,2070,0.64,0.2368,19.254,28881389.0,57762778.0,96271297.0,622375568.0
Leixões,SSP5-8.5,Baseline,2071,0.652,0.2179,21.145,31716796.0,63433592.0,105722653.0,685809160.0
Leixões,SSP5-8.5,Baseline,2072,0.664,0.2005,23.218,34826787.0,69653573.0,116089289.0,755462733.0
Leixões,SSP5-8.5,Baseline,2073,0.676,0.1845,25.492,38237664.0,76475327.0,127458878.0,831938060.0
Leixões,SSP5-8.5,Baseline,2074,0.688,0.1698,27.985,41978224.0,83956449.0,139927415.0,915894509.0
Leixões,SSP5-8.5,Baseline,2075,0.7,0.1563,30.72,46080000.0,92160000.0,153600000.0,1008054509.0
Leixões,SSP5-8.5,Baseline,2076,0.712,0.1438,33.718,50577510.0,101155020.0,168591700.0,1109209529.0
Leixões,SSP5-8.5,Baseline,2077,0.724,0.1323,37.006,55508545.0,111017089.0,185028482.0,1220226618.0
Leixões,SSP5-8.5,Baseline,2078,0.736,0.1217,40.61,60914473.0,121828947.0,203048244.0,1342055565.0
Leixões,SSP5-8.5,Baseline,2079,0.748,0.112,44.56,66840580.0,133681159.0,222801932.0,1475736724.0
Leixões,SSP5-8.5,Baseline,2080,0.76,0.1031,48.891,73336430.0,146672861.0,244454768.0,1622409585.0
Leixões,SSP5-8.5,Baseline,2081,0.772,0.0949,53.638,80456277.0,160912554.0,268187590.0,1783322139.0
Leixões,SSP5-8.5,Baseline,2082,0.784,0.0873,58.84,88259496.0,176518993.0,294198321.0,1959841132.0
Leixões,SSP5-8.5,Baseline,2083,0.796,0.0803,64.541,96811070.0,193622141.0,322703568.0,2153463272.0
Leixões,SSP5-8.5,Baseline,2084,0.808,0.0739,70.788,106182113.0,212364226.0,353940377.0,2365827499.0
Leixões,SSP5-8.5,Baseline,2085,0.82,0.068,77.634,116450444.0,232900889.0,388168148.0,2598728387.0
Leixões,SSP5-8.5,Baseline,2086,0.832,0.0626,85.134,127701219.0,255402438.0,425670731.0,2854130826.0
Leixões,SSP5-8.5,Baseline,2087,0.844,0.0576,93.352,140027613.0,280055227.0,466758711.0,3134186053.0
Leixões,SSP5-8.5,Baseline,2088,0.856,0.053,102.354,153531576.0,307063151.0,511771919.0,3441249204.0
Leixões,SSP5-8.5,Baseline,2089,0.868,0.0488,112.216,168324648.0,336649296.0,561082159.0,3777898500.0
Leixões,SSP5-8.5,Baseline,2090,0.88,0.0449,123.019,184528862.0,369057724.0,615096206.0,4146956223.0
Leixões,SSP5-8.5,Baseline,2091,0.892,0.0413,134.852,202277721.0,404555441.0,674259069.0,4551511665.0
Leixões,SSP5-8.5,Baseline,2092,0.904,0.038,147.812,221717270.0,443434541.0,739057568.0,4994946205.0
Leixões,SSP5-8.5,Baseline,2093,0.916,0.035,162.005,243007271.0,486014542.0,810024237.0,5480960747.0
Leixões,SSP5-8.5,Baseline,2094,0.928,0.0322,177.548,266322477.0,532644955.0,887741591.0,6013605702.0
Leixões,SSP5-8.5,Baseline,2095,0.94,0.0296,194.569,291854038.0,583708075.0,972846792.0,6597313778.0
Leixões,SSP5-8.5,Baseline,2096,0.952,0.0272,213.207,319811024.0,639622048.0,1066036746.0,7236935825.0
Leixões,SSP5-8.5,Baseline,2097,0.964,0.0251,233.615,350422101.0,700844203.0,1168073671.0,7937780028.0
Leixões,SSP5-8.5,Baseline,2098,0.976,0.0231,255.958,383937356.0,767874712.0,1279791187.0,8705654740.0
Leixões,SSP5-8.5,Baseline,2099,0.988,0.0212,280.42,420630290.0,841260579.0,1402100966.0,9546915320.0
Leixões,SSP5-8.5,Baseline,2100,1.0,0.0195,307.2,460800000.0,921600000.0,1536000000.0,10468515320.0
Leixões,SSP5-8.5,+Geoid,2025,0.14,7.5786,0.338,506691.0,1013382.0,1688970.0,1013382.0
Leixões,SSP5-8.5,+Geoid,2026,0.168,6.2417,0.428,642138.0,1284275.0,2140459.0,2297657.0
Leixões,SSP5-8.5,+Geoid,2027,0.196,5.1406,0.542,812361.0,1624723.0,2707871.0,3922380.0
Leixões,SSP5-8.5,+Geoid,2028,0.224,4.2337,0.684,1026046.0,2052093.0,3420155.0,5974473.0
Leixões,SSP5-8.5,+Geoid,2029,0.252,3.4869,0.863,1294001.0,2588002.0,4313337.0,8562475.0
Leixões,SSP5-8.5,+Geoid,2030,0.28,2.8717,1.086,1629671.0,3259341.0,5432236.0,11821817.0
Leixões,SSP5-8.5,+Geoid,2031,0.2935,2.6152,1.214,1820502.0,3641005.0,6068341.0,15462821.0
Leixões,SSP5-8.5,+Geoid,2032,0.307,2.3816,1.355,2033091.0,4066183.0,6776971.0,19529004.0
Leixões,SSP5-8.5,+Geoid,2033,0.3205,2.1688,1.513,2269870.0,4539740.0,7566233.0,24068744.0
Leixões,SSP5-8.5,+Geoid,2034,0.334,1.9751,1.689,2533538.0,5067077.0,8445128.0,29135820.0
Leixões,SSP5-8.5,+Geoid,2035,0.3475,1.7987,1.885,2827094.0,5654187.0,9423646.0,34790008.0
Leixões,SSP5-8.5,+Geoid,2036,0.361,1.638,2.103,3153862.0,6307724.0,10512873.0,41097732.0
Leixões,SSP5-8.5,+Geoid,2037,0.3745,1.4917,2.345,3517535.0,7035070.0,11725116.0,48132801.0
Leixões,SSP5-8.5,+Geoid,2038,0.388,1.3584,2.615,3922208.0,7844416.0,13074026.0,55977217.0
Leixões,SSP5-8.5,+Geoid,2039,0.4015,1.2371,2.915,4372425.0,8744851.0,14574752.0,64722068.0
Leixões,SSP5-8.5,+Geoid,2040,0.415,1.1266,3.249,4873229.0,9746458.0,16244097.0,74468526.0
Leixões,SSP5-8.5,+Geoid,2041,0.4285,1.0259,3.62,5430211.0,10860422.0,18100703.0,85328948.0
Leixões,SSP5-8.5,+Geoid,2042,0.442,0.9343,4.033,6049573.0,12099146.0,20165244.0,97428095.0
Leixões,SSP5-8.5,+Geoid,2043,0.4555,0.8508,4.492,6738195.0,13476390.0,22460650.0,110904485.0
Leixões,SSP5-8.5,+Geoid,2044,0.469,0.7748,5.002,7503704.0,15007409.0,25012348.0,125911893.0
Leixões,SSP5-8.5,+Geoid,2045,0.4825,0.7056,5.57,8354559.0,16709118.0,27848531.0,142621012.0
Leixões,SSP5-8.5,+Geoid,2046,0.496,0.6426,6.2,9300138.0,18600275.0,31000458.0,161221287.0
Leixões,SSP5-8.5,+Geoid,2047,0.5095,0.5852,6.901,10350835.0,20701671.0,34502785.0,181922958.0
Leixões,SSP5-8.5,+Geoid,2048,0.523,0.5329,7.679,11518177.0,23036355.0,38393925.0,204959313.0
Leixões,SSP5-8.5,+Geoid,2049,0.5365,0.4853,8.543,12814937.0,25629875.0,42716458.0,230589187.0
Leixões,SSP5-8.5,+Geoid,2050,0.55,0.4419,9.504,14255273.0,28510545.0,47517576.0,259099733.0
Leixões,SSP5-8.5,+Geoid,2051,0.562,0.4067,10.446,15668750.0,31337500.0,52229166.0,290437233.0
Leixões,SSP5-8.5,+Geoid,2052,0.574,0.3742,11.48,17220181.0,34440362.0,57400603.0,324877594.0
Leixões,SSP5-8.5,+Geoid,2053,0.586,0.3443,12.615,18922863.0,37845727.0,63076211.0,362723321.0
Leixões,SSP5-8.5,+Geoid,2054,0.598,0.3169,13.861,20791363.0,41582727.0,69304545.0,404306048.0
Leixões,SSP5-8.5,+Geoid,2055,0.61,0.2916,15.228,22841636.0,45683272.0,76138787.0,449989320.0
Leixões,SSP5-8.5,+Geoid,2056,0.622,0.2683,16.727,25091157.0,50182314.0,83637189.0,500171634.0
Leixões,SSP5-8.5,+Geoid,2057,0.634,0.2469,18.373,27559065.0,55118130.0,91863551.0,555289764.0
Leixões,SSP5-8.5,+Geoid,2058,0.646,0.2272,20.178,30266322.0,60532643.0,100887739.0,615822408.0
Leixões,SSP5-8.5,+Geoid,2059,0.658,0.2091,22.157,33235880.0,66471761.0,110786268.0,682294168.0
Leixões,SSP5-8.5,+Geoid,2060,0.67,0.1924,24.329,36492876.0,72985751.0,121642919.0,755279919.0
Leixões,SSP5-8.5,+Geoid,2061,0.682,0.177,26.71,40064830.0,80129660.0,133549433.0,835409579.0
Leixões,SSP5-8.5,+Geoid,2062,0.694,0.1629,29.321,43981876.0,87963752.0,146606254.0,923373331.0
Leixões,SSP5-8.5,+Geoid,2063,0.706,0.1499,32.185,48277006.0,96554013.0,160923355.0,1019927344.0
Leixões,SSP5-8.5,+Geoid,2064,0.718,0.1379,35.324,52986339.0,105972678.0,176621129.0,1125900022.0
Leixões,SSP5-8.5,+Geoid,2065,0.73,0.1269,38.766,58149413.0,116298826.0,193831376.0,1242198847.0
Leixões,SSP5-8.5,+Geoid,2066,0.742,0.1168,42.54,63809511.0,127619023.0,212698371.0,1369817870.0
Leixões,SSP5-8.5,+Geoid,2067,0.754,0.1075,46.676,70014011.0,140028022.0,233380037.0,1509845892.0
Leixões,SSP5-8.5,+Geoid,2068,0.766,0.0989,51.21,76814769.0,153629537.0,256049229.0,1663475429.0
Leixões,SSP5-8.5,+Geoid,2069,0.778,0.091,56.179,84268541.0,168537082.0,280895137.0,1832012511.0
Leixões,SSP5-8.5,+Geoid,2070,0.79,0.0837,61.625,92437445.0,184874889.0,308124815.0,2016887400.0
Leixões,SSP5-8.5,+Geoid,2071,0.802,0.077,67.593,101389459.0,202778917.0,337964862.0,2219666318.0
Leixões,SSP5-8.5,+Geoid,2072,0.814,0.0709,74.133,111198975.0,222397950.0,370663250.0,2442064268.0
Leixões,SSP5-8.5,+Geoid,2073,0.826,0.0652,81.298,121947399.0,243894799.0,406491331.0,2685959067.0
Leixões,SSP5-8.5,+Geoid,2074,0.838,0.06,89.149,133723807.0,267447614.0,445746023.0,2953406681.0
Leixões,SSP5-8.5,+Geoid,2075,0.85,0.0552,97.75,146625662.0,293251324.0,488752207.0,3246658005.0
Leixões,SSP5-8.5,+Geoid,2076,0.862,0.0508,107.173,160759603.0,321519206.0,535865343.0,3568177211.0
Leixões,SSP5-8.5,+Geoid,2077,0.874,0.0468,117.495,176242299.0,352484598.0,587474330.0,3920661809.0
Leixões,SSP5-8.5,+Geoid,2078,0.886,0.043,128.801,193201390.0,386402780.0,644004633.0,4307064589.0
Leixões,SSP5-8.5,+Geoid,2079,0.898,0.0396,141.184,211776510.0,423553020.0,705921700.0,4730617609.0
Leixões,SSP5-8.5,+Geoid,2080,0.91,0.0364,154.747,232120409.0,464240819.0,773734698.0,5194858428.0
Leixões,SSP5-8.5,+Geoid,2081,0.922,0.0335,169.6,254400178.0,508800356.0,848000594.0,5703658784.0
Leixões,SSP5-8.5,+Geoid,2082,0.934,0.0309,185.866,278798585.0,557597170.0,929328617.0,6261255955.0
Leixões,SSP5-8.5,+Geoid,2083,0.946,0.0284,203.677,305515541.0,611031082.0,1018385136.0,6872287036.0
Leixões,SSP5-8.5,+Geoid,2084,0.958,0.0261,223.18,334769695.0,669539391.0,1115898985.0,7541826427.0
Leixões,SSP5-8.5,+Geoid,2085,0.97,0.024,244.533,366800186.0,733600372.0,1222667287.0,8275426800.0
Leixões,SSP5-8.5,+Geoid,2086,0.982,0.0221,267.912,401868546.0,803737092.0,1339561821.0,9079163892.0
Leixões,SSP5-8.5,+Geoid,2087,0.994,0.0204,293.507,440260791.0,880521581.0,1467535969.0,9959685473.0
Leixões,SSP5-8.5,+Geoid,2088,1.006,0.0187,321.526,482289695.0,964579391.0,1607632318.0,10924264864.0
Leixões,SSP5-8.5,+Geoid,2089,1.018,0.0172,352.198,528297289.0,1056594578.0,1760990964.0,11980859442.0
Leixões,SSP5-8.5,+Geoid,2090,1.03,0.0159,365.0,547500000.0,1095000000.0,1825000000.0,13075859442.0
Leixões,SSP5-8.5,+Geoid,2091,1.042,0.0146,365.0,547500000.0,1095000000.0,1825000000.0,14170859442.0
Leixões,SSP5-8.5,+Geoid,2092,1.054,0.0134,365.0,547500000.0,1095000000.0,1825000000.0,15265859442.0
Leixões,SSP5-8.5,+Geoid,2093,1.066,0.0124,365.0,547500000.0,1095000000.0,1825000000.0,16360859442.0
Leixões,SSP5-8.5,+Geoid,2094,1.078,0.0114,365.0,547500000.0,1095000000.0,1825000000.0,17455859442.0
Leixões,SSP5-8.5,+Geoid,2095,1.09,0.0105,365.0,547500000.0,1095000000.0,1825000000.0,18550859442.0
Leixões,SSP5-8.5,+Geoid,2096,1.102,0.0096,365.0,547500000.0,1095000000.0,1825000000.0,19645859442.0
Leixões,SSP5-8.5,+Geoid,2097,1.114,0.0089,365.0,547500000.0,1095000000.0,1825000000.0,20740859442.0
Leixões,SSP5-8.5,+Geoid,2098,1.126,0.0082,365.0,547500000.0,1095000000.0,1825000000.0,21835859442.0
Leixões,SSP5-8.5,+Geoid,2099,1.138,0.0075,365.0,547500000.0,1095000000.0,1825000000.0,22930859442.0
Leixões,SSP5-8.5,+Geoid,2100,1.15,0.0069,365.0,547500000.0,1095000000.0,1825000000.0,24025859442.0
Lisbon,SSP1-2.6,Baseline,2025,0.035,7.8458,0.409,818268.0,1431969.0,2250237.0,1431969.0
Lisbon,SSP1-2.6,Baseline,2026,0.042,7.4742,0.435,870188.0,1522829.0,2393017.0,2954798.0
Lisbon,SSP1-2.6,Baseline,2027,0.049,7.1203,0.463,925248.0,1619184.0,2544433.0,4573983.0
Lisbon,SSP1-2.6,Baseline,2028,0.056,6.783,0.492,983632.0,1721357.0,2704989.0,6295339.0
Lisbon,SSP1-2.6,Baseline,2029,0.063,6.4618,0.523,1045535.0,1829686.0,2875221.0,8125025.0
Lisbon,SSP1-2.6,Baseline,2030,0.07,6.1557,0.556,1111161.0,1944532.0,3055694.0,10069558.0
Lisbon,SSP1-2.6,Baseline,2031,0.0765,5.8845,0.588,1175624.0,2057342.0,3232966.0,12126900.0
Lisbon,SSP1-2.6,Baseline,2032,0.083,5.6253,0.622,1243669.0,2176420.0,3420089.0,14303320.0
Lisbon,SSP1-2.6,Baseline,2033,0.0895,5.3775,0.658,1315488.0,2302104.0,3617592.0,16605424.0
Lisbon,SSP1-2.6,Baseline,2034,0.096,5.1406,0.696,1391286.0,2434750.0,3826036.0,19040174.0
Lisbon,SSP1-2.6,Baseline,2035,0.1025,4.9141,0.736,1471276.0,2574732.0,4046008.0,21614906.0
Lisbon,SSP1-2.6,Baseline,2036,0.109,4.6976,0.778,1555683.0,2722446.0,4278130.0,24337352.0
Lisbon,SSP1-2.6,Baseline,2037,0.1155,4.4907,0.822,1644746.0,2878306.0,4523053.0,27215659.0
Lisbon,SSP1-2.6,Baseline,2038,0.122,4.2928,0.869,1738714.0,3042750.0,4781464.0,30258409.0
Lisbon,SSP1-2.6,Baseline,2039,0.1285,4.1037,0.919,1837850.0,3216238.0,5054088.0,33474646.0
Lisbon,SSP1-2.6,Baseline,2040,0.135,3.9229,0.971,1942430.0,3399253.0,5341684.0,36873899.0
Lisbon,SSP1-2.6,Baseline,2041,0.1415,3.7501,1.026,2052747.0,3592307.0,5645053.0,40466206.0
Lisbon,SSP1-2.6,Baseline,2042,0.148,3.5849,1.085,2169105.0,3795934.0,5965040.0,44262140.0
Lisbon,SSP1-2.6,Baseline,2043,0.1545,3.427,1.146,2291829.0,4010701.0,6302530.0,48272841.0
Lisbon,SSP1-2.6,Baseline,2044,0.161,3.276,1.211,2421258.0,4237201.0,6658458.0,52510042.0
Lisbon,SSP1-2.6,Baseline,2045,0.1675,3.1317,1.279,2557748.0,4476059.0,7033807.0,56986101.0
Lisbon,SSP1-2.6,Baseline,2046,0.174,2.9937,1.351,2701676.0,4727934.0,7429610.0,61714035.0
Lisbon,SSP1-2.6,Baseline,2047,0.1805,2.8618,1.427,2853439.0,4993517.0,7846956.0,66707552.0
Lisbon,SSP1-2.6,Baseline,2048,0.187,2.7357,1.507,3013451.0,5273539.0,8286989.0,71981091.0
Lisbon,SSP1-2.6,Baseline,2049,0.1935,2.6152,1.591,3182151.0,5568764.0,8750915.0,77549855.0
Lisbon,SSP1-2.6,Baseline,2050,0.2,2.5,1.68,3360000.0,5880000.0,9240000.0,83429855.0
Lisbon,SSP1-2.6,Baseline,2051,0.204,2.4316,1.737,3474202.0,6079854.0,9554056.0,89509709.0
Lisbon,SSP1-2.6,Baseline,2052,0.208,2.3651,1.796,3592170.0,6286298.0,9878468.0,95796006.0
Lisbon,SSP1-2.6,Baseline,2053,0.212,2.3005,1.857,3714025.0,6499544.0,10213569.0,102295550.0
Lisbon,SSP1-2.6,Baseline,2054,0.216,2.2376,1.92,3839892.0,6719812.0,10559704.0,109015362.0
Lisbon,SSP1-2.6,Baseline,2055,0.22,2.1764,1.985,3969902.0,6947328.0,10917229.0,115962690.0
Lisbon,SSP1-2.6,Baseline,2056,0.224,2.1169,2.052,4104186.0,7182325.0,11286511.0,123145015.0
Lisbon,SSP1-2.6,Baseline,2057,0.228,2.059,2.121,4242883.0,7425045.0,11667927.0,130570059.0
Lisbon,SSP1-2.6,Baseline,2058,0.232,2.0027,2.193,4386134.0,7675735.0,12061869.0,138245794.0
Lisbon,SSP1-2.6,Baseline,2059,0.236,1.9479,2.267,4534087.0,7934652.0,12468739.0,146180446.0
Lisbon,SSP1-2.6,Baseline,2060,0.24,1.8946,2.343,4686892.0,8202061.0,12888953.0,154382508.0
Lisbon,SSP1-2.6,Baseline,2061,0.244,1.8428,2.422,4844705.0,8478234.0,13322940.0,162860742.0
Lisbon,SSP1-2.6,Baseline,2062,0.248,1.7924,2.504,5007688.0,8763453.0,13771141.0,171624195.0
Lisbon,SSP1-2.6,Baseline,2063,0.252,1.7434,2.588,5176005.0,9058009.0,14234013.0,180682204.0
Lisbon,SSP1-2.6,Baseline,2064,0.256,1.6958,2.675,5349828.0,9362199.0,14712027.0,190044403.0
Lisbon,SSP1-2.6,Baseline,2065,0.26,1.6494,2.765,5529334.0,9676335.0,15205669.0,199720738.0
Lisbon,SSP1-2.6,Baseline,2066,0.264,1.6043,2.857,5714705.0,10000733.0,15715438.0,209721471.0
Lisbon,SSP1-2.6,Baseline,2067,0.268,1.5604,2.953,5906128.0,10335724.0,16241852.0,220057195.0
Lisbon,SSP1-2.6,Baseline,2068,0.272,1.5177,3.052,6103798.0,10681646.0,16785444.0,230738841.0
Lisbon,SSP1-2.6,Baseline,2069,0.276,1.4762,3.154,6307914.0,11038849.0,17346763.0,241777690.0
Lisbon,SSP1-2.6,Baseline,2070,0.28,1.4359,3.259,6518683.0,11407695.0,17926377.0,253185385.0
Lisbon,SSP1-2.6,Baseline,2071,0.284,1.3966,3.368,6736317.0,11788554.0,18524871.0,264973939.0
Lisbon,SSP1-2.6,Baseline,2072,0.288,1.3584,3.481,6961036.0,12181812.0,19142848.0,277155751.0
Lisbon,SSP1-2.6,Baseline,2073,0.292,1.3213,3.597,7193065.0,12587865.0,19780930.0,289743616.0
Lisbon,SSP1-2.6,Baseline,2074,0.296,1.2851,3.716,7432640.0,13007120.0,20439760.0,302750736.0
Lisbon,SSP1-2.6,Baseline,2075,0.3,1.25,3.84,7680000.0,13440000.0,21120000.0,316190736.0
Lisbon,SSP1-2.6,Baseline,2076,0.304,1.2158,3.968,7935394.0,13886939.0,21822333.0,330077675.0
Lisbon,SSP1-2.6,Baseline,2077,0.308,1.1826,4.1,8199078.0,14348386.0,22547463.0,344426061.0
Lisbon,SSP1-2.6,Baseline,2078,0.312,1.1502,4.236,8471316.0,14824802.0,23296118.0,359250863.0
Lisbon,SSP1-2.6,Baseline,2079,0.316,1.1188,4.376,8752381.0,15316666.0,24069046.0,374567529.0
Lisbon,SSP1-2.6,Baseline,2080,0.32,1.0882,4.521,9042553.0,15824469.0,24867022.0,390391997.0
Lisbon,SSP1-2.6,Baseline,2081,0.324,1.0584,4.671,9342124.0,16348718.0,25690842.0,406740715.0
Lisbon,SSP1-2.6,Baseline,2082,0.328,1.0295,4.826,9651392.0,16889937.0,26541329.0,423630652.0
Lisbon,SSP1-2.6,Baseline,2083,0.332,1.0013,4.985,9970666.0,17448665.0,27419331.0,441079317.0
Lisbon,SSP1-2.6,Baseline,2084,0.336,0.974,5.15,10300263.0,18025460.0,28325723.0,459104777.0
Lisbon,SSP1-2.6,Baseline,2085,0.34,0.9473,5.32,10640512.0,18620896.0,29261407.0,477725672.0
Lisbon,SSP1-2.6,Baseline,2086,0.344,0.9214,5.496,10991751.0,19235564.0,30227315.0,496961236.0
Lisbon,SSP1-2.6,Baseline,2087,0.348,0.8962,5.677,11354329.0,19870076.0,31224405.0,516831313.0
Lisbon,SSP1-2.6,Baseline,2088,0.352,0.8717,5.864,11728607.0,20525062.0,32253669.0,537356374.0
Lisbon,SSP1-2.6,Baseline,2089,0.356,0.8479,6.057,12114955.0,21201171.0,33316125.0,558557545.0
Lisbon,SSP1-2.6,Baseline,2090,0.36,0.8247,6.257,12513756.0,21899073.0,34412829.0,580456618.0
Lisbon,SSP1-2.6,Baseline,2091,0.364,0.8021,6.463,12925405.0,22619459.0,35544865.0,603076078.0
Lisbon,SSP1-2.6,Baseline,2092,0.368,0.7802,6.675,13350310.0,23363043.0,36713353.0,626439120.0
Lisbon,SSP1-2.6,Baseline,2093,0.372,0.7589,6.894,13788890.0,24130558.0,37919448.0,650569678.0
Lisbon,SSP1-2.6,Baseline,2094,0.376,0.7381,7.121,14241579.0,24922763.0,39164342.0,675492441.0
Lisbon,SSP1-2.6,Baseline,2095,0.38,0.7179,7.354,14708822.0,25740439.0,40449261.0,701232880.0
Lisbon,SSP1-2.6,Baseline,2096,0.384,0.6983,7.596,15191082.0,26584393.0,41775474.0,727817273.0
Lisbon,SSP1-2.6,Baseline,2097,0.388,0.6792,7.844,15688831.0,27455455.0,43144286.0,755272728.0
Lisbon,SSP1-2.6,Baseline,2098,0.392,0.6606,8.101,16202562.0,28354483.0,44557045.0,783627211.0
Lisbon,SSP1-2.6,Baseline,2099,0.396,0.6426,8.366,16732778.0,29282361.0,46015138.0,812909571.0
Lisbon,SSP1-2.6,Baseline,2100,0.4,0.625,8.64,17280000.0,30240000.0,47520000.0,843149571.0
Lisbon,SSP1-2.6,+Geoid,2025,0.11,4.6652,0.785,1569076.0,2745884.0,4314960.0,2745884.0
Lisbon,SSP1-2.6,+Geoid,2026,0.132,4.0053,0.947,1893468.0,3313569.0,5207036.0,6059452.0
Lisbon,SSP1-2.6,+Geoid,2027,0.154,3.4389,1.141,2282155.0,3993772.0,6275927.0,10053224.0
Lisbon,SSP1-2.6,+Geoid,2028,0.176,2.9525,1.374,2747519.0,4808159.0,7555678.0,14861383.0
Lisbon,SSP1-2.6,+Geoid,2029,0.198,2.5349,1.652,3304274.0,5782480.0,9086754.0,20643862.0
Lisbon,SSP1-2.6,+Geoid,2030,0.22,2.1764,1.985,3969902.0,6947328.0,10917229.0,27591190.0
