scenario,variant,year,slr_m,days_yr,annual_low_eur,annual_mid_eur,annual_high_eur,cumul_low_bn,cumul_mid_bn,cumul_high_bn,permanent
SSP1-2.6,Baseline,2024,0.028,0.32,160274,320547,641095,0.0002,0.0003,0.0006,False
SSP1-2.6,Baseline,2025,0.035,0.34,170472,340945,681890,0.0003,0.0007,0.0013,False
SSP1-2.6,Baseline,2026,0.042,0.36,181289,362578,725157,0.0005,0.001,0.002,False
SSP1-2.6,Baseline,2027,0.049,0.39,192760,385520,771040,0.0007,0.0014,0.0028,False
SSP1-2.6,Baseline,2028,0.056,0.41,204923,409847,819694,0.0009,0.0018,0.0036,False
SSP1-2.6,Baseline,2029,0.063,0.44,217820,435640,871279,0.0011,0.0023,0.0045,False
SSP1-2.6,Baseline,2030,0.07,0.46,231492,462984,925968,0.0014,0.0027,0.0054,False
SSP1-2.6,Baseline,2031,0.077,0.49,244922,489843,979687,0.0016,0.0032,0.0064,False
SSP1-2.6,Baseline,2032,0.083,0.52,259098,518195,1036391,0.0019,0.0037,0.0075,False
SSP1-2.6,Baseline,2033,0.09,0.55,274060,548120,1096240,0.0021,0.0043,0.0085,False
SSP1-2.6,Baseline,2034,0.096,0.58,289851,579702,1159405,0.0024,0.0049,0.0097,False
SSP1-2.6,Baseline,2035,0.103,0.61,306516,613032,1226063,0.0027,0.0055,0.0109,False
SSP1-2.6,Baseline,2036,0.109,0.65,324101,648201,1296403,0.0031,0.0061,0.0122,False
SSP1-2.6,Baseline,2037,0.116,0.69,342656,685311,1370622,0.0034,0.0068,0.0136,False
SSP1-2.6,Baseline,2038,0.122,0.72,362232,724464,1448929,0.0038,0.0075,0.015,False
SSP1-2.6,Baseline,2039,0.129,0.77,382885,765771,1531542,0.0041,0.0083,0.0166,False
SSP1-2.6,Baseline,2040,0.135,0.81,404673,809346,1618692,0.0046,0.0091,0.0182,False
SSP1-2.6,Baseline,2041,0.142,0.86,427656,855311,1710622,0.005,0.01,0.0199,False
SSP1-2.6,Baseline,2042,0.148,0.9,451897,903794,1807588,0.0054,0.0109,0.0217,False
SSP1-2.6,Baseline,2043,0.155,0.95,477464,954929,1909858,0.0059,0.0118,0.0236,False
SSP1-2.6,Baseline,2044,0.161,1.01,504429,1008857,2017715,0.0064,0.0128,0.0256,False
SSP1-2.6,Baseline,2045,0.168,1.07,532864,1065728,2131457,0.0069,0.0139,0.0278,False
SSP1-2.6,Baseline,2046,0.174,1.13,562849,1125699,2251397,0.0075,0.015,0.03,False
SSP1-2.6,Baseline,2047,0.18,1.19,594466,1188933,2377865,0.0081,0.0162,0.0324,False
SSP1-2.6,Baseline,2048,0.187,1.26,627802,1255604,2511209,0.0087,0.0175,0.0349,False
SSP1-2.6,Baseline,2049,0.194,1.33,662948,1325896,2651792,0.0094,0.0188,0.0376,False
SSP1-2.6,Baseline,2050,0.2,1.4,700000,1400000,2800000,0.0101,0.0202,0.0404,False
SSP1-2.6,Baseline,2051,0.204,1.45,723792,1447584,2895169,0.0108,0.0216,0.0433,False
SSP1-2.6,Baseline,2052,0.208,1.5,748369,1496738,2993475,0.0116,0.0231,0.0463,False
SSP1-2.6,Baseline,2053,0.212,1.55,773755,1547510,3095021,0.0123,0.0247,0.0494,False
SSP1-2.6,Baseline,2054,0.216,1.6,799978,1599955,3199910,0.0131,0.0263,0.0526,False
SSP1-2.6,Baseline,2055,0.22,1.65,827063,1654126,3308251,0.014,0.0279,0.0559,False
SSP1-2.6,Baseline,2056,0.224,1.71,855039,1710077,3420155,0.0148,0.0296,0.0593,False
SSP1-2.6,Baseline,2057,0.228,1.77,883934,1767868,3535736,0.0157,0.0314,0.0628,False
SSP1-2.6,Baseline,2058,0.232,1.83,913778,1827556,3655112,0.0166,0.0332,0.0665,False
SSP1-2.6,Baseline,2059,0.236,1.89,944601,1889203,3778406,0.0176,0.0351,0.0703,False
SSP1-2.6,Baseline,2060,0.24,1.95,976436,1952872,3905743,0.0185,0.0371,0.0742,False
SSP1-2.6,Baseline,2061,0.244,2.02,1009314,2018627,4037254,0.0195,0.0391,0.0782,False
SSP1-2.6,Baseline,2062,0.248,2.09,1043268,2086537,4173073,0.0206,0.0412,0.0824,False
SSP1-2.6,Baseline,2063,0.252,2.16,1078334,2156669,4313337,0.0217,0.0433,0.0867,False
SSP1-2.6,Baseline,2064,0.256,2.23,1114548,2229095,4458190,0.0228,0.0456,0.0911,False
SSP1-2.6,Baseline,2065,0.26,2.3,1151945,2303889,4607778,0.0239,0.0479,0.0957,False
SSP1-2.6,Baseline,2066,0.264,2.38,1190563,2381127,4762254,0.0251,0.0503,0.1005,False
SSP1-2.6,Baseline,2067,0.268,2.46,1230443,2460887,4921773,0.0264,0.0527,0.1054,False
SSP1-2.6,Baseline,2068,0.272,2.54,1271625,2543249,5086498,0.0276,0.0553,0.1105,False
SSP1-2.6,Baseline,2069,0.276,2.63,1314149,2628297,5256595,0.0289,0.0579,0.1158,False
SSP1-2.6,Baseline,2070,0.28,2.72,1358059,2716118,5432236,0.0303,0.0606,0.1212,False
SSP1-2.6,Baseline,2071,0.284,2.81,1403399,2806799,5613597,0.0317,0.0634,0.1268,False
SSP1-2.6,Baseline,2072,0.288,2.9,1450216,2900431,5800863,0.0332,0.0663,0.1326,False
SSP1-2.6,Baseline,2073,0.292,3.0,1498555,2997111,5994221,0.0347,0.0693,0.1386,False
SSP1-2.6,Baseline,2074,0.296,3.1,1548467,3096933,6193867,0.0362,0.0724,0.1448,False
SSP1-2.6,Baseline,2075,0.3,3.2,1600000,3200000,6400000,0.0378,0.0756,0.1512,False
SSP1-2.6,Baseline,2076,0.304,3.31,1653207,3306414,6612828,0.0395,0.0789,0.1578,False
SSP1-2.6,Baseline,2077,0.308,3.42,1708141,3416282,6832565,0.0412,0.0823,0.1647,False
SSP1-2.6,Baseline,2078,0.312,3.53,1764857,3529715,7059430,0.0429,0.0859,0.1717,False
SSP1-2.6,Baseline,2079,0.316,3.65,1823413,3646825,7293650,0.0448,0.0895,0.179,False
SSP1-2.6,Baseline,2080,0.32,3.77,1883865,3767731,7535461,0.0466,0.0933,0.1865,False
SSP1-2.6,Baseline,2081,0.324,3.89,1946276,3892552,7785104,0.0486,0.0972,0.1943,False
SSP1-2.6,Baseline,2082,0.328,4.02,2010707,4021413,8042827,0.0506,0.1012,0.2024,False
SSP1-2.6,Baseline,2083,0.332,4.15,2077222,4154444,8308888,0.0527,0.1053,0.2107,False
SSP1-2.6,Baseline,2084,0.336,4.29,2145888,4291776,8583552,0.0548,0.1096,0.2193,False
SSP1-2.6,Baseline,2085,0.34,4.43,2216773,4433547,8867093,0.057,0.1141,0.2281,False
SSP1-2.6,Baseline,2086,0.344,4.58,2289948,4579896,9159792,0.0593,0.1186,0.2373,False
SSP1-2.6,Baseline,2087,0.348,4.73,2365485,4730971,9461941,0.0617,0.1234,0.2468,False
SSP1-2.6,Baseline,2088,0.352,4.89,2443460,4886919,9773839,0.0641,0.1283,0.2565,False
SSP1-2.6,Baseline,2089,0.356,5.05,2523949,5047898,10095796,0.0667,0.1333,0.2666,False
SSP1-2.6,Baseline,2090,0.36,5.21,2607032,5214065,10428130,0.0693,0.1385,0.277,False
SSP1-2.6,Baseline,2091,0.364,5.39,2692793,5385586,10771171,0.072,0.1439,0.2878,False
SSP1-2.6,Baseline,2092,0.368,5.56,2781315,5562629,11125258,0.0747,0.1495,0.2989,False
SSP1-2.6,Baseline,2093,0.372,5.75,2872685,5745371,11490742,0.0776,0.1552,0.3104,False
SSP1-2.6,Baseline,2094,0.376,5.93,2966996,5933991,11867982,0.0806,0.1612,0.3223,False
SSP1-2.6,Baseline,2095,0.38,6.13,3064338,6128676,12257352,0.0836,0.1673,0.3346,False
SSP1-2.6,Baseline,2096,0.384,6.33,3164809,6329617,12659235,0.0868,0.1736,0.3472,False
SSP1-2.6,Baseline,2097,0.388,6.54,3268507,6537013,13074026,0.0901,0.1801,0.3603,False
SSP1-2.6,Baseline,2098,0.392,6.75,3375534,6751067,13502135,0.0934,0.1869,0.3738,False
SSP1-2.6,Baseline,2099,0.396,6.97,3485995,6971991,13943981,0.0969,0.1939,0.3877,False
SSP1-2.6,Baseline,2100,0.4,7.2,3600000,7200000,14400000,0.1005,0.2011,0.4021,False
SSP1-2.6,+Geoid,2024,0.178,1.16,582107,1164215,2328429,0.0006,0.0012,0.0023,False
SSP1-2.6,+Geoid,2025,0.185,1.23,617357,1234713,2469426,0.0012,0.0024,0.0048,False
SSP1-2.6,+Geoid,2026,0.192,1.31,654672,1309344,2618688,0.0019,0.0037,0.0074,False
SSP1-2.6,+Geoid,2027,0.199,1.39,694172,1388343,2776687,0.0025,0.0051,0.0102,False
SSP1-2.6,+Geoid,2028,0.206,1.47,735981,1471962,2943923,0.0033,0.0066,0.0131,False
SSP1-2.6,+Geoid,2029,0.213,1.56,780231,1560463,3120926,0.0041,0.0081,0.0163,False
SSP1-2.6,+Geoid,2030,0.22,1.65,827063,1654126,3308251,0.0049,0.0098,0.0196,False
SSP1-2.6,+Geoid,2031,0.227,1.75,872989,1745977,3491954,0.0058,0.0115,0.0231,False
SSP1-2.6,+Geoid,2032,0.233,1.84,921391,1842782,3685563,0.0067,0.0134,0.0267,False
SSP1-2.6,+Geoid,2033,0.239,1.94,972400,1944800,3889601,0.0077,0.0153,0.0306,False
SSP1-2.6,+Geoid,2034,0.246,2.05,1026154,2052308,4104617,0.0087,0.0174,0.0347,False
SSP1-2.6,+Geoid,2035,0.253,2.17,1082798,2165595,4331190,0.0098,0.0195,0.0391,False
SSP1-2.6,+Geoid,2036,0.259,2.28,1142482,2284965,4569929,0.0109,0.0218,0.0436,False
SSP1-2.6,+Geoid,2037,0.266,2.41,1205369,2410737,4821474,0.0121,0.0242,0.0485,False
SSP1-2.6,+Geoid,2038,0.272,2.54,1271625,2543249,5086498,0.0134,0.0268,0.0535,False
SSP1-2.6,+Geoid,2039,0.278,2.68,1341427,2682855,5365709,0.0147,0.0295,0.0589,False
SSP1-2.6,+Geoid,2040,0.285,2.83,1414963,2829926,5659853,0.0161,0.0323,0.0646,False
SSP1-2.6,+Geoid,2041,0.291,2.98,1492428,2984856,5969712,0.0176,0.0353,0.0705,False
SSP1-2.6,+Geoid,2042,0.298,3.15,1574027,3148055,6296110,0.0192,0.0384,0.0768,False
SSP1-2.6,+Geoid,2043,0.304,3.32,1659978,3319956,6639913,0.0209,0.0417,0.0835,False
SSP1-2.6,+Geoid,2044,0.311,3.5,1750508,3501016,7002033,0.0226,0.0452,0.0905,False
SSP1-2.6,+Geoid,2045,0.318,3.69,1845857,3691714,7383427,0.0245,0.0489,0.0979,False
SSP1-2.6,+Geoid,2046,0.324,3.89,1946276,3892552,7785104,0.0264,0.0528,0.1056,False
SSP1-2.6,+Geoid,2047,0.331,4.1,2052030,4104061,8208121,0.0285,0.0569,0.1139,False
SSP1-2.6,+Geoid,2048,0.337,4.33,2163399,4326797,8653595,0.0306,0.0613,0.1225,False
SSP1-2.6,+Geoid,2049,0.344,4.56,2280674,4561347,9122694,0.0329,0.0658,0.1316,False
SSP1-2.6,+Geoid,2050,0.35,4.81,2404163,4808326,9616652,0.0353,0.0706,0.1413,False
SSP1-2.6,+Geoid,2051,0.354,4.97,2483385,4966770,9933540,0.0378,0.0756,0.1512,False
SSP1-2.6,+Geoid,2052,0.358,5.13,2565161,5130323,10260645,0.0404,0.0807,0.1614,False
SSP1-2.6,+Geoid,2053,0.362,5.3,2649573,5299146,10598291,0.043,0.086,0.172,False
SSP1-2.6,+Geoid,2054,0.366,5.47,2736703,5473406,10946812,0.0457,0.0915,0.183,False
SSP1-2.6,+Geoid,2055,0.37,5.65,2826638,5653277,11306553,0.0486,0.0971,0.1943,False
SSP1-2.6,+Geoid,2056,0.374,5.84,2919467,5838935,11677869,0.0515,0.103,0.206,False
SSP1-2.6,+Geoid,2057,0.378,6.03,3015282,6030564,12061127,0.0545,0.109,0.218,False
SSP1-2.6,+Geoid,2058,0.382,6.23,3114176,6228352,12456705,0.0576,0.1152,0.2305,False
SSP1-2.6,+Geoid,2059,0.386,6.43,3216248,6432496,12864992,0.0608,0.1217,0.2434,False
SSP1-2.6,+Geoid,2060,0.39,6.64,3321597,6643195,13286390,0.0642,0.1283,0.2566,False
SSP1-2.6,+Geoid,2061,0.394,6.86,3430328,6860657,13721314,0.0676,0.1352,0.2704,False
SSP1-2.6,+Geoid,2062,0.398,7.09,3542548,7085096,14170191,0.0711,0.1423,0.2845,False
SSP1-2.6,+Geoid,2063,0.402,7.32,3658366,7316732,14633463,0.0748,0.1496,0.2992,False
SSP1-2.6,+Geoid,2064,0.406,7.56,3777896,7555792,15111584,0.0786,0.1571,0.3143,False
SSP1-2.6,+Geoid,2065,0.41,7.8,3901255,7802511,15605022,0.0825,0.1649,0.3299,False
SSP1-2.6,+Geoid,2066,0.414,8.06,4028565,8057130,16114260,0.0865,0.173,0.346,False
SSP1-2.6,+Geoid,2067,0.418,8.32,4159950,8319899,16639799,0.0907,0.1813,0.3626,False
SSP1-2.6,+Geoid,2068,0.422,8.59,4295537,8591075,17182150,0.095,0.1899,0.3798,False
SSP1-2.6,+Geoid,2069,0.426,8.87,4435461,8870922,17741844,0.0994,0.1988,0.3976,False
SSP1-2.6,+Geoid,2070,0.43,9.16,4579857,9159714,18319429,0.104,0.2079,0.4159,False
SSP1-2.6,+Geoid,2071,0.434,9.46,4728867,9457733,18915467,0.1087,0.2174,0.4348,False
SSP1-2.6,+Geoid,2072,0.438,9.77,4882635,9765269,19530539,0.1136,0.2272,0.4543,False
SSP1-2.6,+Geoid,2073,0.442,10.08,5041311,10082622,20165244,0.1186,0.2372,0.4745,False
SSP1-2.6,+Geoid,2074,0.446,10.41,5205050,10410100,20820201,0.1238,0.2477,0.4953,False
SSP1-2.6,+Geoid,2075,0.45,10.75,5374012,10748023,21496046,0.1292,0.2584,0.5168,False
SSP1-2.6,+Geoid,2076,0.454,11.1,5548359,11096718,22193437,0.1348,0.2695,0.539,False
SSP1-2.6,+Geoid,2077,0.458,11.46,5728262,11456525,22913049,0.1405,0.281,0.5619,False
SSP1-2.6,+Geoid,2078,0.462,11.83,5913896,11827791,23655583,0.1464,0.2928,0.5856,False
SSP1-2.6,+Geoid,2079,0.466,12.21,6105439,12210879,24421757,0.1525,0.305,0.61,False
SSP1-2.6,+Geoid,2080,0.47,12.61,6303079,12606157,25212314,0.1588,0.3176,0.6352,False
SSP1-2.6,+Geoid,2081,0.474,13.01,6507005,13014010,26028020,0.1653,0.3306,0.6612,False
SSP1-2.6,+Geoid,2082,0.478,13.43,6717416,13434832,26869664,0.172,0.3441,0.6881,False
SSP1-2.6,+Geoid,2083,0.482,13.87,6934515,13869029,27738059,0.179,0.3579,0.7158,False
SSP1-2.6,+Geoid,2084,0.486,14.32,7158511,14317022,28634044,0.1861,0.3722,0.7445,False
SSP1-2.6,+Geoid,2085,0.49,14.78,7389621,14779243,29558485,0.1935,0.387,0.774,False
SSP1-2.6,+Geoid,2086,0.494,15.26,7628068,15256137,30512273,0.2011,0.4023,0.8045,False
SSP1-2.6,+Geoid,2087,0.498,15.75,7874082,15748164,31496328,0.209,0.418,0.836,False
SSP1-2.6,+Geoid,2088,0.502,16.26,8127899,16255798,32511597,0.2171,0.4343,0.8686,False
SSP1-2.6,+Geoid,2089,0.506,16.78,8389764,16779529,33559058,0.2255,0.4511,0.9021,False
SSP1-2.6,+Geoid,2090,0.51,17.32,8659930,17319859,34639718,0.2342,0.4684,0.9368,False
SSP1-2.6,+Geoid,2091,0.514,17.88,8938654,17877309,35754617,0.2431,0.4863,0.9725,False
SSP1-2.6,+Geoid,2092,0.518,18.45,9226206,18452413,36904825,0.2524,0.5047,1.0094,False
SSP1-2.6,+Geoid,2093,0.522,19.05,9522862,19045724,38091447,0.2619,0.5238,1.0475,False
SSP1-2.6,+Geoid,2094,0.526,19.66,9828905,19657810,39315621,0.2717,0.5434,1.0868,False
SSP1-2.6,+Geoid,2095,0.53,20.29,10144630,20289260,40578520,0.2818,0.5637,1.1274,False
SSP1-2.6,+Geoid,2096,0.534,20.94,10470339,20940677,41881354,0.2923,0.5846,1.1693,False
SSP1-2.6,+Geoid,2097,0.538,21.61,10806343,21612686,43225371,0.3031,0.6063,1.2125,False
SSP1-2.6,+Geoid,2098,0.542,22.31,11152964,22305928,44611856,0.3143,0.6286,1.2571,False
SSP1-2.6,+Geoid,2099,0.546,23.02,11510534,23021068,46042136,0.3258,0.6516,1.3032,False
SSP1-2.6,+Geoid,2100,0.55,23.76,11879394,23758788,47517576,0.3377,0.6753,1.3507,False
SSP2-4.5,Baseline,2024,0.04,0.36,178134,356267,712534,0.0002,0.0004,0.0007,False
SSP2-4.5,Baseline,2025,0.05,0.39,194454,388909,777817,0.0004,0.0007,0.0015,False
SSP2-4.5,Baseline,2026,0.06,0.42,212200,424401,848801,0.0006,0.0012,0.0023,False
SSP2-4.5,Baseline,2027,0.07,0.46,231492,462984,925968,0.0008,0.0016,0.0033,False
SSP2-4.5,Baseline,2028,0.08,0.5,252460,504919,1009839,0.0011,0.0021,0.0043,False
SSP2-4.5,Baseline,2029,0.09,0.55,275245,550489,1100979,0.0013,0.0027,0.0054,False
SSP2-4.5,Baseline,2030,0.1,0.6,300000,600000,1200000,0.0016,0.0033,0.0066,False
SSP2-4.5,Baseline,2031,0.11,0.65,326891,653782,1307564,0.002,0.0039,0.0079,False
SSP2-4.5,Baseline,2032,0.12,0.71,356096,712193,1424386,0.0023,0.0047,0.0093,False
SSP2-4.5,Baseline,2033,0.13,0.78,387810,775621,1551242,0.0027,0.0054,0.0109,False
SSP2-4.5,Baseline,2034,0.14,0.84,422243,844485,1688970,0.0031,0.0063,0.0125,False
SSP2-4.5,Baseline,2035,0.15,0.92,459619,919239,1838478,0.0036,0.0072,0.0144,False
SSP2-4.5,Baseline,2036,0.16,1.0,500186,1000373,2000746,0.0041,0.0082,0.0164,False
SSP2-4.5,Baseline,2037,0.17,1.09,544209,1088418,2176836,0.0046,0.0093,0.0186,False
SSP2-4.5,Baseline,2038,0.18,1.18,591974,1183949,2367898,0.0052,0.0105,0.0209,False
SSP2-4.5,Baseline,2039,0.19,1.29,643793,1287586,2575171,0.0059,0.0118,0.0235,False
SSP2-4.5,Baseline,2040,0.2,1.4,700000,1400000,2800000,0.0066,0.0132,0.0263,False
SSP2-4.5,Baseline,2041,0.21,1.52,760959,1521918,3043837,0.0073,0.0147,0.0294,False
SSP2-4.5,Baseline,2042,0.22,1.65,827063,1654126,3308251,0.0082,0.0163,0.0327,False
SSP2-4.5,Baseline,2043,0.23,1.8,898735,1797471,3594942,0.0091,0.0181,0.0363,False
SSP2-4.5,Baseline,2044,0.24,1.95,976436,1952872,3905743,0.01,0.0201,0.0402,False
SSP2-4.5,Baseline,2045,0.25,2.12,1060660,2121320,4242641,0.0111,0.0222,0.0444,False
SSP2-4.5,Baseline,2046,0.26,2.3,1151945,2303889,4607778,0.0123,0.0245,0.049,False
SSP2-4.5,Baseline,2047,0.27,2.5,1250869,2501737,5003475,0.0135,0.027,0.054,False
SSP2-4.5,Baseline,2048,0.28,2.72,1358059,2716118,5432236,0.0149,0.0297,0.0594,False
SSP2-4.5,Baseline,2049,0.29,2.95,1474192,2948384,5896769,0.0163,0.0327,0.0653,False
SSP2-4.5,Baseline,2050,0.3,3.2,1600000,3200000,6400000,0.0179,0.0359,0.0717,False
SSP2-4.5,Baseline,2051,0.306,3.36,1680455,3360910,6721819,0.0196,0.0392,0.0785,False
SSP2-4.5,Baseline,2052,0.312,3.53,1764857,3529715,7059430,0.0214,0.0428,0.0855,False
SSP2-4.5,Baseline,2053,0.318,3.71,1853398,3706796,7413592,0.0232,0.0465,0.0929,False
SSP2-4.5,Baseline,2054,0.324,3.89,1946276,3892552,7785104,0.0252,0.0504,0.1007,False
SSP2-4.5,Baseline,2055,0.33,4.09,2043700,4087399,8174799,0.0272,0.0544,0.1089,False
SSP2-4.5,Baseline,2056,0.336,4.29,2145888,4291776,8583552,0.0294,0.0587,0.1175,False
SSP2-4.5,Baseline,2057,0.342,4.51,2253070,4506140,9012280,0.0316,0.0632,0.1265,False
SSP2-4.5,Baseline,2058,0.348,4.73,2365485,4730971,9461941,0.034,0.068,0.136,False
SSP2-4.5,Baseline,2059,0.354,4.97,2483385,4966770,9933540,0.0365,0.0729,0.1459,False
SSP2-4.5,Baseline,2060,0.36,5.21,2607032,5214065,10428130,0.0391,0.0782,0.1563,False
SSP2-4.5,Baseline,2061,0.366,5.47,2736703,5473406,10946812,0.0418,0.0836,0.1673,False
SSP2-4.5,Baseline,2062,0.372,5.75,2872685,5745371,11490742,0.0447,0.0894,0.1788,False
SSP2-4.5,Baseline,2063,0.378,6.03,3015282,6030564,12061127,0.0477,0.0954,0.1908,False
SSP2-4.5,Baseline,2064,0.384,6.33,3164809,6329617,12659235,0.0509,0.1017,0.2035,False
SSP2-4.5,Baseline,2065,0.39,6.64,3321597,6643195,13286390,0.0542,0.1084,0.2168,False
SSP2-4.5,Baseline,2066,0.396,6.97,3485995,6971991,13943981,0.0577,0.1154,0.2307,False
SSP2-4.5,Baseline,2067,0.402,7.32,3658366,7316732,14633463,0.0613,0.1227,0.2453,False
SSP2-4.5,Baseline,2068,0.408,7.68,3839090,7678179,15356358,0.0652,0.1303,0.2607,False
SSP2-4.5,Baseline,2069,0.414,8.06,4028565,8057130,16114260,0.0692,0.1384,0.2768,False
SSP2-4.5,Baseline,2070,0.42,8.45,4227210,8454420,16908840,0.0734,0.1469,0.2937,False
SSP2-4.5,Baseline,2071,0.426,8.87,4435461,8870922,17741844,0.0779,0.1557,0.3115,False
SSP2-4.5,Baseline,2072,0.432,9.31,4653776,9307553,18615105,0.0825,0.165,0.3301,False
