idx,lat,lon,elev_m,below_threshold,flood_zone,note
67,38.67248,-8.950792,11.304,False,Bridge south approach viaduct (structural SLR exposure),
68,38.672107,-8.951115,11.721,False,Bridge south approach viaduct (structural SLR exposure),
69,38.671735,-8.951438,11.514,False,Bridge south approach viaduct (structural SLR exposure),
70,38.671363,-8.951762,10.947,False,Bridge south approach viaduct (structural SLR exposure),
71,38.670991,-8.952085,11.226,False,Bridge south approach viaduct (structural SLR exposure),
72,38.670619,-8.952408,12.2,False,Bridge south approach viaduct (structural SLR exposure),
73,38.670247,-8.952731,13.311,False,Bridge south approach viaduct (structural SLR exposure),
74,38.669874,-8.953054,14.606,False,Bridge south approach viaduct (structural SLR exposure),
75,38.669502,-8.953378,15.456,False,Bridge south approach viaduct (structural SLR exposure),
76,38.66913,-8.953701,15.46,False,Bridge south approach viaduct (structural SLR exposure),
77,38.668758,-8.954024,15.168,False,Bridge south approach viaduct (structural SLR exposure),
78,38.668386,-8.954347,14.961,False,Bridge south approach viaduct (structural SLR exposure),
79,38.668014,-8.95467,15.554,False,Bridge south approach viaduct (structural SLR exposure),
80,38.667642,-8.954994,16.602,False,Bridge south approach viaduct (structural SLR exposure),
81,38.667269,-8.955317,16.709,False,Bridge south approach viaduct (structural SLR exposure),
82,38.666897,-8.95564,17.301,False,Bridge south approach viaduct (structural SLR exposure),
83,38.666525,-8.955963,18.509,False,Bridge south approach viaduct (structural SLR exposure),
84,38.666153,-8.956287,18.401,False,Bridge south approach viaduct (structural SLR exposure),
85,38.665781,-8.95661,18.141,False,Bridge south approach viaduct (structural SLR exposure),
86,38.665409,-8.956933,18.065,False,Bridge south approach viaduct (structural SLR exposure),
87,38.665036,-8.957256,18.055,False,Bridge south approach viaduct (structural SLR exposure),
88,38.664664,-8.957579,18.086,False,Bridge south approach viaduct (structural SLR exposure),
89,38.664292,-8.957903,18.426,False,Bridge south approach viaduct (structural SLR exposure),
90,38.66392,-8.958226,18.651,False,Bridge south approach viaduct (structural SLR exposure),
91,38.663548,-8.958549,18.78,False,Bridge south approach viaduct (structural SLR exposure),
92,38.663176,-8.958872,19.637,False,Bridge south approach viaduct (structural SLR exposure),
